English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Absolute flat land map,पूर्ण सपाटभूमि मानचित्र,પૂર્ણ સપાટભૂમિ માનચિત્ર,पूर्ण सपाटभूमि मानचित्र,ਪੂਰ੍ਣ ਸਪਾਟਭੂਮਿ ਮਾਨਚਿਤ੍ਰ,পূর্ণ সপাটভূমি মানচিত্র,पूर्ण सपाटभूमि मानचित्र,ಪೂರ್ಣ ಸಪಾಟಭೂಮಿ ಮಾನಚಿತ್ರ,പൂര്ണ സപാടഭൂമി മാനചിത്ര,பூர்ண ஸபாடபூமி மாநசித்ர,పూర్ణ సపాటభూమి మానచిత్ర,پورن سپاٹبھومی مانچتر,পূর্ণ সপাটভূমি মানচিত্র,ପୂର୍ଣ ସପାଟଭୂମି ମାନଚିତ୍ର,पूर्ण सपाटभूमि मानचित्र
Abstracted map,संक्षिप्त सारांशित मानचित्र,સંક્ષિપ્ત સારાંશિત માનચિત્ર,संक्षिप्त सारांशित मानचित्र,ਸਂਕ੍਷ਿਪ੍ਤ ਸਾਰਾਂਸ਼ਿਤ ਮਾਨਚਿਤ੍ਰ,সংক্ষিপ্ত সারাংশিত মানচিত্র,संक्षिप्त सारांशित मानचित्र,ಸಂಕ್ಷಿಪ್ತ ಸಾರಾಂಶಿತ ಮಾನಚಿತ್ರ,സംക്ഷിപ്ത സാരാംശിത മാനചിത്ര,ஸங்க்ஷிப்த ஸாராங்சித மாநசித்ர,సంక్షిప్త సారాంశిత మానచిత్ర,سنکشپت سارانشت مانچتر,সংক্ষিপ্ত সারাংশিত মানচিত্র,ସଂକ୍ଷିପ୍ତ ସାରାଂଶିତ ମାନଚିତ୍ର,संक्षिप्त सारांशित मानचित्र
Accent,उच्चारण चिन्ह,ઉચ્ચારણ ચિન્હ,उच्चारण चिन्ह,ਉਚਾਰਣ ਉੱਤੇ ਜੋਰ,উচ্চারণ চিন্হ,उच्चारण चिन्ह,ಉಚ್ಚಾರಣ ಚಿನ್ಹ,ഉച്ചാരണ ചിന്ഹ,உச்சாரண சிந்ஹ,ఉచ్చారణ చిన్హ,اچارن چنہ,উচ্চারণ চিন্হ,ଉଚ୍ଚାରଣ ଚିନ୍ହ,उच्चारण चिन्ह
Accessibility map,अभिगम्यता मानचित्र,અભિગમ્યતા માનચિત્ર,अभिगम्यता मानचित्र,ਅਭਿਗਮ੍ਯਤਾ ਮਾਨਚਿਤ੍ਰ,অভিগম্যতা মানচিত্র,अभिगम्यता मानचित्र,ಅಭಿಗಮ್ಯತಾ ಮಾನಚಿತ್ರ,അഭിഗമ്യതാ മാനചിത്ര,அபிகம்யதா மாநசித்ர,అభిగమ్యతా మానచిత్ర,ابھگمیتا مانچتر,অভিগম্যতা মানচিত্র,ଅଭିଗମ୍ଯତା ମାନଚିତ୍ର,अभिगम्यता मानचित्र
Accessories,उपांग,ઉપાંગ,उपांग,ਉਪਾਂਗ,উপাংগ,उपांग,ಉಪಾಂಗ,ഉപാംഗ,உபாங்க,ఉపాంగ,لوازمات,উপাংগ,"ଆନୁଷଙ୍ଗିକ ସରଞ୍ଜାମ, ଉପସାଧନ",उपांग
Achromatic,अरंजित,અરંજિત,अरंजित,ਅਰਂਜਿਤ,অরংজিত,अरंजित,ವರ್ಣರಹಿತ,അരംജിത,அரங்ஜித,అరంజిత,رنگِ خاتم,অরংজিত,ଅବର୍ଣ୍ଣକ,अरंजित
Adjacent angel,असन्न कोण,અસન્ન કોણ,असन्न कोण,ਅਸਨ੍ਨ ਕੋਣ,অসন্ন কোণ,असन्न कोण,ಅಸನ್ನ ಕೋಣ,അസന്ന കോണ,அஸந்ந கோண,అసన్న కోణ,اسن کون,অসন্ন কণ,ଅସନ୍ନ କୋଣ,असन्न कोण
Adjacent area inset,आसन्न उपमानचित्र,આસન્ન ઉપમાનચિત્ર,आसन्न उपमानचित्र,ਆਸਨ੍ਨ ਉਪਮਾਨਚਿਤ੍ਰ,আসন্ন উপমানচিত্র,आसन्न उपमानचित्र,ಆಸನ್ನ ಉಪಮಾನಚಿತ್ರ,ആസന്ന ഉപമാനചിത്ര,ஆஸந்ந உபமாநசித்ர,ఆసన్న ఉపమానచిత్ర,آسنن اپمانچتر,আসন্ন উপমানচিত্র,ଆସନ୍ନ ଉପମାନଚିତ୍ର,आसन्न उपमानचित्र
Adjacent centre,आसन्न केंद्र,આસન્ન કેંદ્ર,आसन्न केंद्र,ਆਸਨ੍ਨ ਕੇਂਦ੍ਰ,আসন্ন কেংদ্র,आसन्न केंद्र,ಆಸನ್ನ ಕೇಂದ್ರ,ആസന്ന കേംദ്ര,ஆஸந்ந கேங்த்ர,ఆసన్న కేంద్ర,آسنن کیندر,আসন্ন কংদ্র,ଆସନ୍ନ କେଂଦ୍ର,आसन्न केंद्र
Adjacent sheet,आसन्न पत्रक,આસન્ન પત્રક,आसन्न पत्रक,ਆਸਨ੍ਨ ਪਤ੍ਰਕ,আসন্ন পত্রক,आसन्न पत्रक,ಆಸನ್ನ ಪತ್ರಕ,ആസന്ന പത്രക,ஆஸந்ந பத்ரக,ఆసన్న పత్రక,آسنن پترک,আসন্ন পত্রক,ଆସନ୍ନ ପତ୍ରକ,आसन्न पत्रक
