English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abbey of Westminster,वैस्‍टम‍िन्‍स्‍टर मठ,વૈસ્ટમિન્સ્ટર મઠ,वैस्टमिन्स्टर मठ,ਵੈਸ੍ਟਮਿਨ੍ਸ੍ਟਰ ਮਠ,বৈস্টমিন্স্টর মঠ,वैस्टमिन्स्टर मठ,ವೈಸ್ಟಮಿನ್ಸ್ಟರ ಮಠ,വൈസ്ടമിന്സ്ടര മഠ,வைஸ்டமிந்ஸ்டர மட,వైస్టమిన్స్టర మఠ,ویسٹمنسٹر مٹھ,ৈস্টমিন্স্টর মঠ,ବୈସ୍ଟମିନ୍ସ୍ଟର ମଠ,वैस्टमिन्स्टर मठ
Abditory,मालखाना,માલખાના,मालखाना,ਮਾਲਖਾਨਾ,মালখানা,मालखाना,ಮಾಲಖಾನಾ,മാലഖാനാ,மாலகாநா,మాలఖానా,مالکھانا,মালখানা,ମାଲଖାନା,मालखाना
Abolition of slavery,दासता का उन्मूलन,દાસતા કા ઉન્મૂલન,दासता का उन्मूलन,ਦਾਸਤਾ ਕਾ ਉਨ੍ਮੂਲਨ,দাসতা কা উন্মূলন,दासता का उन्मूलन,ದಾಸತಾ ಕಾ ಉನ್ಮೂಲನ,ദാസതാ കാ ഉന്മൂലന,தாஸதா கா உந்மூலந,దాసతా కా ఉన్మూలన,داستا کا انمولن,দাসতা কা উন্মূলন,ଦାସତା କା ଉନ୍ମୂଲନ,दासता का उन्मूलन
Aboriginal,आदिवासी,આદિવાસી,आदिवासी,ਪਰੇਚੀਨ ਆਦਿਵਾਸੀ,আদিবাসী,आदिवासी,ಆದಿವಾಸೀ,ആദിവാസീ,ஆதிவாஸீ,ఆదివాసీ,آدی واسی ۔ قدیمی,আদিাসী,ଆଦିମ,आदिवासी
Abraham Era,अब्राहम काल,અબ્રાહમ કાલ,अब्राहम काल,ਅਬ੍ਰਾਹਮ ਕਾਲ,অব্রাহম কাল,अब्राहम काल,ಅಬ್ರಾಹಮ ಕಾಲ,അബ്രാഹമ കാല,அப்ராஹம கால,అబ్రాహమ కాల,ابراہم کال,অব্রাহম কাল,ଅବ୍ରାହମ କାଲ,अब्राहम काल
Absentee landlords,प्रवासी ज़मींदार,પ્રવાસી જ઼મીંદાર,प्रवासी ज़मींदार,ਪ੍ਰਵਾਸੀ ਜ਼ਮੀਂਦਾਰ,প্রবাসী জ়মীংদার,प्रवासी ज़मींदार,ಪ್ರವಾಸೀ ಜ಼ಮೀಂದಾರ,പ്രവാസീ ജമീംദാര,ப்ரவாஸீ ஜமீங்தார,ప్రవాసీ జమీందార,پرواسی زمیندار,প্রাসী জ়মীংদার,ପ୍ରବାସୀ ଜ଼ମୀଂଦାର,प्रवासी ज़मींदार
Academy,अकादमी; विद्वत्परिषद,અકાદમી; વિદ્વત્પરિષદ,अकादमी; विद्वत्परिषद,ਵਿਦਿਆਲਾ,অকাদমী; বিদ্বত্পরিষদ,अकादमी; विद्वत्परिषद,ಅಕಾದಮೀ; ವಿದ್ವತ್ಪರಿಷದ,അകാദമീ; വിദ്വത്പരിഷദ,அகாதமீ; வித்வத்பரிஷத,అకాదమీ; విద్వత్పరిషద,اکاڈمی,অকাদমী; িদ্ত্পরিষদ,ଅକାଦମୀ; ବିଦ୍ବତ୍ପରିଷଦ,अकादमी; विद्वत्परिषद
Accra conference,अक्रा सम्मेलन,અક્રા સમ્મેલન,अक्रा सम्मेलन,ਅਕ੍ਰਾ ਸਮ੍ਮੇਲਨ,অক্রা সম্মেলন,अक्रा सम्मेलन,ಅಕ್ರಾ ಸಮ್ಮೇಲನ,അക്രാ സമ്മേലന,அக்ரா ஸம்மேலந,అక్రా సమ్మేలన,اکرا سمیلن,অক্রা সম্মলন,ଅକ୍ରା ସମ୍ମେଲନ,अक्रा सम्मेलन
Accruals,"प्रोद्भूत सामग्री, उपचित सामग्री","પ્રોદ્ભૂત સામગ્રી, ઉપચિત સામગ્રી","प्रोद्भूत सामग्री, उपचित सामग्री","ਪ੍ਰੋਦ੍ਭੂਤ ਸਾਮਗ੍ਰੀ, ਉਪਚਿਤ ਸਾਮਗ੍ਰੀ","প্রোদ্ভূত সামগ্রী, উপচিত সামগ্রী","प्रोद्भूत सामग्री, उपचित सामग्री","ಪ್ರೋದ್ಭೂತ ಸಾಮಗ್ರೀ, ಉಪಚಿತ ಸಾಮಗ್ರೀ","പ്രോദ്ഭൂത സാമഗ്രീ, ഉപചിത സാമഗ്രീ","ப்ரோத்பூத ஸாமக்ரீ, உபசித ஸாமக்ரீ","ప్రోద్భూత సామగ్రీ, ఉపచిత సామగ్రీ",پرودبھوت سامگری، اپچت سامگری,"প্রদ্ভূত সামগ্রী, উপচিত সামগ্রী","ପ୍ରୋଦ୍ଭୂତ ସାମଗ୍ରୀ, ଉପଚିତ ସାମଗ୍ରୀ","प्रोद्भूत सामग्री, उपचित सामग्री"
Acculturation,"परसंस्कृति-ग्रहण, उत्संस्करण","પરસંસ્કૃતિ-ગ્રહણ, ઉત્સંસ્કરણ","परसंस्कृति-ग्रहण, उत्संस्करण","ਪਰਸਂਸ੍ਕ੃ਤਿ-ਗ੍ਰਹਣ, ਉਤ੍ਸਂਸ੍ਕਰਣ","পরসংস্কৃতি-গ্রহণ, উত্সংস্করণ","परसंस्कृति-ग्रहण, उत्संस्करण","ಪರಸಂಸ್ಕೃತಿ-ಗ್ರಹಣ, ಉತ್ಸಂಸ್ಕರಣ","പരസംസ്കൃതി-ഗ്രഹണ, ഉത്സംസ്കരണ","பரஸங்ஸ்க்ருதி-க்ரஹண, உத்ஸங்ஸ்கரண","పరసంస్కృతి-గ్రహణ, ఉత్సంస్కరణ",پرسنسکرتی-گرہن، اتسنسکرن,"পরসংস্কৃতি-গ্রহণ, উত্সংস্করণ","ପରସଂସ୍କୃତି-ଗ୍ରହଣ, ଉତ୍ସଂସ୍କରଣ","परसंस्कृति-ग्रहण, उत्संस्करण"
Aceldama,एसेलडामा,એસેલડામા,एसेलडामा,ਏਸੇਲਡਾਮਾ,এসেলডামা,एसेलडामा,ಏಸೇಲಡಾಮಾ,ഏസേലഡാമാ,ஏஸேலடாமா,ఏసేలడామా,ایسیلڈاما,সলডামা,ଏସେଲଡାମା,एसेलडामा
Achaean (=Achian),एकियायी,એકિયાયી,एकियायी,ਏਕਿਯਾਯੀ,একিযাযী,एकियायी,ಏಕಿಯಾಯೀ,ഏകിയായീ,ஏகியாயீ,ఏకియాయీ,ایکیایی,কিযাযী,ଏକିଯାଯୀ,एकियायी
Achaean League (=Achian League),एकीयायी लीग,એકીયાયી લીગ,एकीयायी लीग,ਏਕੀਯਾਯੀ ਲੀਗ,একীযাযী লীগ,एकीयायी लीग,ಏಕೀಯಾಯೀ ಲೀಗ,ഏകീയായീ ലീഗ,ஏகீயாயீ லீக,ఏకీయాయీ లీగ,ایکیایی لیگ,কীযাযী লীগ,ଏକୀଯାଯୀ ଲୀଗ,एकीयायी लीग
Acropolis,एक्रोपोलिस,એક્રોપોલિસ,एक्रोपोलिस,ਏਕ੍ਰੋਪੋਲਿਸ,এক্রোপোলিস,एक्रोपोलिस,ಏಕ್ರೋಪೋಲಿಸ,ഏക്രോപോലിസ,ஏக்ரோபோலிஸ,ఏక్రోపోలిస,ایکروپولیس (قدیم یونانی),ক্রপলিস,ଏକ୍ରୋପୋଲିସ,एक्रोपोलिस
Acta Diurna,"शाही रोज़नामचा, दैनिक समाचार","શાહી રોજ઼નામચા, દૈનિક સમાચાર","शाही रोज़नामचा, दैनिक समाचार","ਸ਼ਾਹੀ ਰੋਜ਼ਨਾਮਚਾ, ਦੈਨਿਕ ਸਮਾਚਾਰ","শাহী রোজ়নামচা, দৈনিক সমাচার","शाही रोज़नामचा, दैनिक समाचार","ಶಾಹೀ ರೋಜ಼ನಾಮಚಾ, ದೈನಿಕ ಸಮಾಚಾರ","ശാഹീ രോജനാമചാ, ദൈനിക സമാചാര","சாஹீ ரோஜநாமசா, தைநிக ஸமாசார","శాహీ రోజనామచా, దైనిక సమాచార",شاہی روزنامچا، دینک سماچار,"শাহী রজ়নামচা, দৈনিক সমাচার","ଶାହୀ ରୋଜ଼ନାମଚା, ଦୈନିକ ସମାଚାର","शाही रोज़नामचा, दैनिक समाचार"
Acta Senatus,सीनेट का कार्यवृत्त,સીનેટ કા કાર્યવૃત્ત,सीनेट का कार्यवृत्त,ਸੀਨੇਟ ਕਾ ਕਾਰ੍ਯਵ੃ਤ੍ਤ,সীনেট কা কার্যবৃত্ত,सीनेट का कार्यवृत्त,ಸೀನೇಟ ಕಾ ಕಾರ್ಯವೃತ್ತ,സീനേട കാ കാര്യവൃത്ത,ஸீநேட கா கார்யவ்ருத்த,సీనేట కా కార్యవృత్త,سینیٹ کا کاریورت,সীনট কা কার্যৃত্ত,ସୀନେଟ କା କାର୍ଯବୃତ୍ତ,सीनेट का कार्यवृत्त
Acte Additionel,"अपर प्रपत्र, एक्टे एडिशनेल","અપર પ્રપત્ર, એક્ટે એડિશનેલ","अपर प्रपत्र, एक्टे एडिशनेल","ਅਪਰ ਪ੍ਰਪਤ੍ਰ, ਏਕ੍ਟੇ ਏਡਿਸ਼ਨੇਲ","অপর প্রপত্র, এক্টে এডিশনেল","अपर प्रपत्र, एक्टे एडिशनेल","ಅಪರ ಪ್ರಪತ್ರ, ಏಕ್ಟೇ ಏಡಿಶನೇಲ","അപര പ്രപത്ര, ഏക്ടേ ഏഡിശനേല","அபர ப்ரபத்ர, ஏக்டே ஏடிசநேல","అపర ప్రపత్ర, ఏక్టే ఏడిశనేల",اپر پرپتر، ایکٹے ایڈشنیل,"অপর প্রপত্র, ক্ট ডিশনল","ଅପର ପ୍ରପତ୍ର, ଏକ୍ଟେ ଏଡିଶନେଲ","अपर प्रपत्र, एक्टे एडिशनेल"
Active record (=current record),सक्रिय रिकार्ड,સક્રિય રિકાર્ડ,सक्रिय रिकार्ड,ਸਕ੍ਰਿਯ ਰਿਕਾਰ੍ਡ,সক্রিয রিকার্ড,सक्रिय रिकार्ड,ಸಕ್ರಿಯ ರಿಕಾರ್ಡ,സക്രിയ രികാര്ഡ,ஸக்ரிய ரிகார்ட,సక్రియ రికార్డ,سکریہ ریکارڈ,সক্রিয রিকার্ড,ସକ୍ରିଯ ରିକାର୍ଡ,सक्रिय रिकार्ड
Act of attainder,अपकीर्त्ति अधिनियम,અપકીર્ત્તિ અધિનિયમ,अपकीर्त्ति अधिनियम,ਅਪਕੀਰ੍ਤ੍ਤਿ ਅਧਿਨਿਯਮ,অপকীর্ত্তি অধিনিযম,अपकीर्त्ति अधिनियम,ಅಪಕೀರ್ತ್ತಿ ಅಧಿನಿಯಮ,അപകീര്ത്തി അധിനിയമ,அபகீர்த்தி அதிநியம,అపకీర్త్తి అధినియమ,اپکیرتی ادھنیم,অপকীর্ত্তি অধিনিযম,ଅପକୀର୍ତ୍ତି ଅଧିନିଯମ,अपकीर्त्ति अधिनियम
Act of Indemnity and oblivion,दंड विमुक्ति एवं विस्मरण अधिनियम,દંડ વિમુક્તિ એવં વિસ્મરણ અધિનિયમ,दंड विमुक्ति एवं विस्मरण अधिनियम,ਦਂਡ ਵਿਮੁਕ੍ਤਿ ਏਵਂ ਵਿਸ੍ਮਰਣ ਅਧਿਨਿਯਮ,দংড বিমুক্তি এবং বিস্মরণ অধিনিযম,दंड विमुक्ति एवं विस्मरण अधिनियम,ದಂಡ ವಿಮುಕ್ತಿ ಏವಂ ವಿಸ್ಮರಣ ಅಧಿನಿಯಮ,ദംഡ വിമുക്തി ഏവം വിസ്മരണ അധിനിയമ,தங்ட விமுக்தி ஏவங் விஸ்மரண அதிநியம,దండ విముక్తి ఏవం విస్మరణ అధినియమ,دنڈ ومکتی ایوں وسمرن ادھنیم,দংড িমুক্তি ং িস্মরণ অধিনিযম,ଦଂଡ ବିମୁକ୍ତି ଏବଂ ବିସ୍ମରଣ ଅଧିନିଯମ,दंड विमुक्ति एवं विस्मरण अधिनियम
Act of Settlement,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट","રાજ્ય-વ્યવસ્થા અધિનિયમ, એક્ટ ઑફ સેટિલમેંટ","राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट","ਰਾਜ੍ਯ-ਵ੍ਯਵਸ੍ਥਾ ਅਧਿਨਿਯਮ, ਏਕ੍ਟ ਑ਫ ਸੇਟਿਲਮੇਂਟ","রাজ্য-ব্যবস্থা অধিনিযম, এক্ট ঔফ সেটিলমেংট","राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट","ರಾಜ್ಯ-ವ್ಯವಸ್ಥಾ ಅಧಿನಿಯಮ, ಏಕ್ಟ ಔಫ ಸೇಟಿಲಮೇಂಟ","രാജ്യ-വ്യവസ്ഥാ അധിനിയമ, ഏക്ട ഔഫ സേടിലമേംട","ராஜ்ய-வ்யவஸ்தா அதிநியம, ஏக்ட ஔப ஸேடிலமேங்ட","రాజ్య-వ్యవస్థా అధినియమ, ఏక్ట ఔఫ సేటిలమేంట",راجیہ-ویوستھا ادھنیم، ایکٹ آف سیٹلمینٹ,"রাজ্য-্যস্থা অধিনিযম, ক্ট ফ সটিলমংট","ରାଜ୍ଯ-ବ୍ଯବସ୍ଥା ଅଧିନିଯମ, ଏକ୍ଟ ଔଫ ସେଟିଲମେଂଟ","राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
Ad contractus seal,संविदा मुद्रा,સંવિદા મુદ્રા,संविदा मुद्रा,ਸਂਵਿਦਾ ਮੁਦ੍ਰਾ,সংবিদা মুদ্রা,संविदा मुद्रा,ಸಂವಿದಾ ಮುದ್ರಾ,സംവിദാ മുദ്രാ,ஸங்விதா முத்ரா,సంవిదా ముద్రా,سنودا مدرا,সংিদা মুদ্রা,ସଂବିଦା ମୁଦ୍ରା,संविदा मुद्रा
Adullamites,आडुलम गुटवादी,આડુલમ ગુટવાદી,आडुलम गुटवादी,ਆਡੁਲਮ ਗੁਟਵਾਦੀ,আডুলম গুটবাদী,आडुलम गुटवादी,ಆಡುಲಮ ಗುಟವಾದೀ,ആഡുലമ ഗുടവാദീ,ஆடுலம குடவாதீ,ఆడులమ గుటవాదీ,آڈولم گٹوادی,আডুলম গুটাদী,ଆଡୁଲମ ଗୁଟବାଦୀ,आडुलम गुटवादी
Adversary,विपक्षी,વિપક્ષી,विपक्षी,"ਦੁਸ਼ਮਣ,ਵਿਰੋਧੀ",বিপক্ষী,विपक्षी,ವಿಪಕ್ಷೀ,വിപക്ഷീ,விபக்ஷீ,విపక్షీ,وپکشی,িপক্ষী,ବିପକ୍ଷୀ,विपक्षी
Adversary,2. शत्रु,૨. શત્રુ,२. शत्रु,"ਦੁਸ਼ਮਣ,ਵਿਰੋਧੀ",২. শত্রু,२. शत्रु,೨. ಶತ್ರು,൨. ശത്രു,௨. சத்ரு,౨. శత్రు,۲۔ شترو,২. শত্রু,୨. ଶତ୍ରୁ,२. शत्रु
Aeon,युग,યુગ,युग,ਯੁਗ,যুগ,युग,ಯುಗ,യുഗ,யுக,యుగ,جگ,যুগ,ଯୁଗ,युग
Aerarium,इरेरियम,ઇરેરિયમ,इरेरियम,ਇਰੇਰਿਯਮ,ইরেরিযম,इरेरियम,ಇರೇರಿಯಮ,ഇരേരിയമ,இரேரியம,ఇరేరియమ,اریریم,ইররিযম,ଇରେରିଯମ,इरेरियम
Aerial warfare,"आकाशी युद्ध, हवाई लड़ाई","આકાશી યુદ્ધ, હવાઈ લડ઼ાઈ","आकाशी युद्ध, हवाई लड़ाई","ਆਕਾਸ਼ੀ ਯੁਦ੍ਧ, ਹਵਾਈ ਲਡ਼ਾਈ","আকাশী যুদ্ধ, হবাঈ লড়াঈ","आकाशी युद्ध, हवाई लड़ाई","ಆಕಾಶೀ ಯುದ್ಧ, ಹವಾಈ ಲಡ಼ಾಈ","ആകാശീ യുദ്ധ, ഹവാഈ ലഡാഈ","ஆகாசீ யுத்த, ஹவாஈ லடாஈ","ఆకాశీ యుద్ధ, హవాఈ లడాఈ",ہوائی جنگ,"আকাশী যুদ্ধ, হাঈ লড়াঈ","ଆକାଶୀ ଯୁଦ୍ଧ, ହବାଈ ଲଡ଼ାଈ","आकाशी युद्ध, हवाई लड़ाई"
Aetolian League,"एटोलियन लीग, एटोलियायी संघ","એટોલિયન લીગ, એટોલિયાયી સંઘ","एटोलियन लीग, एटोलियायी संघ","ਏਟੋਲਿਯਨ ਲੀਗ, ਏਟੋਲਿਯਾਯੀ ਸਂਘ","এটোলিযন লীগ, এটোলিযাযী সংঘ","एटोलियन लीग, एटोलियायी संघ","ಏಟೋಲಿಯನ ಲೀಗ, ಏಟೋಲಿಯಾಯೀ ಸಂಘ","ഏടോലിയന ലീഗ, ഏടോലിയായീ സംഘ","ஏடோலியந லீக, ஏடோலியாயீ ஸங்க","ఏటోలియన లీగ, ఏటోలియాయీ సంఘ",ایٹولین لیگ، ایٹولیایی سنگھ,"টলিযন লীগ, টলিযাযী সংঘ","ଏଟୋଲିଯନ ଲୀଗ, ଏଟୋଲିଯାଯୀ ସଂଘ","एटोलियन लीग, एटोलियायी संघ"
Age,"काल, युग","વય, ઉંમર","वय, युग","ਉਮਰ, ਆਯੂ, ਯੁਗ",বয়স,पिराय,ವಯಸ್ಸು,വയസ്സ്,"வயது, அகவை","యుగం,వయస్సు,ప్రాయం,తరం,పురుషాంతరం",عمر,1. বয়স 2. যুগ,"ବୟସ, ଯୁଗ","1. आयु,उमेर2. युग"
Ageing (=aging),"काल-प्रभावन, जीर्णन","કાલ-પ્રભાવન, જીર્ણન","काल-प्रभावन, जीर्णन","ਕਾਲ-ਪ੍ਰਭਾਵਨ, ਜੀਰ੍ਣਨ","কাল-প্রভাবন, জীর্ণন","काल-प्रभावन, जीर्णन","ಕಾಲ-ಪ್ರಭಾವನ, ಜೀರ್ಣನ","കാല-പ്രഭാവന, ജീര്ണന","கால-ப்ரபாவந, ஜீர்ணந","కాల-ప్రభావన, జీర్ణన",کال-پربھاون، جیرنن,"কাল-প্রভান, জীর্ণন","କାଲ-ପ୍ରଭାବନ, ଜୀର୍ଣନ","काल-प्रभावन, जीर्णन"
