English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
A.c (alternating current) coupling,ए.सी. (प्रत्यावर्ती धारा) युग्मन,એ.સી. (પ્રત્યાવર્તી ધારા) યુગ્મન,ए.सी. (प्रत्यावर्ती धारा) युग्मन,ਏ.ਸੀ. (ਪ੍ਰਤ੍ਯਾਵਰ੍ਤੀ ਧਾਰਾ) ਯੁਗ੍ਮਨ,এ.সী. (প্রত্যাবর্তী ধারা) যুগ্মন,ए.सी. (प्रत्यावर्ती धारा) युग्मन,ಏ.ಸೀ. (ಪ್ರತ್ಯಾವರ್ತೀ ಧಾರಾ) ಯುಗ್ಮನ,ഏ.സീ. (പ്രത്യാവര്തീ ധാരാ) യുഗ്മന,ஏ.ஸீ. (ப்ரத்யாவர்தீ தாரா) யுக்மந,ఏ.సీ. (ప్రత్యావర్తీ ధారా) యుగ్మన,ای۔سی۔ (پرتیاورتی دھارا) یگمن,.সী. (প্রত্যার্তী ধারা) যুগ্মন,ଏ.ସୀ. (ପ୍ରତ୍ଯାବର୍ତୀ ଧାରା) ଯୁଗ୍ମନ,ए.सी. (प्रत्यावर्ती धारा) युग्मन
Aberration,"विपथन, अपेरण","વિપથન, અપેરણ","विपथन, अपेरण",ਰਾਹ ਭਟਕਣ ਜਾਂ ਮਾਰਗ ਭਿਰਸ਼ਟਤਾ,"বিপথন, অপেরণ","विपथन, अपेरण","ವಿಪಥನ, ಭ್ರಂಶ","വിപഥന, അപേരണ","விபதந, அபேரண","విపథన, అపేరణ",فتور,"িপথন, অপরণ",ବିପଥନ,"विपथन, अपेरण"
Ablation,"अपक्षरण, अपक्षरित","અપક્ષરણ, અપક્ષરિત","अपक्षरण, अपक्षरित",ਚੀਰ ਫਾੜ ਕਰਕੇ ਸਰੀਰ ਦੇ ਕਿਸੇ ਅੰਗ ਨੂੰ ਕੱਟਣਾ,"অপক্ষরণ, অপক্ষরিত","अपक्षरण, अपक्षरित","ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ","അപക്ഷരണ, അപക്ഷരിത","அபக்ஷரண, அபக்ஷரித","అపక్షరణ, అపక్షరిత",سائش,"অপক্ষরণ, অপক্ষরিত","ଅପକ୍ଷରଣ, ଅପକ୍ଷରିତ","अपक्षरण, अपक्षरित"
Ablation rocket,अपक्षरण रॉकेट,અપક્ષરણ રૉકેટ,अपक्षरण रॉकेट,ਅਪਕ੍਷ਰਣ ਰ੉ਕੇਟ,অপক্ষরণ রৌকেট,अपक्षरण रॉकेट,ಅಪಕ್ಷರಣ ರೌಕೇಟ,അപക്ഷരണ രൌകേട,அபக்ஷரண ரௌகேட,అపక్షరణ రౌకేట,اپکشرن راکیٹ,অপক্ষরণ রকট,ଅପକ୍ଷରଣ ରୌକେଟ,अपक्षरण रॉकेट
Abnormal ionospheric layer,अपसामान्य आयनमंडली परत,અપસામાન્ય આયનમંડલી પરત,अपसामान्य आयनमंडली परत,ਅਪਸਾਮਾਨ੍ਯ ਆਯਨਮਂਡਲੀ ਪਰਤ,অপসামান্য আযনমংডলী পরত,अपसामान्य आयनमंडली परत,ಅಪಸಾಮಾನ್ಯ ಆಯನಮಂಡಲೀ ಪರತ,അപസാമാന്യ ആയനമംഡലീ പരത,அபஸாமாந்ய ஆயநமங்டலீ பரத,అపసామాన్య ఆయనమండలీ పరత,اپسامانیہ آینمنڈلی پرت,অপসামান্য আযনমংডলী পরত,ଅପସାମାନ୍ଯ ଆଯନମଂଡଲୀ ପରତ,अपसामान्य आयनमंडली परत
Abort,विफलन,વિફલન,विफलन,ਗਰਭ ਪਾਤ ਹੋਣਾ,বিফলন,विफलन,ಕಾರ್ಯಭಂಗ,വിഫലന,விபலந,విఫలన,وپھلن,িফলন,ବିଫଲନ,विफलन
Absent subscriber service,अनुपस्थित उपभोक्ता सेवा,અનુપસ્થિત ઉપભોક્તા સેવા,अनुपस्थित उपभोक्ता सेवा,ਅਨੁਪਸ੍ਥਿਤ ਉਪਭੋਕ੍ਤਾ ਸੇਵਾ,অনুপস্থিত উপভোক্তা সেবা,अनुपस्थित उपभोक्ता सेवा,ಅನುಪಸ್ಥಿತ ಉಪಭೋಕ್ತಾ ಸೇವಾ,അനുപസ്ഥിത ഉപഭോക്താ സേവാ,அநுபஸ்தித உபபோக்தா ஸேவா,అనుపస్థిత ఉపభోక్తా సేవా,انوپستھت اپبھوکتا سیوا,অনুপস্থিত উপভক্তা সা,ଅନୁପସ୍ଥିତ ଉପଭୋକ୍ତା ସେବା,अनुपस्थित उपभोक्ता सेवा
Absolute acoustic pressure level,पूर्ण ध्वानिक दाबस्तर,પૂર્ણ ધ્વાનિક દાબસ્તર,पूर्ण ध्वानिक दाबस्तर,ਪੂਰ੍ਣ ਧ੍ਵਾਨਿਕ ਦਾਬਸ੍ਤਰ,পূর্ণ ধ্বানিক দাবস্তর,पूर्ण ध्वानिक दाबस्तर,ಪೂರ್ಣ ಧ್ವಾನಿಕ ದಾಬಸ್ತರ,പൂര്ണ ധ്വാനിക ദാബസ്തര,பூர்ண த்வாநிக தாபஸ்தர,పూర్ణ ధ్వానిక దాబస్తర,پورن دھوانک دابستر,পূর্ণ ধ্ানিক দাবস্তর,ପୂର୍ଣ ଧ୍ବାନିକ ଦାବସ୍ତର,पूर्ण ध्वानिक दाबस्तर
Absolute field stength,निरपेक्ष क्षेत्र तीव्रता,નિરપેક્ષ ક્ષેત્ર તીવ્રતા,निरपेक्ष क्षेत्र तीव्रता,ਨਿਰਪੇਕ੍਷ ਕ੍਷ੇਤ੍ਰ ਤੀਵ੍ਰਤਾ,নিরপেক্ষ ক্ষেত্র তীব্রতা,निरपेक्ष क्षेत्र तीव्रता,ನಿರಪೇಕ್ಷ ಕ್ಷೇತ್ರ ತೀವ್ರತಾ,നിരപേക്ഷ ക്ഷേത്ര തീവ്രതാ,நிரபேக்ஷ க்ஷேத்ர தீவ்ரதா,నిరపేక్ష క్షేత్ర తీవ్రతా,نرپیکش شیتر تیورتا,নিরপক্ষ ক্ষত্র তী্রতা,ନିରପେକ୍ଷ କ୍ଷେତ୍ର ତୀବ୍ରତା,निरपेक्ष क्षेत्र तीव्रता
Absolute instruction,निरपेक्ष अनुदेश,નિરપેક્ષ અનુદેશ,निरपेक्ष अनुदेश,ਨਿਰਪੇਕ੍਷ ਅਨੁਦੇਸ਼,নিরপেক্ষ অনুদেশ,निरपेक्ष अनुदेश,ನಿರಪೇಕ್ಷ ಅನುದೇಶ,നിരപേക്ഷ അനുദേശ,நிரபேக்ஷ அநுதேச,నిరపేక్ష అనుదేశ,نرپیکش انودیش,নিরপক্ষ অনুদশ,ନିରପେକ୍ଷ ଅନୁଦେଶ,निरपेक्ष अनुदेश
Absolute magnitude,निरपेक्ष परिमाण,નિરપેક્ષ પરિમાણ,निरपेक्ष परिमाण,ਨਿਰਪੇਕ੍਷ ਪਰਿਮਾਣ,নিরপেক্ষ পরিমাণ,निरपेक्ष परिमाण,ಕಾಂತಿಮಾನ,നിരപേക്ഷ പരിമാണ,நிரபேக்ஷ பரிமாண,నిరపేక్ష పరిమాణ,مطلق قدر,নিরপক্ষ পরিমাণ,ନିରପେକ୍ଷ ପରିମାଣ,निरपेक्ष परिमाण
Absolute power level,निरपेक्ष शक्तिस्तर,નિરપેક્ષ શક્તિસ્તર,निरपेक्ष शक्तिस्तर,ਨਿਰਪੇਕ੍਷ ਸ਼ਕ੍ਤਿਸ੍ਤਰ,নিরপেক্ষ শক্তিস্তর,निरपेक्ष शक्तिस्तर,ನಿರಪೇಕ್ಷ ಶಕ್ತಿಸ್ತರ,നിരപേക്ഷ ശക്തിസ്തര,நிரபேக்ஷ சக்திஸ்தர,నిరపేక్ష శక్తిస్తర,نرپیکش شکتستر,নিরপক্ষ শক্তিস্তর,ନିରପେକ୍ଷ ଶକ୍ତିସ୍ତର,निरपेक्ष शक्तिस्तर
Absolute temperature,परम ताप,પરમ તાપ,परम ताप,ਪਰਮ ਤਾਪ,পরম তাপ,परम ताप,ನಿರಪೇಕ್ಷ ಉಷ್ಣತೆ,പരമ താപ,பரம தாப,పరమ తాప,مطلق تاپ / ٹمپر یچر,পরম তাপ,ପରମ ତାପ,परम ताप
