English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abate,कम होना,કમ હોના,कम होना,ਹੋਲੀ ਕਰਨਾ,কম হোনা,कम होना,ಕಮ ಹೋನಾ,കുറയ്,கம ஹோநா,కమ హోనా,کم کرنا,কম হনা,କମ ହୋନା,कम होना
Abbreviated,संक्षिप्त शीर्षक,સંક્ષિપ્ત શીર્ષક,संक्षिप्त शीर्षक,ਸਂਕ੍਷ਿਪ੍ਤ ਸ਼ੀਰ੍਷ਕ,সংক্ষিপ্ত শীর্ষক,संक्षिप्त शीर्षक,ಸಂಕ್ಷಿಪ್ತ ಶೀರ್ಷಕ,സംക്ഷിപ്ത ശീര്ഷക,ஸங்க்ஷிப்த சீர்ஷக,సంక్షిప్త శీర్షక,سنکشپت شیرشک,সংক্ষিপ্ত শীর্ষক,ସଂକ୍ଷିପ୍ତ ଶୀର୍ଷକ,संक्षिप्त शीर्षक
Aberration,"अपेरण, विपथन","અપેરણ, વિપથન","अपेरण, विपथन",ਰਾਹ ਭਟਕਣ ਜਾਂ ਮਾਰਗ ਭਿਰਸ਼ਟਤਾ,"অপেরণ, বিপথন","अपेरण, विपथन","ವಿಪಥನ, ಭ್ರಂಶ","അപേരണ, വിപഥന","அபேரண, விபதந","అపేరణ, విపథన",فتور,"অপরণ, িপথন",ବିପଥନ,"अपेरण, विपथन"
Ablation,अपक्षरण,અપક્ષરણ,अपक्षरण,ਚੀਰ ਫਾੜ ਕਰਕੇ ਸਰੀਰ ਦੇ ਕਿਸੇ ਅੰਗ ਨੂੰ ਕੱਟਣਾ,অপক্ষরণ,अपक्षरण,"ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ",അപക്ഷരണ,அபக்ஷரண,అపక్షరణ,سائش,অপক্ষরণ,ଅପକ୍ଷରଣ,अपक्षरण
Ablation zone,अपक्षरण क्षेत्र,અપક્ષરણ ક્ષેત્ર,अपक्षरण क्षेत्र,ਅਪਕ੍਷ਰਣ ਕ੍਷ੇਤ੍ਰ,অপক্ষরণ ক্ষেত্র,अपक्षरण क्षेत्र,ಅಪಕ್ಷರಣ ಕ್ಷೇತ್ರ,അപക്ഷരണ ക്ഷേത്ര,அபக்ஷரண க்ஷேத்ர,అపక్షరణ క్షేత్ర,اپکشرن شیتر,অপক্ষরণ ক্ষত্র,ଅପକ୍ଷରଣ କ୍ଷେତ୍ର,अपक्षरण क्षेत्र
Abnormal,अपसामान्य,"અસામાન્ય, નિયમબાહ્ય, વિકૃતિ, અસાધારણ","असामान्य, प्रमाणाबाहेर","ਅਸਹਿਜ, ਅਸਮਾਨ",অস্বাভাবিক,"अपसामान्य,विचित्र","ಅಸಹಜ, ಅಪಸಾಮಾನ್ಯ",വികല,இயல்பு மீறிய,"అసాధారణ,అసామాన్య,",غیر معمولی,অস্বাভাৱিক,"ଅସ୍ୱାଭାବିକ, ଅନିୟମିତ","असामान्य, विकृत"
Above normal,सामान्य से अधिक,સામાન્ય સે અધિક,सामान्य से अधिक,ਸਾਮਾਨ੍ਯ ਸੇ ਅਧਿਕ,সামান্য সে অধিক,सामान्य से अधिक,ಸಾಮಾನ್ಯ ಸೇ ಅಧಿಕ,സാമാന്യ സേ അധിക,ஸாமாந்ய ஸே அதிக,సామాన్య సే అధిక,سامانیہ سے ادھک,সামান্য স অধিক,ସାମାନ୍ଯ ସେ ଅଧିକ,सामान्य से अधिक
Abridgement,"संक्षेपण, संक्षिप्ति","સંક્ષેપણ, સંક્ષિપ્તિ","संक्षेपण, संक्षिप्ति","ਸਂਕ੍਷ੇਪਣ, ਸਂਕ੍਷ਿਪ੍ਤਿ","সংক্ষেপণ, সংক্ষিপ্তি","संक्षेपण, संक्षिप्ति","ಸಂಕ್ಷೇಪಣ, ಸಂಕ್ಷಿಪ್ತಿ","സംക്ഷേപണ, സംക്ഷിപ്തി","ஸங்க்ஷேபண, ஸங்க்ஷிப்தி","సంక్షేపణ, సంక్షిప్తి",اختصا ر - تلخیص,"সংক্ষপণ, সংক্ষিপ্তি","ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି","संक्षेपण, संक्षिप्ति"
Absolute,"निरपेक्ष, चरम","અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute altitude,निरपेक्ष तुंगता,નિરપેક્ષ તુંગતા,निरपेक्ष तुंगता,ਨਿਰਪੇਕ੍਷ ਤੁਂਗਤਾ,নিরপেক্ষ তুংগতা,निरपेक्ष तुंगता,ನಿರಪೇಕ್ಷ ತುಂಗತಾ,നിരപേക്ഷ തുംഗതാ,நிரபேக்ஷ துங்கதா,నిరపేక్ష తుంగతా,نرپیکش تنگتا,নিরপক্ষ তুংগতা,ନିରପେକ୍ଷ ତୁଂଗତା,निरपेक्ष तुंगता
