English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abactinal,पृष्ठीय,પૃષ્ઠીય,पृष्ठीय,ਪ੃਷੍ਠੀਯ,পৃষ্ঠীয,पृष्ठीय,ಪೃಷ್ಠೀಯ,പൃഷ്ഠീയ,ப்ருஷ்டீய,పృష్ఠీయ,پرشٹھیہ,পৃষ্ঠীয,ପୃଷ୍ଠୀଯ,पृष्ठीय
Abdominal,"उदरीय, उदर","ઉદરીય, ઉદર","उदरीय, उदर","ਉਦਰੀਯ, ਉਦਰ","উদরীয, উদর","उदरीय, उदर",ಉದರದ,"ഉദരീയ, ഉദര","உதரீய, உதர","ఉదరీయ, ఉదర",ادریہ، ادر,"উদরীয, উদর",ଉଦରୀୟ,"उदरीय, उदर"
Abdominal muscle scar,उदरीय पेशी चिहन,ઉદરીય પેશી ચિહન,उदरीय पेशी चिहन,ਉਦਰੀਯ ਪੇਸ਼ੀ ਚਿਹਨ,উদরীয পেশী চিহন,उदरीय पेशी चिहन,ಉದರೀಯ ಪೇಶೀ ಚಿಹನ,ഉദരീയ പേശീ ചിഹന,உதரீய பேசீ சிஹந,ఉదరీయ పేశీ చిహన,ادریہ پیشی چہن,উদরীয পশী চিহন,ଉଦରୀଯ ପେଶୀ ଚିହନ,उदरीय पेशी चिहन
Abiogenesis,आजीवात्जनन,આજીવાત્જનન,आजीवात्जनन,ਆਜੀਵਾਤ੍ਜਨਨ,আজীবাত্জনন,आजीवात्जनन,"ಅಜೈವಿಕ ಜನನ, ಅಜೀವ ಜನ್ಯತೆ, ಅಜೀವೋತ್ಪತ್ತಿ",ആജീവാത്ജനന,ஆஜீவாத்ஜநந,ఆజీవాత్జనన,آجیواتجنن,আজীাত্জনন,"ଅଜୀବୀୟ ଜନନ, ଅଜୀବ - ଜନନ",आजीवात्जनन
Aboral,अपमुख,અપમુખ,अपमुख,ਅਪਮੁਖ,অপমুখ,अपमुख,ಅಪಮುಖ,അപമുഖ,அபமுக,అపముఖ,اپمکھ,অপমুখ,"ଅବମୁଖ, ଅପମୁଖ",अपमुख
Absolute,"निरपेक्ष, परम, अचर, परिशुद्ध","અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
Absolute age,निरपेक्ष आयु,નિરપેક્ષ આયુ,निरपेक्ष आयु,ਨਿਰਪੇਕ੍਷ ਆਯੁ,নিরপেক্ষ আযু,निरपेक्ष आयु,ನಿರಪೇಕ್ಷ ಆಯು,നിരപേക്ഷ ആയു,நிரபேக்ஷ ஆயு,నిరపేక్ష ఆయు,نرپیکش آیو,নিরপক্ষ আযু,ନିରପେକ୍ଷ ଆଯୁ,निरपेक्ष आयु
Absolute chronology,सौर वर्ष कालानुक्रम,સૌર વર્ષ કાલાનુક્રમ,सौर वर्ष कालानुक्रम,ਸੌਰ ਵਰ੍਷ ਕਾਲਾਨੁਕ੍ਰਮ,সৌর বর্ষ কালানুক্রম,सौर वर्ष कालानुक्रम,ಸೌರ ವರ್ಷ ಕಾಲಾನುಕ್ರಮ,സൌര വര്ഷ കാലാനുക്രമ,ஸௌர வர்ஷ காலாநுக்ரம,సౌర వర్ష కాలానుక్రమ,سور ورش کالانکرم,সৌর র্ষ কালানুক্রম,ସୌର ବର୍ଷ କାଲାନୁକ୍ରମ,सौर वर्ष कालानुक्रम
Absolute date,निरपेक्ष काल (वर्ष),નિરપેક્ષ કાલ (વર્ષ),निरपेक्ष काल (वर्ष),ਨਿਰਪੇਕ੍਷ ਕਾਲ (ਵਰ੍਷),নিরপেক্ষ কাল (বর্ষ),निरपेक्ष काल (वर्ष),ನಿರಪೇಕ್ಷ ಕಾಲ (ವರ್ಷ),നിരപേക്ഷ കാല (വര്ഷ),நிரபேக்ஷ கால (வர்ஷ),నిరపేక్ష కాల (వర్ష),نرپیکش کال (ورش),নিরপক্ষ কাল (র্ষ),ନିରପେକ୍ଷ କାଲ (ବର୍ଷ),निरपेक्ष काल (वर्ष)
Abur beds,अबूर संस्तर,અબૂર સંસ્તર,अबूर संस्तर,ਅਬੂਰ ਸਂਸ੍ਤਰ,অবূর সংস্তর,अबूर संस्तर,ಅಬೂರ ಸಂಸ್ತರ,അബൂര സംസ്തര,அபூர ஸங்ஸ்தர,అబూర సంస్తర,ابور سنستر,অবূর সংস্তর,ଅବୂର ସଂସ୍ତର,अबूर संस्तर
