English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
abecedarium,वर्ण प्रवेशिका,વર્ણ પ્રવેશિકા,वर्ण प्रवेशिका,ਵਰ੍ਣ ਪ੍ਰਵੇਸ਼ਿਕਾ,বর্ণ প্রবেশিকা,वर्ण प्रवेशिका,ವರ್ಣ ಪ್ರವೇಶಿಕಾ,വര്ണ പ്രവേശികാ,வர்ண ப்ரவேசிகா,వర్ణ ప్రవేశికా,ورن پرویشکا,র্ণ প্রশিকা,ବର୍ଣ ପ୍ରବେଶିକା,वर्ण प्रवेशिका
ability,"योग्यता, सामर्थ्य","ક્ષમતા, યોગ્યતા, સક્ષમતા","समर्थता, योग्यता",ਯੋਗਤਾ,"সামর্থ্য,কর্মদক্ষতা",योग्यताय,"ಅಳವು, ಸಾಮರ್ಥ್ಯ",കഴിവ്,"திறமை, ஆற்றல், வல்லமை","సమర్థత,శక్తి,తాహతు",قابلیت، اہلیت,সামর্থ্য,"ସାମର୍ଥ୍ୟ, ଦକ୍ଷତା, ଯୋଗ୍ୟତା","योग्यता, सक्षमता"
ability distribution,योग्यता वितरण,યોગ્યતા વિતરણ,योग्यता वितरण,ਯੋਗ੍ਯਤਾ ਵਿਤਰਣ,যোগ্যতা বিতরণ,योग्यता वितरण,ಯೋಗ್ಯತಾ ವಿತರಣ,യോഗ്യതാ വിതരണ,யோக்யதா விதரண,యోగ్యతా వితరణ,یوگیتا وترن,যগ্যতা িতরণ,ଯୋଗ୍ଯତା ବିତରଣ,योग्यता वितरण
ablity grouping,योग्यतानुसार समूहन,યોગ્યતાનુસાર સમૂહન,योग्यतानुसार समूहन,ਯੋਗ੍ਯਤਾਨੁਸਾਰ ਸਮੂਹਨ,যোগ্যতানুসার সমূহন,योग्यतानुसार समूहन,ಯೋಗ್ಯತಾನುಸಾರ ಸಮೂಹನ,യോഗ്യതാനുസാര സമൂഹന,யோக்யதாநுஸார ஸமூஹந,యోగ్యతానుసార సమూహన,یوگیتانسار سموہن,যগ্যতানুসার সমূহন,ଯୋଗ୍ଯତାନୁସାର ସମୂହନ,योग्यतानुसार समूहन
absence record,अनुपस्थिति - अभिलेख,અનુપસ્થિતિ - અભિલેખ,अनुपस्थिति - अभिलेख,ਅਨੁਪਸ੍ਥਿਤਿ - ਅਭਿਲੇਖ,অনুপস্থিতি - অভিলেখ,अनुपस्थिति - अभिलेख,ಅನುಪಸ್ಥಿತಿ - ಅಭಿಲೇಖ,അനുപസ്ഥിതി - അഭിലേഖ,அநுபஸ்திதி - அபிலேக,అనుపస్థితి - అభిలేఖ,انوپستھتی - ابھلیکھ,অনুপস্থিতি - অভিলখ,ଅନୁପସ୍ଥିତି - ଅଭିଲେଖ,अनुपस्थिति - अभिलेख
absentee,"अनुपस्थित,  गैरहाज़िर","ગેરહાજર, અનુપસ્થિત","अनुपस्थित व्यक्‍ति, गैरहजर व्यक्‍ति",ਹੈਰਹਾਜ਼ਿਰ,"অনুপস্থিত,অনাবাসী","अनुपस्थित,गैरहजर",ಗೈರು ಹಾಜರಾದವ,"ഹാജരില്ലാത്ത ആൾ, അസന്നിഹിത൯","வராதவர், இராதவர்",గైరుహాజరు అయినవ్యక్తి,غیر حاضر,"অনুপস্থায়ী,অনুপস্থিত","ଅନୁପସ୍ଥତ ବ୍ୟକ୍ତି, ଅନ୍ୟତ୍ର ବାସୀ","अनुपस्थित, गैरहाजि़री, गयल"
abstract intelligence,अमूर्त  बुद्धि,અમૂર્ત  બુદ્ધિ,अमूर्त  बुद्धि,ਅਮੂਰ੍ਤ  ਬੁਦ੍ਧਿ,অমূর্ত  বুদ্ধি,अमूर्त  बुद्धि,ಅಮೂರ್ತ  ಬುದ್ಧಿ,അമൂര്ത  ബുദ്ധി,அமூர்த  புத்தி,అమూర్త  బుద్ధి,امورت  بدھی,অমূর্ত  বুদ্ধি,ଅମୂର୍ତ  ବୁଦ୍ଧି,अमूर्त  बुद्धि
abstract learning,अमूर्त अधिगम,અમૂર્ત અધિગમ,अमूर्त अधिगम,ਅਮੂਰ੍ਤ ਅਧਿਗਮ,অমূর্ত অধিগম,अमूर्त अधिगम,ಅಮೂರ್ತ ಅಧಿಗಮ,അമൂര്ത അധിഗമ,அமூர்த அதிகம,అమూర్త అధిగమ,امورت ادھگم,অমূর্ত অধিগম,ଅମୂର୍ତ ଅଧିଗମ,अमूर्त अधिगम
academic,"शैक्षिक, शास्रीय, अकादमिक","શૈક્ષણિક, વિદ્યાને લગતું, તાત્વિક, સૈદ્ધાંતિક,શાસ્ત્રીય","विद्याविषयक, शैक्षणिक, तात्विक","ਅਕਾਦਮਿਕ, ਵਿਦਿਅਕ","শিক্ষাগত,শিক্ষাবিষয়ক","पंडिती,विधाविशयक","ಶೈಕ್ಷಣಿಕ, ತಾತ್ವಿಕ","അക്കാദമീയം, അക്കാദമിക്, വിദ്യാസംബന്ധി, സിദ്ധാന്തപരം","கல்வி பற்றிய, கலை பற்றிய, அறிவு செறிந்த",విద్యా/విద్వత్ సంబంధమైన,علمی,"শিক্ষাসংক্রান্ত,শৈক্ষিক,বিদ্যায়তনিক","ବିଦ୍ୟାଗତ, ସାରସ୍ୱତ, ଏକାଡେମିକ୍","एकेडेमिक, शैक्षणिक, विद्या सम्बन्धी"
academic ability,शैक्षिक योग्यता,શૈક્ષિક યોગ્યતા,शैक्षिक योग्यता,ਸ਼ੈਕ੍਷ਿਕ ਯੋਗ੍ਯਤਾ,শৈক্ষিক যোগ্যতা,शैक्षिक योग्यता,ಶೈಕ್ಷಿಕ ಯೋಗ್ಯತಾ,ശൈക്ഷിക യോഗ്യതാ,சைக்ஷிக யோக்யதா,శైక్షిక యోగ్యతా,شیکشک یوگیتا,শৈক্ষিক যগ্যতা,ଶୈକ୍ଷିକ ଯୋଗ୍ଯତା,शैक्षिक योग्यता
