English,Hindi
Abnormal,अपसामान्य
Abreaction,भावविरेचन
Absconder,"भगोड़ा, फरार"
Absenteeism,अनुपस्थितता
Abulia,संकल्प-अक्षमता
Acceptance,"स्वीकरण, स्वीकृति"
Accident prevention,दुर्घटना निवारण
Accident proneness,दुर्घटना प्रवणता
Acclimation (acclimatization),पर्यनुकूलन
Accused,अभियुक्त
Achievement,उपलब्धि
Achievement test,उपलब्धि परीक्षण
Acquittal,दोषमुक्ति
Action research,क्रियानिष्ठ अनुसंधान
Activity,"सक्रियता, क्रिया कलाप"
Activity group therapy,क्रियाकलाप समूह-चिकित्सा
Adaptability,"व्यनुकूलनशीलता, व्यनुकूलनक्षमता"
Adaptation,अनुकूलन
Addict,व्यसनी
Addicting drug,व्यसन भेषज
Adjudication,"अधिनिर्णय, अधिनिर्णयन"
Adjustment,समायोजन
Administrative behaviour,प्रशासनिक व्यवहार
Adolescence,"किशोरावस्था, कैशोर्य"
Adolescent court,किशोर-न्यायालय
Adolescent labour,किशोर श्रमिक
Adoption,"गोद लेना, दत्तक ग्रहण"
Adoptive home,दत्तक गृह
Adult education,प्रौढ़ शिक्षा
Adultery,"जारकर्म, परस्त्रीगमन"
Affect,भाव
Affiliation,संबंधन
After care,उत्तर सेवा
After care home,उत्तर सेवा गृह
After care programme,उत्तर सेवा कार्यक्रम
Agency,अभिकरण
Agent,अभिकर्ता
Aggression,आक्रमण
Agitation,"क्षोभ, आंदोलन"
Alcoholism,"मद्यव्यसन, अतिमद्यपता"
Alienation,विसंबंधन
Almoner,दानाध्यक्ष
Almonry,दानशाला
Ambivalence,"उभयभाविता, द्वैधवृत्ति"
Ambiversion,उभयमुखता
Amelioration,सुधार
Amnesia,"स्मृति लोप, स्मृति भ्रंश"
Amoral,"निर्नैतिक, नीति निर्पेक्ष, नीतिबाह्य"
Anal stage,गुदावस्था
Analysis,विश्लेषण
Analysis of transference,अन्यारोपण विश्लेषण
Anaphrodisiac,कामोपशामक
Anomie,अप्रतिमानता
Antagonism,"विरोध, प्रतिद्वंद्विता"
Antipathy,विद्वेष
Antisocial personality,समाजविरोधी व्यक्तित्व
Anxiety,दुश्चिंता
Application,अनुप्रयोग
Approach-approach conflict,उपागम-उपागम-द्वंद्व
Approach-avoidance conflict,उपागम-परिहार द्वंद्व
Aptitude,अभिक्षमता
Arbitration,विवाचन
Arbitration award,विवाचन पंचनिर्णय
Arbitration board,विवाचन बोर्ड
Arbitration clause,विवाचन धारा
Arbitration tribunal,विवाचन मंडल
Area agreement,क्षेत्रीय करार
Area sampling,क्षेत्रीय प्रतिचयन
Array,पंक्ति-व्यूह
Arson,आगज़नी
Association,"संघ, साहचर्य"
Assumption,"ग्रहण, अभिग्रह, अभिग्रहीत"
Attitude,अभिवृत्ति
Attitude scale,अभिवृत्ति मापनी
Auburn system,आबर्न पद्धति
Authoritarianism,आप्तता
Authority figure,आप्त व्यक्ति
Autism,स्वलीनता
Autoerotism,स्वरति
Autonomy,स्वायत्तता
Autosexuality,आत्मकामुक्ता
Auto-sexual perversion,आत्म-कामुक विपर्यास
Auto-suggestion,आत्मसंसूचन
Avocation,उपव्यवसाय
Avoidance-avoidance conflict,परिहार-परिहार-द्वंद्व
Award,"पंचनिर्णय, पंचाट"
Basic need,मूल आवश्यकताएं
Beggary,भिक्षावृत्ति
Behaviour,"व्यवहार, गतिविधि"
Behaviour adjustment,व्यवहार समायोजन
Behaviour clinic,व्यवहार निदानशाला
Behaviour contagion,व्यवहार संसर्ग
Behaviour disorder,व्यवहार विकार
Behaviour level,व्यवहार स्तर
Behaviour pattern,व्यवहार प्रतिरूप
Behaviour therapy,व्यवहार चिकित्सा
Benefaction,"धर्मदान, उपकार"
Beneficiary,"हिताधिकारी, लाभार्थी"
Benefit,"हितलाभ, सुविधा"
Bias,अभिनति
Bibliotherapy,पुस्तक चिकित्सा
