English,Hindi
Abbreviated (Form),संक्षिप्त (रूप)
Abstract,अमूर्त
Abstract Language,अमूर्त भाषा
Abstract Notion,अमूर्त धारणा
Accent,आघात
Acronym,वर्णक्षर शब्द
Adjective,विशेषण
Adverb,क्रिया विशेषण
Affix,प्रत्यय
Affixation,प्रत्यययोजन
Affixing Language,प्रत्यय प्रधान भाषा
Agreement,अन्विति
Alien (Word),विदेशी (शब्द)
Allomorph,संरूप
Allophone,संस्वन
Allophonic Details,संस्वनिक विवरण
Alloseme,उपार्थ
Alphabet,वर्णमाला
Alphabetic,वर्णानुक्रमिक
Alphabetic Sound,वर्णानुक्रमिक ध्वनि
Alphabetical,वर्णानुक्रमिक
Alphabetical Writing,वर्णानुक्रमिक लेखन
Alphabetical Sequence,वर्णानुक्रमिक क्रम
Alteration,"परिवर्तन, संशोधन"
Alteration Of Meaning,अर्थ परिवर्तन
Alternant,"विकल्प, वैकल्पिक"
Ambiguity,द्विअर्थता / अस्पष्टता
Ambiguous,देखिए- 'ambiguity'।
Ambiguous Word,द्विअर्थी शब्द / अस्पष्ट शब्द
Analysis,विश्लेषण
Anisomorphism,असमान अर्थ व्यवस्थाएँ
Antinomy,विलोमार्थ
Antinym,विलोमार्थक
Antonymy,विलोमार्थकता
Appendix,परिशिष्ट
Applied Linguistics,अनुप्रयुक्त भाषा विज्ञान
Archaic,"पुरागत, कम प्रचलित"
Archaism,"पुरागत प्रयोग, कम प्रचलित प्रयोग"
Argot,"गुप्त भाषा, विशिष्ट वर्ग की गुप्त भाषा"
Argotisms,गुप्त भाषा प्रयोग
Arrangement,व्यवस्था
Arrangement Of Items,प्रविष्टि व्यवस्था
Attitudinal Symptoms,अभिवृत्ति संकेतक
Axis,अक्ष / आधार
Axis Of Time,समय अक्ष / समय आधार
Absolute Definition,निरपेक्ष परिभाषा
Academic Dictionary,शैक्षिक कोश
Alphabetic Dictionary,वर्णानुक्रमिक कोश
Arrangement Of Encyclo Paedia,प्रविष्टि व्यवस्था
Absolute Equivalent,निरपेक्ष समतुल्य
Absolute Homonym,निरपेक्ष समनाम / पूर्ण समनाम
Accultured Sense,अभिसांस्कृतिक आशय
Archaic Word,पुरागत शब्द
Autosemantic Word,स्वतः अर्थसूचक शब्द
Basic,मूल / आधारभूत
Behavioural Theory Of Meaning,व्यवहारपरक अर्थ सिद्धांत
By Product,अतिरिक्त उपज
Borrowed Vocabulary,आदात शब्दावली
Borrowing,आदान
Bilingual Dictionary,द्विभाषा कोश
Base / Basic Form,आधार रूप
Bound Form,बद्ध रूप
Basic Meaning,मूल अर्थ
Binary Opposites,द्विचर विरुद्ध
Basic Sense,मूल आशय
Botanical Vocabulary,वानस्पतिक शब्द समूह
Basic Word,मूलशब्द
Borrowed Word,आदात शब्द
Cannonical Form,विहित रूप
Catachresis,अनुचितार्थ (प्रयोग)
Catalogue,सूची पत्र / सूची
Catch Word,सूत्र शब्द
Category,कोटि / संवर्ग
Character,विशेषण
Circularity,वृत्तपरकता (परिभाषा की)
Citation,उल्लेख
Class,वर्ग
Classification,वर्गीकरण
Classifier,वर्गसूचक
Clause,उपवाक्य
Cliché,रूढ़ोक्ति
Clipping,कतरन
Code,संहिता / कूट / कोड
Codification,संहिताबद्धता / कूटबद्धता / कोडीकरण
Cognate,सजात
Cognate Languages,सजात भाषाएँ
Cognate Form,सजातरूप
Cognate Words,सजात शब्द
Collection,संकलन / संग्रह
Collocation,संगत संबंध
Collocational,संगत संबंधी
Colloquial,प्रचलित / चालू
Colloquial Language,चालू भाषा / बोलचाल की भाषा / प्रचलित भाषा
Colloquial Style,प्रचलित शैली
Colloquialism,प्रचलित प्रयोग
Combination,संबंध समूह
Componential Analysis,घटक विश्लेषण
Components,घटक
Components Of Meaning,अर्थ घटक
Composition,रचना
Compound,"समास, समस्त (पद)"
Concept,संकल्पना
Conceptual Field,संकल्पनात्मक क्षेत्र
Concordance,अन्विति
Concrete,मूर्त / स्थूल
Concrete Object,मूर्त पदार्थ / स्थूल पदार्थ
Connotation,संपृक्तार्थ
Construction,रचना
Correlation,सह संबंध
Consonants,व्यंजन
Constellations,पुंज / समूह
Contemporary,समकालिक
Contemptuous,तिरस्कार सूचक
Content,आशय
Context,संदर्भ
Contextual Nuance,संदर्भगत अर्थ छाया
Contrast,व्यतिरेक
Contrastive,व्यतिरेकी
Convention,रूढ़ि / परंपरा
Conventional,रूढ़िगत / परंपरागत
Corpus,विश्लेषण सामग्री
Criterial Features,विशिष्ट गुण
Cross Reference,अन्योन्य संदर्भ
Crucial Features,देखिए- 'criterial feature'।
Crypto Semantics,गूढ़ अर्थ विज्ञान
Cultural Borrowing,सांस्कृतिक आदान
Cultural Language,सांस्कृतिक भाषा
