English,Hindi
abandoned child,परित्यक्त बालक
abandonment,परित्याग
abduction,"अपहरण, भगा ले जाना"
abetment,दुप्रेरण
abettor,दुप्रेरक
abnormal vanity,अपसामान्य घमंड
abnormality,अपसामान्यता
abolishment,समापन
abolition,"समाप्ति, उन्मूलन"
aboriginal culture,उआदिम संस्कृति
abrogation of marriage,विवाह का निराकरण
absconder,"भगोड़ा, फरार"
absconding offender,फरार अपराधी
absentee landlord,अनुपस्थित जमींदार
abstinence,"संयम, वर्जन"
abstract,"सार, संक्षेप, अमूर्त"
abstract dimension,"अमूर्त आयाम, अमूर्त विमा"
abstract universalistic values,अमूर्त सार्वभौमिक मूल्य
access,"पहुँच, अभिगम"
accessibility,अभिगम्यता
accessible,अभिगम्य
accidental criminal,सांयोगिक अपराधी
accommodate,"निर्वाह करना, समंजन करना"
accomplice,सह-अपराधी
accomplishment,निष्पत्ति
acculturation,परसंस्कृतिग्रहण
accumulate,संचित करना
accustom,अभ्यस्त होना
achieved role,अर्जित भूमिका
achievement,उपलब्धि
achievement-oriented society,उपलब्धिमुखी समाज
acknowledged,अभिस्वीकृत
acquire,उपार्जित करना
acquired trait,उपार्जित विशेषक
acquit,दोषमुक्त करना
acquittal,दोषमुक्ति
acrobatics,कलाबाजी
action,क्रिया
active maintenance,सक्रिय अनुरक्षण
activist,सक्रियतावादी
activity,क्रियाकलाप; गतिविधि
activity centre,"क्रियाकलाप केंद्र, गतिविधि केंद्र"
activity group therapy,क्रियाकलाप समूह चिकित्सा
activity orientation,क्रियाकलाप अभिमुखीकरण
actual cultivator,"वास्तविक किसान, वास्तविक कृषक"
actuarial method,जीवनांकिक विधि
actuary,बीमांकिक
acute offender,घोर अपराधी
adaptation,उअनुकूलन
adaptation syndrome,उअनुकूलन संलक्षण
adaptational psychotherapy,उअनुकूलन-मनश्चिकित्सा
adaptive acculturation,अनुकूली परसंस्कृतिग्रहण
adaptive change,अनुकूली परिवर्तन
adaptive delinquency,अनुकूली अपचार
addict,व्यसनी
adelphic polyandry,भ्रातृक बहुपति विवाह
adjust,समायोजन करना
adjustment counselling,"समायोजन परामर्श, समायोजन उपबोधन"
adjustment of personality,व्यक्तित्व समायोजन
administrative hub,प्रशासनिक केंद्र
administrator,प्रशासक
adolescence,किशोरावस्था
adolescence ceremony,किशोरावस्था संस्कार
adolescent,किशोर; किशोरकालीन
adolescent behaviour,किशोर व्यवहार
adolescent court,किशोर न्यायालय
adoptee,दत्तक
adopter,दत्तकग्राही
adoption,"दत्तकग्रहण, गोद लेना"
adoption agency,दत्तकग्रहण अभिकरण
adoption home,दत्तक गृह
adoptive father,दत्तक पिता
adoptive marriage,घरजमाई प्रथा
adoptive mother,दत्तक माता
adoptive son,दत्तक पुत्र
adult crime,वयस्क अपराध
adult education centre,प्रौढ़ शिक्षा केंद्र
adult suffrage,वयस्क मताधिकार
adultery,"जारकर्म, व्यभिचार"
advent,उआगमन
aesthetic activity,सौंदर्यपरक क्रियाकलाप
affect,"प्रभावित करना, प्रभाव डालना"
affiance,"वाग्दान, विवाह"
affinal,वैवाहिक
affinal kin (=affiance),वैवाहिक स्वजन
affinal marriage,स्वजन विवाह
affinal relationship,वैवाहिक संबंध
affines,विवाह संबंधी
affluence,संपन्नता
affluent,"धनी, संपन्न"
affluent neighbourhood,"संपन्न प्रतिवेश, संपन्न पड़ोस"
affluent society,संपन्न समाज
age composition,"आयु संघटन, वयस् संघटन"
age differential,आयु विभेद
age equals (=age mate),समवयस्क
age of consent,(विवाह) अनुमति आयु
age specific fertility,आयु-विशेष प्रजनन क्षमता
age specific mortality rates,आयु-विशेष मृत्यु-दर
age spectrum,"आयु क्रम, आयु स्पेक्ट्रम"
agent,"कारक, अभिकर्ता"
agglomeration,"जमाव, संकुल, संकुलन"
aggregate punishment,सकल दंड
aggregation,समुच्चयन
aggregative classification,"समूहित वर्गीकरण, समुच्चयी वर्गीकरण"
aggression,उआक्रमण
aggressive advances,आक्रामक अग्रचार
aggressive impulse,उआक्रामक आवेग
aging of population,जनसंख्या जीर्णन
agitation,उआंदोलन
agnate,"पैतृक, पितृ-संबंधी"
agnatic descent (=patrilineal descent),पैतृक वंशानुक्रम
agnatic kin,"पैतृक बंधु, पितृ बंधु"
agnatic kinship,पैतृक नातेदारी
agnation,पितृ नातेदारी
agnostic,नास्तिक
agrarian economy,"कृषिक अर्थव्यवस्था, भूमि संबंधी अर्थव्यवस्था"
agrarian structure,कृषिक संरचना
agrarian struggle,कृषिक संघर्ष
agreement,"सहमति, करार, अनुबंध"
agricultural activities settlement,"कृषिकर्म व्यवस्थापन, कृषिकर्म बन्दोबस्त"
agricultural indebtedness,कृषिऋणग्रस्तता
agro climatic environment,कृषि जलवायु पर्यावरण
air bus,"हवाई बस, एयर बस"
air car,"हवाई कार, एयर कार"
alcohol,"ऐल्कोहॉल, मद्य"
alcoholic disease,मद्यजन्य रोग
alcoholic parents,मद्यप माता-पिता
alcoholism,"मद्यव्यसनिता, मद्यव्यसन"
aleatory,"संयोग, दैव"
aleatory element,संयोग तत्व
alienation,"वियोजन, अलगाव"
alimony,निर्वाह व्यय
alliance,मैत्री
allied forces,मित्रराष्ट्र सेनाएं
allocation,नियतन
alternative way,वैकल्पिक मार्ग
altruism,परार्थवाद
altruistic suicide,परार्थ आत्महत्या
altruistic want,परार्थ आवश्यकता
amateur,शौकिया; नौसिखिया
amateur criminal,शौकिया अपराधी
amazing growth,विस्मयकारी वृद्धि
amenity,"सुख-साधन, सुख-सुविधा"
amorous disposition,कामुक प्रवृत्ति
analytical approach,"वैश्लेषिक उपागम, विश्लेषणात्मक उपागम"
anaphrodisiac,कामोपशामक
anarchy,अराजकता
ancestral,"पैतृक, पुश्तैनी"
anchor,सहारा
anecdote,दंतकथा
animal society,पशुसमाज
animist,जीववादी
animosity,वैर
annexation,"राज्य में मिला लेना, समामेलन"
annulment of marriage,विवाह विच्छेद
anomic suicide (=anomique suicide),अप्रतिमानित आत्महत्या
anomie,अप्रतिमानता
antagonism,प्रतिद्वंद्विता
anthropologist,मानव विज्ञानी
anthropometric measurements,मानवमितिक माप
anthropometry,"मानवमिति, नृमिति"
anti-colonial consciousness,उपनिवेशविरोधी चेतना
anti-colonial movement,उपनिवेशविरोधी आंदोलन
anti-discrimination laws,भेदभावविरोधी कानून
anti-familism,परिवार विरोधवाद
anti-locution,प्रति-वाग्मिता
anti-racist,प्रजाति विरोधी
anti-social,समाजविरोधी
anti-social action,समाजविरोधी कार्य
anti-social behaviour,समाजविरोधी व्यवहार
Anti-Untouchability Act,अस्पृश्यता-विरोधी अधिनियम
anticipatory behaviour,"पूर्वाभासी व्यवहार, प्रत्याशित व्यवहार"
anticipatory socialization,"पूर्वाभासी समाजीकरण, प्रत्याशित समाजीकरण"
anxiety,"दुश्चिंता, उत्सुकता"
apartheid,"रंगभेद, वर्णद्वेष, प्रजाति पार्थक्य"
appeasement,तुष्टीकरण
applied sociology,"अनुप्रयुक्त समाजशास्त्र, अनुप्रयुक्त समाजविज्ञान"
approach,"दृष्टिकोण, उपागम"
appropriate,"उपयुक्त, उचित"
appropriate method,उपयुक्त पद्धति
appropriative passion,परिग्रही आवेश
approved,उअनुमोदित
aquifer,जलभृत
archaic sex attitude,पुरातनिक काम अभिवृत्ति
architectural,वास्तुपरक
area of understanding,बोध-क्षेत्र
arithmetic progression,समांतर आरोहण
arranged marriage,तय विवाह
arrangement,"व्यवस्था, विन्यास"
artisan,"शिल्पी, शिल्पकार"
artisan castes,शिल्पी जातियाँ
artisanal ability,शिल्पी योग्यता
ascetic order,यति व्यवस्था
ascribed,प्रदत्त
ascribed role,प्रदत्त भूमिका
ascribed status,प्रदत्त प्रस्थिति
ascriptive,प्रदत्त
aspiration,"आकांक्षा, अभिलाषा"
