English,Hindi
Abiogenesis (abiogeny),अजीवात्जनन
ABO blood group system,ए.बी.ओ. रूधिरवर्ग तंत्र
Abortive lysogenization,विफल लयजनीभवन
Abortive transduction,विफल पारक्रमण
Abscisic acid (ABA),एब्सिसिक अम्ल (ए.बी.ए)
Absolute configuration,निरपेक्ष विन्यास
Absolute plating efficiency,निरपेक्ष प्लेटन दक्षता
Absorbance,"अवशोष्यता, अवशोषणांक"
Absorption,अवशोषण
Absorption coefficient,अवशोषण -गुणांक
Absorption peak,अवशोषण शिखर
Absorption spectrum,अवशोषण स्पेक्ट्रम
Absorptive endocytosis,अवशोषी अंतःकोशिकता
Abzyme (catalytic antibody),एब्ज़ाइम (उत्प्रेरक प्रतिरक्षी)
Acceptor junction,स्वीकारी संधिस्थल
Acceptor splicing site,स्वीकारी समबंधन स्थल
Acceptor stem,स्वीकारी उद्वर्ध
Accessory cell,सहायक कोशिका
Accessory chromosome,सहयाक गुणसूत्र
Accessory factor,"अतिरिक्त कारक, सहायक कारक"
Accessory female gland,सहायक मादा ग्रंथि
Accessory fibril,सहायक तंतुक
Accessory flagellum,सहायक कशाभ
Accessory gland,सहायक ग्रंथि
Accessory growth factor,सहायक वृद्धि कारक
Accessory nephridiopore,सहायक वृक्ककरंध्र
Accessory nucleus,सहायक केंद्रक
Accessory pigment,सहायक वर्णक
Accessory pore,सहायक रंध्र
Acellular,अकोशिकीय
Acellular organism,अकोशिकीय जीव
Acentric,अकेंद्री
Acentric fragment,अकेंद्री खंड
Acetabularia,ऐसीटेबुलेरिया
Acetabularia crenulata*,ऐसिटेबुलेरिया क्रेनुलाटा
Acetabularia mediterranea*,ऐसीटेबुलेरिया मेजीटेरेनिया
Acetic fermentation,ऐसीटिक किण्वन
Acetoacetate,ऐसीटोऐसीटेट
Acetoacetic acid,ऐसीटोऐसीटिक अम्ल
Acetocarmine,ऐसीटोकार्मीन
Acetoorcein,ऐसीटोऑर्सीन
Acetoorcein stain,ऐसीटोऑर्सीन अभिरंजक
Acetylase,ऐसिटिलेज़
Acetylcholine,ऐसीटिलकोलीन
Acetylcholine receptor,ऐसीटिलकोलीन ग्राही
Acetylcholinesterase,ऐसीटिलकोलीनेस्टेरेज़
Acetyl coenzyme A,ऐसीटिल सहएन्जाइम ए.
Acetylmuramic acid,ऐसीटिलम्यूरेमिक अम्ल
Acetyl transferase,ऐसीटिल ट्रांसफरेज
Achiasmate,अकिऐज़्मी
Achondroplasia,उपास्थि-अवर्धन
Achromatic,अवर्णक
Achromatic figure,अवर्णक आकृति
Achromatic spindle,अवर्णक तर्कु
Achromatin,ऐक्रोमेटिन
Achromosomal mitosis,अगुणसूत्री समसूत्रण
A chromosome,ए. गुणसूत्र
Acid fuchsin,अम्ल फुक्सिन
Acid hydrolase,अम्ल हाइड्रोलेज़
Acidic amino acid,अम्लीय ऐमीनो अम्ल
Acidic dye,अम्लीय रंजक
Acidic protein,अम्लीय प्रोटीन
Acidobiotic,अम्लजीवी
Acidophil cytoplasm,अम्लरंजी कोशिकाद्रव्य
Acidophobia,अम्लभीति
Acidophobic,अम्लभीत
Acid phosphatase,अम्ल फ़ॉस्फ़ेटेज़
Acinar cell,गुच्छकोष्ठक कोशिका
Acinus,गुच्छकोष्ठक
Acquired character,उपार्जित लक्षण
Acquired immune deficiency syndrome,उपार्जित प्रतिरक्षा न्यूनता संलक्षण
Acquired immunity,उपार्जित प्रतिरक्षा
Acrasin,ऐक्रेसिन
Acridine dye,ऐक्रिडीन रंजक
Acriflavine,ऐक्रिफ्लेवीन
Acrocentric,अग्रकेंद्री
Acrocentric chromosome,अग्रकेंद्री गुणसूत्र
Acropetal,अग्राभिसारी
Acrosomal process,अग्रपिंडक प्रवर्ध
Acrosomal vesicle,अग्रपिंडक आशय
Acrosome,अग्रपिंडक
Acrosome reaction,अग्रपिंडक आभिक्रिया
Acrosyndesis,अग्रयुगलन
Acrylamide,ऐक्रिलेमाइड
Acrylamide gel,ऐक्रिलेमाइड ज़ेल
Actimycin-D,ऐक्टिमाइसिन-डी.
Actin,ऐक्टिन
Actin associated protein,ऐक्टिन संबद्ध प्रोटीन
Actin binding protein,ऐक्टिन आबंधी प्रोटीन
Actin filament,ऐक्टिन तंतु
Actin filament capping protein,ऐक्टिन तंतुछद प्रोटीन
Actin gene,ऐक्टिन जीन
Actinin,ऐक्टिनिन
Actin-myosin interaction,ऐक्टिन-मायोसिन अन्योन्यक्रिया
Actinomycin-D,ऐक्टिनोमाइसिन-डी.
Actin polymerization,ऐक्टिन बहुलकन
Action potential,क्रिया विभव
Action spectrum,क्रिया स्पेक्ट्रम
Activated carrier,सक्रियित वाहक
Activated macrophage,सक्रियित महाभक्षकाणु
Activating enzyme,सक्रियक एन्जाइम
Activation,सक्रियण
Activator,सक्रियक
Activator-dissocia-tion system (Ac-Ds system),सक्रियक-वियोजन तंत्र (ए.सी-डी. एस तंत्र)
Activator element,सक्रियक तत्व
Activator gene,सक्रियक जीन
Activator molecule,सक्रियक अणु
Activator RNA,सक्रियक आर.एन.ए.
Active chromatin,सक्रिय क्रोमैटिन
Active gene,सक्रिय जीन
Active immunity,सक्रिय प्रतिरक्षा
Active site,सक्रिय स्थल
Active transport,सक्रिय अभिगमन
Active transport process,सक्रिय अभिगमन प्रक्रम
Actomyosin,ऐक्टोमायोसिन
Acumentin,ऐकुमेन्टिन
Acylglycerol,ऐसिलग्लिसरॉल
Adaptability,अनुकूलनशीलता
Adaptable,अनुकूलनशील
Adaptation,अनुकूलन
Adapted strain,अनुकूलित प्रभेद
Adaptive control,अनुकूली नियंत्रण
Adaptive enzyme,अनूकूली एन्जाइम
Adaptive enzyme synthesis,अनुकूली एन्ज़ाइम संश्लेषण
Adaptive modification,अनुकूलित आपरिवर्तन
Adaptive process,अनुकूली प्रक्रम
Adaptive response,अनुकूली अनुक्रिया
Adaptor,अनुकूलक
Adaptor hypothesis,अनुकूलक परिकल्पना
Adaptor molecule,अनुकूलक अणु
Adaptor RNA,अनुकूलक आर.एन.ए.
Additive factor,योजी कारक
Additive gene,योजी जीन
Additive genetic variation,योजी जीन विभिन्नता
Additive recombination,योजी पुनर्योजन
Adducin,ऐडुसिन
Adenase,ऐडेनेज
Adenine,ऐडेनीन
Adenine deoxyriboside,ऐडेनीन डिऑक्सीराइबोसाइड
Adenosine,ऐडेनोसिन
"Adenosine 3', 5' -cyclic monophosphate","ऐडेनोसिन-चक्रिक  3', 5'-मोनोफॉस्फेट"
Adenosine diphosphate,ऐडेनोसिन डाइफ़ॉस्फ़ेट
Adenosine phosphate,ऐडेनोसिन फ्रॉस्फ़ेट
Adenosine triphosphate,ऐडेनोसिन ट्राइफ़ॉस़्फेट
Adenovirus,ग्रंथिविषाणु ऐडिनोवाइरस
Adenylate cyclase,ऐडेनिलेट साइक्लेज़
Adenylation,ऐडेनिलन
Adenyl cyclase,ऐडेनिल साइक्लेज
Adenylic acid,एडेनिलिक अम्ल
Adhering junction,आसंजी संधि
Adhesion,आसंजन
Adhesion factor,आसंजन कारक
Adhesion plaque,आसंजन प्लाक
Adhesion site,आसंजन स्थल
Adipocyte (fat cell),वसाणु (वसा कोशिका)
Adipoleucocyte,वसाश्वेताणु
Adipose bodies,वसा पिंडक
