English,Hindi
abecedarium,वर्ण प्रवेशिका
ability,"योग्यता, सामर्थ्य"
ability distribution,योग्यता वितरण
ablity grouping,योग्यतानुसार समूहन
absence record,अनुपस्थिति - अभिलेख
absentee,"अनुपस्थित,  गैरहाज़िर"
abstract intelligence,अमूर्त  बुद्धि
abstract learning,अमूर्त अधिगम
academic,"शैक्षिक, शास्रीय, अकादमिक"
academic ability,शैक्षिक योग्यता
academic achievement,शैक्षिक उपलब्धि
academic aptitude,शैक्षिक अभिक्षमता
academic costume (academic reglia),शैक्षिक परिधान
academic council,विद्या परिषद
academic course,शैक्षिक पाठ्यक्रम
academic degree,शैक्षिक उपाधि
academic freedom,शैक्षिक स्वतंत्रता
academic record,"शैक्षिक अभिलेख, शैक्षिक- वृत्त"
academic session,शैक्षिक सत्र
academic year,शैक्षिक वर्ष
academy,"विद्वत्परिषद, अकादमी"
accelerated child,त्वरित बालक
acceleration,त्वरण
accessibility,अभिगम्यता
accomodation,समंजन
accomplishment age (AA),निष्पत्ति आयु (नि. आ.)
achievement,उपलब्धि
achievement motivation,उपलब्धि अभिप्रेरण
achievement quotient,उपलब्धि-लब्धि
achievement record,उपलब्धि वृत्त; उपलब्धि रिकार्ड
action play,क्रियात्मक क्रीड़ा
action programme,क्रियात्मक कार्यक्रम
action research,क्रियानिष्ठ अनुसंधान
activity curriculum,क्रियाकलाप पाठ्यचर्या
activity method,सक्रियता प्रधान प्रणाली
activity movement,क्रियाकलाप परक शिक्षा- आंदोलन
activity period,अध्ययनेतर- सक्रियता समय
activity programme,"क्रिया प्रधान कार्यक्रम, क्रिया प्रधान पाठ्यचर्या दे. activity curriculum"
activity school,क्रिया कलाप प्रधान विद्यालय
acoustic method,ध्वनि- प्रणाली
adaptive procedure,व्यनुकूली प्रक्रिया
adaptation of instruction,शिक्षण व्यनुकूलन
adjunct programme,अनुलग्न कार्यक्रम
adjustment class,समायोजन कक्षा
admission,"प्रवेश, दखिला"
admission examination,प्रवेश-परीक्षा
adolescence,किशोरावस्था
adolescent behaviour,किशोर-व्यवहार
adolescent education,किशोर शिक्षा
adolescent spurt,"कैशोर्य प्रवेश, कैशोर्य स्फुरण"
adult education,प्रौढ़-शिक्षा
adult education centre,प्रौढ़-शिक्षा केन्द्र
adult guidance,प्रौढ़ मार्गदर्शन
adult reading vocabulary,प्रौढ़ पठन शब्दावली
adult school,प्रौढ़ विद्यालय
advance course,उच्च पाठ्यक्रम
advancd training,उच्च प्रशिक्षण
aesthetic education,सौन्दर्यपरक शिक्षा
affiliated college,"सम्बद्ध महाविद्यालय, सम्बद्ध कालेज"
affiliating university,संबंधन विश्वविद्यालय
affiliation,संबंधन
after school schedule,विद्यालय उपरांत कार्यक्रम
age grade progress,आयु श्रेणी प्रगति
age grade report,आयु श्रेणी रिपोर्ट
age grade status,आयु-श्रेणी प्रस्थिति
age grade survey,आयु श्रेणी सर्वेक्षण
aggregate attendance,समुचित उपस्थिति
agricultural education,कृषि शिक्षा
agricultural school,कृषि विद्यालय
aided school,सहायता प्राप्त विद्यालय
