English,Hindi
Aberration,विपथन
Ablation,"अपक्षरण, अपक्षरणावशेष"
Ablative,अपक्षरक
Ablative linear,अपक्षरक आस्तरक
Ablative material,अपक्षरक पदार्थ
Abort,विफलन
Abrasion,अपघर्षण
Abrasion electrode,"अपघर्षण विद्युदग्र, अपघर्षण इलैक्ट्रोड"
Abrasion test,विद्युदग्र
Abrasiveness,अपघर्षिता
Absolute address assembly,निरपेक्ष पता कोडांतरण
Absolute gain,निरपेक्ष लब्धि
Absolute object module,"निरपेक्ष वस्तु प्रतिरूपक,
 निरपेक्ष वस्तु मॉड्यूल"
Absolute pressure,यथार्थ दाब
Absolute system of units,निरपेक्ष मात्रक पद्धति
Absolute temperature,निरपेक्ष तापमान
Absolute time,निरपेक्ष काल
Absolute truth,परम सत्य़
Absolute velocity,निरपेक्ष वेग
Absolute weight,निरपेक्ष भार
Absolute zero,परम शून्य़
Absorbed light,अवशोषित प्रकाश
Absorbency,अवशोषकता
Absorber,"अवशोषक, अवशोषी"
Absorbing boundary,अवशोषक परिसीमा
Absorbing components,अवशोषक घटक
Absorptance,"अवशोषणांश, अवशोषण दर"
Absorption,अवशोषण
Absorption coefficient,अवशोषण-गूणांक
Absorption cross section,अवशोषण परिक्षेत्र
Absorption spectroscope,"अवशोषण वर्णक्रमदर्शी, अवशोषण स्पेक्ट्रोस्कोप"
Absorption wavemeter,अवशोषण तरंगमापी
Absorptivity,अवशोषकता
Accelerated aging,त्वरित कालप्रभावन
Accelerated aging test,त्वरित कालप्रभावन परिक्षण
Accelerated life test,त्वरित आयु परिक्षण
Accelerating agent,"क्षिप्र कारक, त्वरणशील कारक"
Acceleration,त्वरण
Acceleration limit,त्वरण सीमा
Acceleration protection,त्वरण सुरक्षा
Acceleration stress,त्वरण प्रतिबल
Acceleration tolerance,त्वरण सहयता
Accelerator,"त्वरित्र, त्वरक"
Accelerograph,"ऐक्सिलरॊग्राफ, त्वरणलेखी"
Accelerometer,त्वरणमापी
Acceptance angle,स्वीकरण कोण
Acceptance criteria,"स्वीकरण-निकष, स्वीकरण मानदंड"
Acceptance sampling,स्वीकरण-प्रतिचयन
Acceptance specification,स्वीकरण विनिर्देश
Acceptance test,स्वीकरण परीक्षण
Acceptibility,स्वीकार्यता
Acceptor circuit,ग्राही परिपथ
Acceptor impurity,ग्राही अशुद्धता
Acceptor level,ग्राही स्तर
Acceptor material,ग्राही पदार्थ
Accessibility,अभिगम्यता
Access time,अभिगम काल
Accident investigation,दुर्घटना जाँच
Accident prevention,दुर्घटना निवारण
Accident proneness,दुर्घटना प्रवणता
Acclimatization,परिअनुकूलन
Accomodation,समावेशन
A.c.conductivity,a. c. चालकता
Accumulator,"संचायक, बिजली संचयक यंत्र"
Accuracy,यथार्थता
Acetic acid,"ऐसीटिक एसिड, ऐसीटिक अम्ल"
Acetic anhydride,ऐसीटिक ऐनहाइड्राइड
Acetone chloroform system,ऐसिटोन क्लोरोफॉर्म तंत्र
Acetylene,ऐसिटिलीन
Acicular,सूच्याकार
Acid-base equilibrium,"अम्ल-क्षार साम्य, अम्ल-बेस साम्य"
Acid rock,"अधिसिलिक शैल, एसिड रॉक"
A. C. Interruption,a. c. अंतरायन
Acoustical energetics,"ध्वनिक ऊर्जिकी, ध्वनिक ऊर्जा-विज्ञान"
Acoustical impedance,ध्वनिक प्रतिबाधा
Acoustical stiffness,ध्वनिक दुर्नम्यता
Acoustic damping,ध्वनिक अवमंदन
Acoustic delay line,ध्वनिक विलंब लाइन
Acoustic feed back,ध्वनिक पुनर्निवेश
Acoustic holography,ध्वनिक होलोग्राफी
Acoustic impedance,ध्वनिक प्रतिबाधा
Acoustic instability,ध्वनिक अस्थायित्व
Acoustic load,"ध्वनिक भार, ध्वनिक लोड"
Acoustic measurement,ध्वनिक मापन
Acoustic mode,ध्वनिक विधा
Acoustic oscillation,ध्वनिक दोलन
Acoustic propagation,ध्वनिक संचरण
Acoustic radiation,ध्वनिक विकिरण
Acoustics,"ध्वनिकी, ध्वनि विज्ञान"
Acoustic simulation,ध्वनिक अनुकरण
Acoustic stability,ध्वनिक स्थायित्व
Acoustic tunnel,ध्वनिक सुरंग
Acoustic velocity,ध्वनिक वेग
Acoustic vibration,ध्वनिक कंपन
Acoutic excitation,ध्वनिक उत्तेजन
Acquired signal,अर्जित सिग्नल
Acquisition,अर्जन
Acquisition pn-code,अर्जन PN-कोड
Acrylate,ऐक्रिलेट
Acrylonitriles,ऐक्रिलोनाइट्राइल
Action,क्रिया
Action and reaction,क्रिया और प्रतिक्रिया
Action time,क्रिया काल
Activation,सक्रियण
Activation cross section,सक्रियण परिक्षेत्र
Activation energy,सक्रियण ऊर्जा
Activator,"सक्रियकारक, सक्रियक"
Active antenna,सक्रिय ऐंटिना
Active area,सक्रिय क्षेत्र
Active component,सक्रिय घटक
Active homing,सक्रिय अभिलक्ष्यन
Active network,सक्रिय जालक्रम
Active remote sensing,सक्रिय सुदुर सवेदन
Active satellite,सक्रिय उपग्रह
Active tracking system,सक्रिय अनुवर्तन तंत्र
Activity,सक्रियता
Activity ratio,सक्रियता अनुपात
Actual exhaust velocity,वास्ताविक रेचन वेग
Actual parameter,"वास्ताविक पैरामीटर, वास्ताविक प्राचल"
Actual stress,वास्ताविक प्रतिबल
Actual thrust,वास्ताविक प्रणोद
Actuation duration,प्रवर्तन अवधि
Actuation energy,प्रवर्तन ऊर्जा
Actuator,प्रवर्तक
Acuity of hearing,श्रवण सुतीक्ष्णता
Acutance,न्यूनत्व
Adaptation,अनुकूलन
Adapted nozzle,"अनुकूलित तुंड, अनुकूलित नॉजल"
Adapter,"ऐडैप्टर, अनुकुलक"
Adaptibility,अनुकूलनशीलता
Adaptive delta modulation,अनुकूलनी डेल्टा माडुलन
Adaptive delta modulator,अनुकूलनी डेल्टा माडुलक
Adaptive equalization,"अनुकूली तुल्यकरण,
अनुकूली समकरण"
Adaptive equalizer,अनुकूली समकारक
Adaptive pcm,अनुकूली PCM
Adder,"योजक, संकलक"
Addition polymerisation,संकलन बहुलकन
Additive,"योजनी, योज्य"
Additive color viewer,योजनी वर्ण दर्शक
Additive mixing,योज्य मिश्रण
Additive noise,योज्य रव
Address,पता
Address change,पता परिवर्तन
Address field,पता क्षेत्र
Addressing system,पता प्रणाली
Address modification,"पतांतरण, पतांतर"
Addressograph,"ऐड्रैसोग्राफ, पता लेखी"
Adhesion,आसंजन
Adhesive,आसंजक
Adhesive force,आसंजक बल
Adiabat,ऐडियाबेट
Adiabatic,"ऐडियाबेटिक, रुद्रधोष्म"
Adiabatic acceleration,रुद्रधोष्म त्वरण
Adiabatic compression,रुद्रधोष्म संपीडन
Adiabatic condition,रुद्रधोष्म स्थिति
Adiabatic curve,रुद्रधोष्म वक्र
Adiabatic elasticity,"ऐडियाबेटिक प्रत्यास्थता, रुद्रधोष्म प्रत्यास्थता"
Adiabatic equilibrium,रुद्रधोष्म संतुलन
Adiabatic temperature,रुद्रधोष्म ताप
Adiabatic transfor mation,रुद्रधोष्म रुपान्तरण
Adjustable area nozzle,समायोज्य क्षेत्र नॉजल
Adjustable nozzle,"समायोज्य तुंड, समायोज्य नॉजल"
Adjustable rocket nozzle,समायोज्य रॉकेट नॉजल
Adjustable thrust rocket engine,समायोज्य प्रणोद रॉकेट इंजन
Admittance,प्रवेश्यता
Admittance matrix,प्रवेश्यता मैट्रिक्स
Adjustable meter,प्रवेश्यतामापी
Admixer,अधिमिश्रक
Adsorption,अधिशोषण
Adsorptive power,अधिशोषण क्षमता
Advanced technology,उन्नत प्रौघोगिकी
Aerial,"एरियल, हवाई, वायव, आकाशी"
Aerial array,"एरियल व्यूह, वायव व्यूह"
Aerial camera,हवाई कैमरा
Aerial camera mount,हवाई कैमरा आरोह
Aerial film,यानयोग्य फ़िल्म
Aerial negative,"आकाशी नेगेटिव, वायव नेगेटिव"
Aerial photogrammetry,वायव फ़ोटोव्यामिति
Aerial photograph,हवाई फ़ोटो
Aerial photograph composite,हवाई फ़ोटो सम्मिश्र
Aerial photograph overlapping,हवाई फ़ोटो अधिव्यापन
Aerial photography,हवाई फ़ोटोग्राफ़ी
Aerial reconnaissance,हवाई आवीक्षण
Aerial survey,हवाई सर्वेक्षण
Aerial view,हवाई दृश्य
Aerodynamic,"वायुगतिक, वायुगतिकीय"
Aerodynamic axis,वायुगतिकीय अक्ष
Aerodynamic balance,वायुगतिकीय संतुलन
Aerodynamic behaviour,वायुगतिक व्यवहार
Aerodynamic brake,वायुगतिक ब्रेक
Aerodynamic centre,वायुगतिकीय केंद्र
Aerodynamic characteristic,वायुगतिकीय अभिलक्षण
Aerodynamic coefficient,वायुगतिकीय गुणांक
Aerodynamic configuration,वायुगतिकीय विन्यास
Aerodynamic course,वायुगतिक पाठ्यक्रम
Aerodynamic drag,वायुगतिकीय कर्षण
Aerodynamic heat transfer,वायुगतिकीय ऊष्मा स्थानांतरण
Aerodynamic interference,वायुगतिकीय व्यतिकरण
Aerodynamic lift,वायुगतिक लिफ्ट़
Aerodynamic load,वायुगतिकीय भार
Aerodynamic moment,वायुगतिकीय आघूर्ण
Aerodynamic noise,वायुगतिक रव
Aerodynamic operator,वायुगतिक प्रचालक
Aerodynamics,वायुगतिकी
Aerodynamic stability,वायुगतिकीय स्थायित्व
Aerodynamic vehicle,वायुगतिक यान
Aeroelasticity,वायुप्रत्यास्थता
Aeroelastics,वायुप्रत्यास्थितिकि
Aeroelastic stability,वायुप्रत्यास्थ स्थायित्व
Aerofoil,ऐयरोफॉयल
Aerograph,वायुलेखी
Aeromagnetic surveying,वायुचुंबकीय सर्वेक्षण
Aeronautics,वैमानिकी
Aeronomy,वायविकी
Aeropause,वायु सीमांत
Aerophone,ऐरोफ़ोन
Aerophysics,वायुभौतिकी
Aeroplane,"हवाई जहाज, विमान"
Aeroplex,ऐयरोप्लेक्स
Aerospace,वांतरिक्ष
Aerospace engineering,"वांतरिक्ष इंजीनियरी, वांतरिक्ष अभियांत्रिकी"
Aerospace vehicle,वांतरिक्ष यान
Aerosphere,"वातमंडल, गैसमंडल"
Aerostat,"वायुस्थापी, अवयान"
Aerostatics,वायुस्थैतिकी
Aerothermo-dynamics,वायुष्मागतिकी
Aerothermo elasticity,वायुष्माप्रत्यास्थिकी
After body,पुच्छपिंड
After burner,अधिज्वालक
After burning,अधिज्वलन
After effect,उत्तर प्रभाव
After flow,"पश्च प्रवाह, अनुप्रवाह, उत्तर प्रवाह"
After glow,उत्तर दीप्ति
After heat,पश्च ताप
Agglomeration,"समूह (समूहन), संपीडन"
Aggregate rate,समुच्चय दर
Aging,काल प्रभावन
Aging test,काल प्रभावन परिक्षण
Agitated film eveporator,प्रक्षोभित फ़िल्म वाष्पित्र
Agitated jacketed kettle evaporator,प्रक्षोभित जैकट केतली वाष्पित्र
Agitated pan drier,प्रक्षोभित पलड़ा शुष्कक
Agitated vessel,प्रक्षोभित पात्र
Agitation,प्रक्षोभन
Agonic line,शून्यदिकपाती रेखा
Agravic,गुरुत्वहीन
Aileron,सहपक्ष
