English,Hindi
A (Ampere unit of current),ऐम्पियर (मात्रक)
A (angstrom),ऐंगस्ट्रम
A amplifier,ए-वर्ग प्रवर्धक
A-N radio range,ए.एन रेडियो सहाय
A-scan presentation,ए-क्रमवीक्षण प्रस्तुति
A-scope,ए-दर्श
A-scope display,ए-स्कोप प्रदर्शन
A-T Cut crystal,ए-टी कर्तित क्रिस्टल
A.c-d.c. gain,"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
A.M. (ante meridiem),पूर्वाह्न
A.m.u. (atomic mass unit),ए.एम.यू. (परमाणु संहति मात्रक)
Aard-vark,आर्ड-वार्क*
Ab ampere,ऐब-ऐम्पियर
AB amplifier,ए-बी वर्ग प्रवर्धक
Ab initio,आदितः
AB power pack,ए-बी शक्ति पिटक
Abac=alignment chart=nomograph,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
Abbe number (=Abbe constant),ऐबे संख्या (ऐबे नियतांक)
ABBE refractometer,ऐबे अपवर्तनमापी
Abbe sine condition,ऐबे ज्या अवस्था
Abc (automatic bias compensation),स्वचालित बायस प्रतिकार
Abcoulomb,ऐबकूलॉम
Aberration,"विपथन, अपेरण"
Aberration corrector lens,विपथन संशोधक लेन्स
Aberration of light,आकाश-विपथन
Abfarad,एबफैराड
Abhenry,एबहेनरी
Abney effect (=Abney law),ऐबनी प्रभाव (ऐबनी नियम)
Abnormal polarisation,अपसामान्य ध्रुवण
Abnormal propagation,अपसामान्य संचरण
Abnormal reflection,अपसामान्य परावर्तन
Abnormal refraction,अपसामान्य अपवर्तन*
Abnormal resistance,अपसामान्य प्रतिरोध
Abohm,ऐब-ओम
Abortion,"पूर्वपात, विफलन"
Abrupt,"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
Abrupt jump,सहसा जंप
Abscissa,भुज*
Absent reflection,लुप्त परावर्तन
Absent spectrum,लुप्त स्पैक्ट्रम
Absolute,"निरपेक्ष, परम, अचर, परिशुद्ध"
Absolute acceleration,निरपेक्ष त्वरण
Absolute accuracy,निरपेक्ष यथार्थता
Absolute address-specific address,निरपेक्ष पता
Absolute altimeter,भूसापेक्ष तुंगतामापी
Absolute altitude,भूसापेक्ष तुंगता
Absolute ampere,निरपेक्ष ऐम्पियर
Absolute boilling point,परम क्वथनांक
Absolute bolometric luminosity,निरपेक्ष तेजमापीय दीप्ति
Absolute capacity,निरपेक्ष धारिता
Absolute ceiling,निरपेक्ष ऊँचाई
Absolute colour index,निरपेक्ष वर्णाक
Absolute configuration,"निरपेक्ष विन्यास, असंदिग्ध विन्यास"
Absolute coulomb,निरपेक्ष कूलॉम
Absolute darkness,पूर्ण अंधकार
Absolute dating,निरपेक्ष कालनिर्धारण
Absolute density,निरपेक्ष घनत्व*
Absolute drift,निरपेक्ष अपवहन
Absolute e.m.u.,निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
Absolute e.s.u.,निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
Absolute efficiency,निरपेक्ष दक्षता
Absolute electrometer,निरपेक्ष विद्युतमापी
Absolute frequency,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
Absolute humidity,निरपेक्ष आर्द्रता
Absolute incidence,निरपेक्ष आपतन
Absolute index of refraction,निरपेक्ष अपवर्तनांक
Absolute instability,निरपेक्ष अस्‍थायित्व
Absolute intensity,निरपेक्ष अस्‍थायित्व
Absolute length,"निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
Absolute limit of hysteresis,शैथिल्य की निरपेक्ष सीमा
Absolute luminance threshold,निरपेक्ष ज्योतिर्मयता देहली
Absolute luminosity curve,निरपेक्ष ज्योति वक्र
Absolute magnitude,निरपेक्ष कांतिमान
Absolute manometer,निरपेक्ष दाबांतरमापी
Absolute maximum,परम उच्चिष्ठ
