English,Hindi
Abbreviation,संक्षिप्ति
abscissa,भुज
absolute frequency,निरपेक्ष बारंबारता
accelerated testing,त्वरित परीक्षण
accept number,स्वीकरण सख्या
acceptability,स्वीकार्यता
acceptability criteria,स्वीकार्यता निकष
acceptable quality level,स्वीकार्य गुणता स्तर
acceptable quality region,स्वीकार्य गुणता प्रदेश
acceptance,स्वीकरण
acceptance cost,स्वीकरण लागत
acceptance criteria,स्वीकरण निकष
acceptance line,स्वीकरण रेखा
acceptance number,स्वीकरण संख्या
acceptance of defective item,सदोष वस्तु का स्वीकरण
acceptance plan,स्वीकरण योजना
acceptance procedure,स्वीकरण क्रियाविधि
acceptance rectification type of inspection,स्वीकरण-दोषसुधार प्रकार का निरीक्षण
acceptance rejection type os inspection,स्वीकरण अस्वीकरण प्रकार का निरीक्षण
acceptance sampling,स्वीकरण प्रतिचयन
acceptance sampling plan,स्वीकरण प्रतिचयन योजना
acceptance scheme,स्वीकरण योजना
acceptance system,स्वीकरण पद्धति
accepted material,स्वीकृत सामग्री
access to each item in the lot,प्रचय की प्रत्येक वस्तु का अभिगम
accessibility to items in the lot,प्रचय की वस्तुओं की अभिगम्यता
accumulated evidence,संचित प्रमाण
accumulation of lots,प्रचय-संचयन
accuracy of estimate,आकल-यथार्थता
accuracy of inference,अनुमिति यथार्थता
accuracy of mean,माध्य यथार्थता
accuracy of measurement,माप यथार्थता
accuracy of method,विधि यथार्थता
actual frequency,वास्तविक बारंबारता
actual measurement,वास्तविक माप
actual subgroup size,वास्तविक उपसममूह आमाप
addition theorem,योग प्रमेय
additive nature of sum of squares,वर्गों के जोड़ की योज्य प्रकृति
adequacy of sample size,प्रतिदर्श आमाप की पर्याप्तता
adequate,पर्याप्त
adjacent,संलग्न
adjoining class,संलग्न वर्ग
adjoining column,संलग्न स्तंभ
adjustment,"समंजन, समायोजन"
administrative cost,प्रशासनिक लागत
administratively simpler,प्रशासनिक रूप से सरलतर
adopted standard,अपनाया गया मानक
adoption,"अपनाना, अंगीकरण"
advance sampling technique,उन्नत प्रतिचयन तकनीक
advisable,उपयुक्त
aggregate of items,वस्तु समुच्चय
aggregation,समुच्चयन
agreement,सहमति
alignment,संरेखण
alternative basis,वैकल्पिक आधार
alternative hypothesis,वैकल्पिक परिकल्पना
alternative method,वैकल्पिक विधि
alternatively,विकल्पतः
amount of information,सूचना परिमाण
analysis,विश्लेषण
analysis of experimental data,प्रयोगिक आँकड़ों का विश्लेषण
analysis of past data,पहले के आँकड़ों का विश्लेषण
analysis of preliminary data,प्रारंभिक आँकड़ों का विश्लेषण
analysis of variance,प्रसरण-विश्लेषण
analytical procedure,वैश्लेषिक क्रियाविधि
ancillary information,आनुषंगिक सूचना
apparent improvement of quality,गुणता में आभासी सुधार
applicability,अनुप्रयोज्यता
applicable,"अनुप्रयोज्य, लागू"
applicable requirement,अनुप्रयोज्य आवश्यकता
application,अनुप्रयोग
applied,अनुप्रयुक्त
appreciable variation,प्रर्याप्त विचरण
appropriate,उपयुक्त
appropriate criteria,उपयुक्त निकष
appropriate inference,उपयुक्त अनुमिति
appropriate tests of significance,उपयुक्त सार्थकता परीक्षण
appropriate type of sampling plan,उपयुक्त प्रकार की प्रतिचयन योजना
approximated,सन्निकटित
approximately,"लगभग, सन्निकटतः"
approximation method,सन्निकटन विधि
approximation of random selection,यादृच्छिक चयन सन्निकटन
arbitrary rule,स्वेच्छ नियम
area of the curve,वक्र का क्षेत्रफल
arithmetic mean,समांतर माध्य
army ordnance tables,सैनिक ऑर्डनेन्स सारणियाँ
army services,सैनिक सेवा
arranged,व्यवस्थित
arrangement of data,आँकड़ा-विन्यास
artificially increased,कृत्रिमतः वर्धित
as used,जिस तरह उपयोग में लाया गया
ascending order,आरोही क्रम
ascending order of magnitude,आरोही परिमाण-क्रम
ascertain,अभिनिश्चित करना
assessment of quality,गुणता निर्धारण
assignable cause,निर्धार्य कारण
assignable cause of variation,विचरण का निर्धार्य कारण
associated,सहचारी
associated variable,सहचारी चर
assumption,कल्पना
assumption of normality,प्रसामान्यता की कल्पना
asymptotically,उपगामितः
at random,यदृच्छया
attainable average process,प्राप्य औसत प्रक्रम
attributable,के कारण होना
attribute control chart,गुण नियंत्रण संचित्र
