English,Hindi
Absorption,अवशोषण
Absorption co - efficient,अवशोषण गुणांक
Acceptor,"ग्राही, स्वीकारी"
Access time,अभिगम काल
Accumulation,संचयन; संचय
Acid glove,अम्ल रक्षी ग्लब
Acid resistant,अम्ल रोधी
Activation energy,सक्रियण ऊर्जा
Active layer,सक्रिय परत
Active matrix liquid crystal display,सक्रिय मैट्रिक्स द्रवीय क्रिस्टल प्रदर्श
Adapter,ऐडैप्टर
Adhesion,आसंजन
Adhesion promotor,आसंजन वर्धक
Aligner,संरेखक
Alignment,संरेखक
Alternative dielectric,प्रत्यावर्ती परावैद्युत
Alumina,ऐलुमिना
Aluminium bonding wire,ऐलुमिनियम बंधक तार
Aluminium box,ऐलुमीनियम बाक्स
Aluminium electrolyte capacitor,एल्युमिनियम अपघट्‍य संघारित्र
Aluminium extrusion,एल्युमिनियम बहिर्वेधन
Aluminium oxide,ऐलुमिनियम ऑक्साइड
Aluminium tray,ऐलुमीनियम ट्रे
Ambipolar carrier transport,उभयध्रुवीय वाहक अभिगमन
Amonium flouride chem,अमोनिया फ्लोराइड रसायन
Amonium persulphate chem,अमोनियम परसल्फेट रसायन
Amorphous,अक्रिस्टलीय
Amorphous material,अक्रिस्टलीय सामग्री
Analog device,समरूप युक्‍ति
Analog integrated circuit,अनुरूप एकीकृत परिपथ
Angstrom,एंगस्ट्रम
Anhydrous hydrofluoric acid,निर्जल हाइड्रोफ्लुओरिक अम्ल
Anisotropic etch,विषमदैशिक निक्षार
Anneal,"अनीलन, तापानुशीतन"
Anodization,एनोडीकरण
Antimony standard solution,एंटीमनी मानक विलयन
Antireflective coating,अपरावर्ती विलेपन
Antistatic bin,प्रतिस्थैतिक घानी
Antistatic box,प्रतिस्थैतिक पेटी
Application specific integrated circuit,अनुप्रयोग विशिष्‍ट एकीकृत परिपथ
Araldite,एरालडाइट
Argon gas,आर्गन गैस
Arrhenius plot,आरेनिअस आलेख
Ashing,"ऐशन, भस्मन"
Assembly,समन्वायोजन
Atmospheric pressure,वायुमंडलीय दाब
Atomic force microscope,परमाणु - बल सूक्ष्मदर्शी
Atomic layer chemical vapour deposition,परमाणु - परत रासायनिक वाष्प निक्षेपण
Atomic layer deposition,परमाणु परत निक्षेपण
Atomic layer epitaxy,परमाणु - परत अधिस्तरी
Atomic number,परमाणु क्रमांक
Auger electron spectroscopy,ओज़े इलेक्ट्रॉन स्पेक्ट्रमिकी
Auto doping,स्वतः अपमिश्रण
Avalanche breakdown,अवधाव भंग
Avalanche multiplication,अवधाव गुणन
Abandonment,"ಬಿಟ್ಟುಬಿಡುವಿಕೆ, ತೊರೆಯುವಿಕೆ, ತಳ್ಳಿಹಾಕುವಿಕೆ"
"Abattoir, slaughter house",ಕಸಾಯಿಖಾನೆ
Abdomen,"ಉದರ, ಹೊಟ್ಟೆ"
Abdominal filament,ಹೊಟ್ಟೆಯ ತಂತು
Aberrant,"ಅಪಸರಿತ, ದಾರಿಬಿಟ್ಟ"
Abiogenesis,ನಿರ್ಜೀವಿ ಜನನ
Abiotic factor,ನಿರ್ಜೀವಾಂಶ
Abort,"ಗೊಡ್ಡಾಗು, ಕುರುಟುಬೀಳು"
Abortive,ನಿಷ್ಫಲ
Abortion,ಗರ್ಭಪಾತ
Abortive transduction,"ಭಗ್ನ ಅನ್ಯುವಹನ, ನಿಷ್ಫಲ ಅನ್ಯುವಹನ"
Abrasion,"ಉಜ್ಜುವಿಕೆ, ಉಜ್ಜುಗಾಯ"
Abrasive,ಘರ್ಷಕ ವಸ್ತು
Abrasive property,ಉಜ್ಜಿಹಾಕುವ ಗುಣ
Abscission,"ಕತ್ತರಿಕೆ, ಸೀಳುವಿಕೆ"
Absorption,ಹೀರುವಿಕೆ
Absorption spectrum,ಹೀರಿಕೆ ವರ್ಣಪಟಲ
Absorptive dust,"ಹೀರು ಪುಡಿ, ಹೀರು ಧೂಳು"
Abundance of insect,ಕೀಟ ಸಮೃದ್ಧತೆ
Abyss,"ವಿತಳ, ಪಾತಾಳ"
Academic control,ಪಾಂಡಿತ್ಯ ಪೂರ್ಣ ಹತೋಟಿ
Acapsular,"ಅಸಂಪುಟಿಕ, ಹೊರೆಇಲ್ಲದ, ಹೊದಿಕೆರಹಿತ"
Acaricide,ನಂಶಿನಾಶಕ
Acarology,ನಂಶಿಶಾಸ್ತ್ರ
Accelerated growth phase,ವೇಗವರ್ಧಿಸಿದ ಬೆಳೆವಣಿಗೆ ಹಂತ
Accentuate,"ವೃದ್ಧಿಗೊಳಿಸು, ಒತ್ತಿಹೇಳು"
Acceptor,"ಆದಾತ ವಸ್ತು, ಗ್ರಾಹ್ಯಕ, ಅಂಗೀಕಾರ ವಸ್ತು"
Accessory,"ಸಹಾಯಕ, ಅನುಷಂಗಿಕ"
Accessory genital gland,ಜನನೇಂದ್ರಿಯ ಸಹಕಾರಿ ರಸಗ್ರಂಥಿ
Accessory gland,ಆನುಷಂಗಿಕ ಗ್ರಂಥಿ
