English,Hindi
Abalone,एबालोन
Abandoned cliff,परित्यक्त भृगु
Abandoned shoreline,परित्यक्त तटरेखा
Abattoir,"वधशाला, कसाईख़ाना"
Abdomen,उदर
Abdominal,"उदरीय, उदर-"
Abduction,अपवर्तन
Abduction shoulder splint,स्कन्धापवर्तन स्प्लिन्ट
Ability,योग्यता
Abiogenetic,आजीवात्जनिक
Abiotic,"जीवेतर, अजैव*"
Ablation,"अपक्षरण, अपक्षरणावशेष*"
Abnormal,"अपसामान्य, अप्रसामान्य*"
Abnormality,"अपसामान्यता, अप्रसामान्यता"
Abnormal pregnancy,अपसामान्य सगर्भता
Aboriginal,आदिवासी; आदिम
Aboriginal inhabitant,आदि निवासी
Aboriginal life,आदिवासी जीवन
Abortion,गर्भपात
Abrade,अपघर्षण*
Abraded,अपघर्षित*
Abraded yarn,अपघर्षित सूत्र*
Abrader (abraser),अपघर्षित्र*
Abrading test,अपघर्षिण परीक्षण*
Abrasion,"अपघर्षण, खरोंच*"
Abrasion resistance,अपघर्षण प्रतिरोध*
Abrasion resistant,अपघर्षण प्रतिरोधी*
Abrasion test,अपघर्षण परिक्षण*
Abrasive,"अपघर्षी, अपघर्षक"
Abrasiveness,अपघर्षिता*
Abrasive resistance,अपघर्षक प्रतिरोध
Abscess,विद्रधि
Abscission,विलगन*
Absorb,अवशोषण करना
Absorbable,अवशोष्य*
Absorbance,अवशोषणांक*
Absorbed,अवशोषित*
Absorbency,"अवशोषणांक, अवशोषकता*"
Absorbent,"अवशोषक, अवचूषक*"
Absorbent cotton,अवशोषक रुई
Absorber,"अवशोषक, अवशोषी"
Absorbing capacity,अवचूषण क्षमता
Absorbing medium,अवशोषी माध्यम*
Absorbing power,अवशोषण सामर्ध्य
Absorption,अवशोषण
Absorption mat,अवशोषण पट्टिका
Absorptive surface,अवशोषी पृष्ठ
Abstract,"अमूर्त (वि.), सारांश (सं)"
Abyssinian tube well,ऐबिसिनी नलकूप
Acacia,ऐकेशिया
Acacia shrub,ऐकेशिया झाड़ी
Acanthia lectularis*,ऐकेन्थिया लैक्टुलेरिस
Accelerate,त्वरित करना
Accelerated,त्वरित
Acceleration,त्वरण
Acceleration process,त्वरण-प्रक्रम
Accelerator,"त्वरित्र, त्वरक*"
Accent,उच्चारण चिहन
Acceptability,स्वीकार्यता
Accessory factor,"अतिरिक्त कारक, उपसाधक कारक"
Accessory pulsatile organ,सहायक स्पंदकारी अंग
Accident,"संयोग, घटना, दुर्घटना, असहजगुण"
Accidental,"संयोगी, आकस्मिक, आगन्तुक"
Acclimatement,"पर्यनुकूलन, पर्यनुकूलाभ्यास"
Acclimatic,पर्यनुकूलनसंबंधी
Acclimation,पर्यनुकूलन
Acclimatization,परिस्थिति-अनुकूलन
Accomodation,वास
Account,"लेखा, खाता, हिसाब"
Account keeping,लेखा-रखना
Accumulated,संचित
Acetabulum,"श्रोणिउलूखल, ऐसीटैबुलम*"
Acetal,ऐसीटैल
Acetaldehyde,ऐसीट-ऐल्डिहाइड
Acetate,ऐसीटेट
Acetate fiber,ऐसीटेट रेशा
Acetate rayon,ऐसीटेट रेयॉन
Acetate resist,ऐसीटेट-रोध
Acetate silk,"ऐसीटेट रेशम, ऐसीटेट कौशेय"
Acetic acid,ऐसीटिक अम्ल
Acetic anhydride,ऐसीटिक ऐनहाइड्राइड
Acetic fermentation,ऐसीटिक किण्वन
Acetoacetic acid,ऐसीटोऐसीटिक अम्ल*
Acetone,ऐसीटोन
Acetylation,ऐसीटिलीकरण
Acetylcholine,ऐसीटिलकोलिन
Acetylene,ऐसीटिलीन
