English,Hindi
Absolute pitch,निरपेक्ष तारता
Accelerando,लयवर्धन (निर्देश)
Accent,आघात
Accidental,आकस्मिक
Accompaniment,"संगत, संगति"
Adagio,"अदाजिओ, विलंबित"
Ad libitum (ad lib),यथेच्छ
Aeolian harp,एओलिअन हार्प
Affettuoso,"एफ़ेतुओसी, सुकुमार"
Affrettando,त्वरण (निर्देश)
Agitato,उत्तेजन
"Agogic accent
 (=dynamic accent)",कालाघात
Air,धुन
Allargando,लयमंदन (निर्देश)
Allegro,मध्यद्रुत
Al rovescio,प्रतिलोमीकरण
Al segno,देo segno
Alto,स्त्रीमंद्रक
Andante,मध्य विलंबित
Anglican chant,आंग्ल गिरजा गीत
Animato,"ऊर्जस्वित, जोशीला"
Answer,जवाब
Anthem,वन्दना
Anticipation,प्रत्याशा
Antiphon,"प्रतिगान, एंटिफ़ोन"
Arco,गज से (निर्देश)
Aria,आरिया
Arietta,आरियेटा
Arpaggios,विस्तृत स्वर-संघात
Assai,"अति, असाई"
A tempo,लय वापिसी
Atonal,आधार स्वरहीन
Attacca,निरन्तरता संकेत
Aubade,प्रभाती
Augmentation,संवर्धन (काल)
Augmentated interval,वर्धित अन्तराल
Authentic modes,आदि मेल
Auxiliary note,सहवर्ती स्वर
Bag pipe,मशकबीन
Ballad,गाथा
Ballad opera,गाथा संगीति का
Ballet,"नृत्यरूपक, बले"
Band,बैंड
Banjo,बैंजो
Bar,लयखण्ड
Bar line,"लयखण्ड, पाई"
Baritone,() पुंमध्यक (परास) : पुरुष कंठ से उत्पन्न मंद्रमध्यस्थानीय स्वर तथा उसका क्षेत्र विशेष।
Bass,() पुंमंद्रक : पुरुष कंठ से उत्पन्न अति मंद्रस्थानीय ध्वनि तथा उसका क्षेत्र विशेष।
Bass baritone,"पुंमंद्रमध्यक, बास बैरीटोन"
Bass clarionet,बास क्लेरिओनेट
Bass clef,मंद्र परास चिह्न
Bass note,निम्नतम स्वर
Bassoon,बसून
"Basso ostinato
 (=obstinate bass, ground bass)",वारंवारक
Beat,"() कालखण्ड : प्रत्येक तालखण्ड में काल की सबसे छोटी इकाई, मात्रा।"
Bell,घंटा
Bellow,धौंकनी
Belly,तबली
Berceuse,लोरी
Binary form,द्वि-अंगी रूप
Bitonality,द्वि-आधार स्वरता
Bolero,बोलेरो
Bow,"गज, धनु"
Bowing,"गज चलाना, धनु चलाना"
Brace,बंधनी
Brass,"तूर्य, तुरही (वाद्य वर्ग)"
Brass band,तूर्यवृन्द
Breve,द्विमात्रिक
Bridge,"उत्तर मेरु, घुड़च, घोड़ी"
Bridge passage,संयोजक-अंश
Bugle,बिगुल
Cadence (close),मुक्ताय (उपांतक)
Cadenza,स्वैच्छिका
Calando,अवमंदन (संकेत)
Canon,स्थाय (phrase) अनुसरण
Cantabile,मृदु
Cantata,"गान, गेय रचना"
"Canto fermo
 (=cantus fermus)","आधार धुन, मूल धुन"
Carol,"(ईसाई) पर्वगीत, कैरोल"
Castanets,कैस्टानेट्स
Cello (=violin cello),चलो
Chamber music,चैंबर संगीत
Change ringing,सक्रम घंटिकावादन
Chant,धार्मिक गीत
Chest voice,मंद्रभरित ध्वनि
Chime bells,घंटिकावली
Choir,गायकवृन्द
Chord,स्वर-संघात
Chorus,() गायकवृन्द : आपेरा आदि के सहगायन वाले अशों के गाने वाले गायकों का समूह।
Chromatic scale,द्वादश स्वरग्राम
Charionet,क्लेरिओनेट
Classical music,"शास्त्रीय संगीत, क्लासिकी संगीत"
Clef,पराससूचक (चिह्न)
Close (d) harmony,संकुचित सहस्वरता
Coda,समापक (चिह्न)
Colla,"के साथ, से (निर्देश)"
Coloratura (=figurata),द्रूतालंकार
Combination pedals (=composition pedals),संयुक्त पदिक
Comma,अल्प विराम (चिह्न)
Common chord,सामान्य स्वर-संघात
Common time,चतुरस्र कालमान
Comodo,सुगम
Compass,ध्वनि परास
Composition,"प्रबंध, बंदिश"
Compound interval,सप्तकाधिक स्वरांतराल
"Compound time
 (=compound measure)","त्रिकाल ताल, त्र्यस्र जातीय"
Concert,संगीत सभा
Concerto,एकलप्रधान प्रस्तुति
Conard,कर्णप्रियता
Conducting,निर्देशन
Conjunct motion,क्रमिक संचार
"Consecutive 5th, 8th","क्रमागत पंचम, अष्टम"
Consonance,"संवादिता, अनुरूपता, सहमधुरता"
Con sordino,मंदीकारक से (निर्देश)
"Contra bass
 (=double bass)",कांट्रा बास
Contralto,"स्त्रीमंद्रक, कंट्राल्टो"
Contrary motion,विमुख संचार
Counterpoint,सहचलन
Crescendo,ध्वनिवर्धन (संकेत)
Crotchet (=quarter),"पादमात्रिक, चतुर्थांशमात्रिक"
Cymbals,झांझ
Da capo,आदितः आवृत्ति (संकेत)
Dal segno,देo segno
Damper,अवमंदक
Damper pedal,अवमंदक पदिक
"Decrescendo 
 (=diminuendo)",ध्वनिमंदक संकेत
Degree,स्थिति
Demisemiquaver,बत्तीसवाँ अंश
Descant,डेस्कांट
Detache,अबद्ध (निर्देश)
Diatonic scale,डायाटोनिक ग्राम
Differential tone,अवकल अनुनाद
Diminished interval,ह्रासित स्वरांतराल
Diminuendo,ध्वनिमंदन संकेत
Diminution,ह्रासन
Discord,कर्णकटुता
Disjunct motion,अपक्रमिक संचार
Divisi,विभाजन (संकेत)
Do (doh),"सा, षड्ज"
Dolce,मृदुता (संकेत)
Dolorose,करुणा (संकेत)
Dominant,पंचमक
Dominant chord,"देo cadence, perfect"
Dot,बिंदु
Dotted note,सार्धकालिक स्वर
Double bar,द्विरेखा
Double flat,द्विशः कोमल
Double sharp,द्विशः तीव्र
Double tonguing,द्वि तुत्कार
Down beat,प्रघात
Down bow,दक्षिण चालन (संकेत)
Drone,पृष्ठनाद
Drum,() ढोल : चमड़े से मढ़ा तालप्रधान वाद्य विशेष।
Duet (=duo),युगलबंदी
Duplets,द्विबंध
Elegy,शोक गीति
Encore,पुनः पुनः
Ending,अंत्यांश
Enharmonic interval,नाम भेद-अन्तराल
Ensemble,समूह
Entracte,अंकांतर संगीत
Entrée,अवतरणिका संगीत
Episode,योजक अंश
Equal temperament,देo temperament
Essential note,अनिवार्य स्वर
Etude,अभ्यास कृति
Exposition,प्रतिपादन
"Extemporization
 (=improvisation)",उपज
Fa (fah),"म, मध्यम"
Falsetto,कृत्रिम स्वरण
Fanfare,तूर्य घोष
Fantasia,"स्वेच्छा रचना, फेंटेसिया"
Fermata,देखिए pause
Fiddle,फिडल
Fife,छोटी बांसुरी
Fifth (interval),पंचम (अन्तराल)
Final,न्यास
Finale,अंतिमांश
Fine,अंत
Finger board,"दांड, दांडी, अंगुलिपटल"
Fingering,अंगुलिचालन
Fipple flute,सीटी वाली बांसुरी
Flageolet,फ्लेज्योलेट
Flageolet-note,अनुगुणित स्वर
Flat,"फ्लैट, कोमल, मृदु"
Florid counterpoint,प्रवाही सहचलन
Flute,"वेणु, बांसुरी, बंशी"
Folia,फोलिया
Folk dance,लोक नृत्य
Folk song,लोकगीत
Form,रूप
Forte,सबल (संकेत)
Fourth (interval),चतुर्थ अन्तराल
French horn,फ्रेंच हॉर्न
Frequency,आन्दोलन संख्या
Fret,"सारिका, सुन्दरी, परदा"
Fugue,फ़्यूग
Fuguetta,फ़्युगेटा
Full score,विस्तृत पाठ
Galop,गैलप
Gamba,गैम्बा
Gamut,स्वर परिसर
Geige/geigen,गाइगन
Gemshorn,गेमशोर्न
Gittern,गिटर्न
Ginsto,धीर (लय)
Glissando,"मोड़, सूत"
Glockenspiel,धातुपट्टतरंग
Gong,घड़ियाल
Grace-note,"कण स्वर, कन"
Grave,अतीव विलंबित
Gregorian chant,ग्रेगरीय संगीत
Gregorian tones,ग्रेगरीय स्वरक
Ground bass,देo basso ostinato
Half close (=half cadence),अपूर्ण मुक्ताय
Hand bells,कर घंटिकावली
Harmonica,हारमोनिका
Harmonics,गुणित स्वर
Harmonic scale,देo minor scale
Harmonic series,गुणित स्वर श्रेणी
Harmonium,हारमोनियम
Harmony,सहस्वरता
Harp,हार्प
Harplute,हार्पल्यूट
Harpsichord,हार्पसीकार्ड
Hexachord,षाड़व ग्राम
Horn (=French horn),हार्न (फेंच हॉर्न)
Hymn,स्तोत्रगान
Idyll,ग्राम्यगीत
Imperfect cadence,देo cadence
Impromptu,आशु प्रबन्ध
Improvization (=extemporization),देo extemporization
Incidental music,प्रासंगिक संगीत
Instrument,"वाद्य, बाजा"
Interlude,"अन्तःसंगीत, मध्यवर्ती संगीत"
Interrupted cadence,देo cadence
Intonation,सुरीलापन
Introduction,प्रास्ताविक संगीत
Inversion,विलोमन
Jazz,जैज़
Key,() आधारक :
