English,Hindi
Author's alteration,लेखकीय परिवर्तन
Abbreviation,संक्षेपण
Abbreviation,संक्षिप्ति
Abcedarium,अक्षर प्रवेशिका
"Aberration, chromatic",वर्ण विपथन
"Aberration, spherical",गोलीय विपथन
Abrasion resistance,अपघर्षण प्रतिरोध
Abrasive,"अपघर्षी, अपघर्षक"
Abrasive paper,रेगमार / अपघर्षी कागज
Abrasive stick,अपघर्षी छड़
Abridged edition,संक्षिप्त संस्करण
Absorbency,अवशोषकता
Absorbent paper,अवशोषक कागज
Absorption,अवशोषण
Accelerator,त्वरक
Accent,स्वराघात
Accented letter,आघातित अक्षर
Accepted stock,स्वीकृत कागज
Accordian fold,लहरिया मोड़
Account book paper,लेखाबही कागज
Accurately marked,सुचिह्नित
Acetate sheet,एसिटेट शीट
Achromatic,अवर्णक
Acid,अम्ल
Acid blast,अम्ल झोंका
Acid dyestuff,अम्लीय रंजक
Acid free paper,अम्लमुक्त कागज
Acid proof fibreplate,अम्ल रोधी फाइबर प्लेट
Acid proof ink,अम्लरोधी स्याही
Acid size,अम्ल माड़ी
Acid value,अम्लांक
Across the grain,कणानुप्रस्थ
Actinic light,सक्रिय प्रकाश
Actinic radiation,सक्रिय विकिरण
Activation,सक्रियण
Activator,सक्रियक
Active,सक्रिय
Adcut (logogtype),नाम शैली
Addendum,अनुशेष
Additive mixture,योज्य मिश्रण
Addressograph,पतालेखी
Adhesive,आसंजक
Adhesive binding,आसंजी जिल्दबंदी
Advance copy,अग्रिम प्रति
Advance jacket,अग्रिम जैकेट
Advance release,अग्रिम विमोचन
Advance sheet,अग्रिम शीट / अग्रिम पत्रक
Advancing the cylinder,सिलिंडर अग्रण
Advertising medium,सिलिंडर माध्यम
Aerograph,वातलेखी
Affinity,बंधूता
Agate,ऐगेट
Agate line,ऐगेट लाइन
Agitation,विलोड़न
Agitator,विलोडक
Air bar,वायु छड़
Air bell,फफोला चिह्न
Air brush,वात कूची
Air buffer,वायु बफर
Air condenser,वायु संधारित्र
Air conditioning,वातानुकूलन
Air cooled,वायु शीतित
Air cushion,वायु उपधान / वायुकुशन
Air cylinder,वायु सिलिंडर
Air dried,वायु शोषित
Air dry,वायु शुष्क
Air hole,वायु छिद्र
Air knife,वायु क्षर
Air knife coating,वायुक्षर लेपन
Air leak,वायु क्षरण
Air leak tester,वायु क्षरण परिक्षित्र
Air pin block,वायु पिन ब्लाक
Air pipe,वायु नलिका
Air piston,वायु पिस्टन
Air proof paper,वायुसह कागज
Air supply,वायु प्रदाय
Air valve,वायु वाल्व
Albumen,"श्वेतक, एल्बूमेन"
Albumenized paper,श्वेतक कागज
Aldine binding,एल्डीन जिल्दबंदी
Aligning dial,संरक्षेण डायल
Alignment,संरखेण
Alkali,क्षार
Alkali cellulose,क्षारीय सेल्युलोज
Alkaline soak,क्षार मज्जन
Alkalinity,क्षारता
Alkali proof,क्षारसह
Alkali resistant,क्षार रोधक
Alkali solubility,क्षारीय विलेयता
Alku print,एल्कूप्रिंट
Allocation,नियतन
Allonym,"परनाम, छद्मनाम"
Alloy,"मिश्रधातु, मिश्रातु"
All-purpose linotype,बहुउद्देशीय लाइनो-टाइप
Almanac,पचांग
