English,Hindi
Aba,अबा
Abaca,अबाका
Aback,बक्सी
Abyssal zone,वितल क्षेत्र
Acidulae,आम्ल भौमजल
Acidulous water,आम्ल जल
Active layer,सक्रिय परत
Adit,ऐडिट
Aerial tramway,वायु ट्राम गाड़ी
Aerobee rocket,ऐरोबी रॉकेट
Aerodynamic torque,वायुगतिक बलाघूर्ण
Aeromagnetic data,वायुचुंबकीय आँकड़े
Aerosol spectrum,ऐरोसॉल स्पेक्ट्रम
Aerospace,वायु आकाश
Aerosphere,"वातमंडल, गैसमंडल"
Affluent,सहायक नदी
Afflux,"ऊर्ध्व प्रवाह उन्नयन, ऊर्ध्व-अधोप्रवाह अंतर"
After damp,खनिविस्फोटज गैस
Agricultural geology (agrogeology),कृषि भूविज्ञान
Air bursh,"वातकूर्चिका, वात ब्रुश"
Air centimeter,वायु सेन्टीमीटर
Aircraft icing,वायुयान हिमन
Aircraft jig,वायुयान जिग
Aircraft pressure altimeter,वायुयान दाब तुंगतामापी
Air drilling,वायु-वेधन
Air float table,वातीय पटल
Air gun mechanism,वायु विस्फोट विधि
Air lift,"वायव उत्थापन, विमान वहन"
Air mapping,वायु-मानचित्रण
Air photogrammetry,वायु फोटो ग्राममिति
Air photograph,वायु फोटो
Air photography,वायव फोटोग्राफी
Air photo lineament,वायु फोटो स्थलानुरेख
Air photo linear,वायु फोटो स्थलरेखा
Air photo lineation,वायु फोटो संरेखण
Air sizing,वायव मापवर्गीकरण
Air space ratio,वायु अवकाश अनुपात
Air surveying,वायव सर्वेक्षण
Air swept mill,वायु चालित मिल
Akins classifier,ऐकिन वर्गीकार
Aki's method,ऐकी-विधि
Albedo energy,ऐल्विडो ऊर्जा
All-glass pneumatic cell,सर्वकाच वातिल सेल
Allochthonous ground water,अपरस्थानिक भौम जल
Allochthonous stream,अपरस्थानिक सरिता
Alloy steel,मिश्रातु इस्पात
Alluvial dam,जलोढ़ बाँध
Alluvial dam lake,जलोढ़ रूद्ध झील
Alluvial fan,जलोढ़ पंखा
Alternate shovel method,एकांतर शॉवल विधि
Alternate pitting,एकांतर गर्तन्यास
Alundum,ऐलन्डम
Amalgam,"पारदघातु मिश्रण, ऐंबर, अंबर"
Analogue play back,अनुरूप
Analogue recording,अनुरूप अभिलेखन
Analogue signal,अनुरूप संकेत
Anemolite,एनीमोलाइट
Angerdorf,ऐंगरडोर्फ
Annealing,अनीलन
Annihilation radiation,विलोपन-विकिरण
Annular clay floaters,वलयाकार मृत्तिका प्लवक
Aperiodical damping,अनावर्ती अवमंदन
Apparatus,उपकरण
Apparent free space,आभासी अवकाश
Applanation,अपस्तृतकरण
Applied geology,अनुप्रयुक्त भूविज्ञान
Aquiclude,मितजलभूत
Aquifage,जलवर्जित
Aquiferous system,जलभृत तंत्र
