English,Hindi
Abate,कम होना
Abbreviated,संक्षिप्त शीर्षक
Aberration,"अपेरण, विपथन"
Ablation,अपक्षरण
Ablation zone,अपक्षरण क्षेत्र
Abnormal,अपसामान्य
Above normal,सामान्य से अधिक
Abridgement,"संक्षेपण, संक्षिप्ति"
Absolute,"निरपेक्ष, चरम"
Absolute altitude,निरपेक्ष तुंगता
Absolute humidity,निरपेक्ष आर्द्रता
Absolute instability,"निरपेक्ष अस्थिरता, निरपेक्ष अस्थायित्व"
Absolute instrument,निरपेक्ष उपकरण
Absolute salinity,निरपेक्ष लवणता
Absolute stability,"निरपेक्ष स्थिरता, निरपेक्ष स्थायित्व"
Absolute temperature scale,निरपेक्ष ताप मापक्रम
Absolute vorticity,निरपेक्ष भ्रमिलता
Absolute-zero,परम शून्य
Absorber,"अवशोषी, अवशोषक"
Absorption,अवशोषण
Absorption coefficient,अवशोषण गुणांक
Absorptive,"अवशोषी, अवशोषक"
Absorptivity,"अवशोष्यता, अवशोषकता"
Abstract,सार
Accelerated,त्वरित
Accelerating,त्वरक
Acceleration,त्वरण
Accelerogram,त्वरणलेख
Accelerograph,त्वरणलेखी
Accelerometer,त्वरणमापी
Accentuated,विशिष्ट
Acceptance tests,स्वीकारी परीक्षण
Access,"अभिगम, अभिगम्यता"
Accession,परिग्रहण
Accessory cloud,सहायक मेघ
Access time,अभिगम-काल
Accident,"संयोग, घटना, दुर्घटना"
Acclimatisation,"पर्यनुकूलन, दशानुकूलन"
Accretion,अभिवृद्धि
Accumulated,संचित
Accumulation,संचयन; संचय
Accumulation zone,संचयन क्षेत्र (हिमसंचयन प्रदेश)
Accumulator,संचायक
Accuracy,"परिशुद्धता, यथार्थता"
Acid deposit,अम्ल निक्षेप
Acid rain,अम्ल वर्षा
Acoustic sounding,ध्वानिक परिज्ञापन
Acoustic wave,ध्वनि तरंग
Acquisition,"संप्राप्ति, अधिग्रहण"
Acre foot,एकड़ फुट
Across,आर-पार
Activated,सक्रियित
Activation,सक्रियण
Active,सक्रिय
Activities,क्रियाएँ
Activity centre,"क्रिया केंद्र, कार्य केंद्र"
Actual evapotranspiration,वास्तविक वाष्पन-वाष्पोत्सर्जन
Actuals,वास्तविक आँकड़े
Actuation energy,प्रवर्तन ऊर्जा
Actuator,प्रवर्तक
Adaptation,अनुकूलन
Adapter,अनुकूलक
Added entry,इतर प्रविष्टि
Additive,योज्य
Adhesion,आसंजन
Adhesive,"आसंजक, आसंजनशील"
Adiabat,एडियाबेट
Adiabatic,रुद्धोष्म
Adiabatic atmosphere,रुद्धोष्म वायुमंडल
Adiabatic chart,रुद्धोष्म संचित्र
Adiabatic cooling,रुद्धोष्म शीतलन
Adiabatic equilibrium,रुद्धोष्म साम्यावस्था
Adiabatic lapse rate,रुद्धोष्म ह्रास दर
Adiabatic process,रुद्धोष्म प्रक्रिया
Adiabatic warming,रुद्धोष्म उष्णन
Adjoining,"सटा हुआ, संलग्न"
Adjustment,समायोजन
Admittance,प्रवेश्यता
Adsorption,अधिशोषण
Advance,"अग्रसर, आगे बढ़ना"
Advanced,"उन्नत, अग्रगत"
Advancing,"अग्रगामी, प्रगामी"
Advected,अभिवाहित
Advection,अभिवहन
Advection fog,अभिवहन कुहरा
Advection frost,अभिवहन तुषार
Advective,अभिवाही
Advective thunder storm,अभिवहनी तड़ीत् झंझा (अभिवाही तड़ित् झंझा)
Adverse,प्रतिकूल
Advisory,"परामर्शी, परामर्शिका"
Advisory forecast,"परामार्शिका पूर्वानुमान, परामर्शी पूर्वानुमान"
Aeolian,वायूढ़
Aeration,वातन
Aerial,"एरियल; आकाशी, वायव"
Aerial view,हवाई दृश्य
Aerodrome,"हवाई अड्डा, विमान क्षेत्र"
Aerodynamic,वायुगतिक
Aerodynamics,वायुगतिकी
Aerological,वायुविज्ञानीय
Aerological diagram,"वायुविज्ञानीय रेखाचित्र, वायुविज्ञानीय आरेख"
Aeronautical,वैमानिक
Aeronomy,वायविकी
Aerosol,"वायुविलय, ऐरोसॉल"
Aestival,"ग्रीष्मीय, ग्रैष्म"
Affected,प्रभावित
Afforestation,वनरोपण
After effect,उत्तर प्रभाव
After glow,उत्तर दीप्ति
Aftershock,उत्तरघात
Age,"आयु, वय, उम्र, काल, युग"
Ageostrophic,अभूविक्षेपी
Agglomeration,"संपिंडन, समूहन"
Aging,काल प्रभावन
Agitation,प्रक्षोभन
Agricultural climatology,कृषि जलवायुविज्ञान
Agricultural meteorology,कृषि मौसमविज्ञान
Agrobiology,कृषि जीवविज्ञान
Agroclimatic classification,कृषि जलवायविक वर्गीकरण
Agromet advisory service,कृषि-मौसम परामर्श सेवा
Agronomy,सस्य विज्ञान
Agulhas current,एगुहास धारा
Ahead,आगे
Air,वायु
Air-borne,वायु-वाहित
Air-column,वायु स्तंभ
Air-conditioner,वातानुकूलक
Air-conditioning,वातानुकूलन
Aircraft,वायुयान
Aircraft ceiling,"विमान तुंगता सीमा, विमान उच्चता सीमा"
Aircraft icing,विमान हिमन
Aircraft report,विमान की रिपोर्ट
Aircraft sounding,विमान परिज्ञापन
Aircraft turbulence,विमान प्रक्षोम
Aircraft weather reconnaissance,विमान मौसम आवीक्षण
Air-earth current,वायु-पृथ्वी विद्युत्धारा
Air frame,वायुफ्रेम
Air discharge,वायु विसर्जन
Air drainage,वायु अपवाह
Air glow,वायुदीप्ति
Air mass,"वायुराशि, वायुसंहति"
Air mass classification,वायुराशि वर्गीकरण
Air mass climatology,वायुसंहति जलवायुविज्ञान
Air mass shower,वायुराशि बौछार
Air mass source region,वायुराशि स्रोत क्षेत्र
Air mass thunder storm,वायुराशि तड़ित् झंझा
Air meter,वायु मापी
Air parcel,"वायु खंड, वायु पार्सल"
Air permeability,वायु पारगम्यता
