English,Hindi
a la,"उपकक्ष,पक्षक, नासा-पक्षक"
Aaron's rod (a small abacus),"पल्लव सज्जापट्टी, फूलछड़ी"
abaciscus,मठाधिकार क्षेत्र
abaciscus (a stone mosaic),"कुट्टिम पाषाण, कुट्टिम खर्पर"
abacus,फलक
abamurus,पुश्ता
abat-jour,तिर्यक गवाक्ष
abbacy,मठाधीश आवास; मठाधीरात्व
abbadia (=badia),"मठ, गिरजा"
abbeillio-acheulian,अबेबीली एश्यूली
Abberrvillian,अबेवीली उद्योग
abberrvillian order,अबेवीली द् विमुख कुठार
Abbevillian handaxe,अबेवेली हस्तकुठार
abbevillian industry,अबेबीली
Abbey,"भिक्षु तथा भिक्षुणी विहारों का समूह,मठाधीश या मठाध्यक्ष"
Abbey of Westminster,वैस्टमिन्सटर मठ
abbeystead (=abbeystede),"मठाभूमि, मठक्षेत्र"
abbozzo,अबोजो रेखाचित्र
Abdarkhana,"आबदार खाना, पेय जल का भंडार"
abditory,मालखाना
abetment,कृंतन; निहनन
Abkhasian people,अबखार्सी जन
abkshan,आबकशाँ
abolition,"विलोपन, लोप"
abolition of slavery,दासप्रथा का उन्मूलन
aboriginal,आदिवासी
abrader,अपघर्षक
Abraham Era,अब्राहम काल
abrasion,"अपघर्षण, घिसाई"
abraum,गेरु
abraxas,"गंडा, तावीज, अब्रेक्सस"
abreuvoir,रद्दे की दराज
absentee landlord,प्रवासी ज़मीदार
absentee sovereignty ship,अन्यत्रवासी सम्प्रभुता
absolute,निरपेक्ष
absolute chronology,निरपेक्ष कालानुक्रम
absolute dating,"निरपेक्ष तिथि निर्धारण, निरपेक्ष तिथ्‍यांकन"
absolutism,निरंकुशशासनवाद
absorbing,"अवशोषी, चित्‍ताकर्षक"
abstract style,अमूर्त शैली
abstract symbol,अमूर्त प्रतीक
abut,सीमा-स्पर्शन
abutment,"अंत्याधार, पीलपाया"
academic archaeology,शैक्षिक पुरातत्व
academy,अकादमी; विद्वत्परिषद
acanthus,आकैंथस कंटकी-पर्णक
accelerated againg test,त्वरित काल-प्रभावन-परीक्षण
access door,छद्मरंध्र
