English,Hindi
Abapical,अपशीर्ष
Abatement,कमी
Abaxial,अपाक्ष
Abculture (abkulture),अपसंवर्धन; अपसंवर्ध
Abdomen,उदर
Abhymenial,अपहाइमीनियमी
Ability,सामर्थ्य
Ability test,सामर्थ्य परीक्षण
Abiogenesis (abiogeny),अजीवात्जनन
Abiotic factor,अजीवीय कारक
Abjuction,अपयोजन
Ablactation,अपस्तन्यन
Ablast,अकोरक
Abnodation,अपगांठन
Abnormal demand,अपसामान्य माँग
Abnormal forest,अमानक वन
Aboospore,अनिषेक फलितांड
Abortion,वृद्धिरोध
Abortion,2. विफलन
Abortion,3. गर्भपात
Abortive,रुद्धवृद्धि; विफल
Above par,अधिमूल्य पर
Abrading tool,अपघर्षी औजार
Abrasion,अपघर्षण
Abrasion,2. खरोंच
Abscess,विद्रधि
Abscission,विलगन
Abscission,2. उत्पाटन
Absence,लोप
Absentee,"दूरवासी, अनुपस्थित"
Absolute,परिशुद्ध
Absolute,2. पूर्ण
Absolute,3. निरपेक्ष
Absolute,4. परदम
Absolute form quotient,निरपेक्ष आकृति भागफल
Absolute growth rate,निरपेक्ष वृद्धि-दर
Absolute humidity,निरपेक्ष आर्द्रता
Absolute monopoly,पूर्ण एकाधिकार
Absolute value,निरपेक्ष मूल्य
Absolute water requirement,निरपेक्ष जल आवश्यकता
Absorption,अवशोषण
Absorptivity,अवशोषकता
Abstriction,अपाकुंचन
Abundance,"प्रचुरता, बाहुल्य"
Acalycalis,अबाह्यदली
Acantha,कंट
Acanthopod,कंटवृंत
Acaricide,बरुथीनाशी
Acarology,बरुथिकी
Acarpelous (acarpellous),अनंडपी
Acarpous,अनंडपी
Acarpous,2. अफली
Acarpy,अनंडपता
Acarpy,2. अफलदता
Acaryota,ऐकैरियोटा
Acaulescent,अस्तंभी
Acaulis,अस्तंभी
Accelerated erosion,त्वरित अपरदन
Accelerated test,त्वरित परीक्षण
Access road,"पहुंच मार्ग, अभिगम मार्ग"
Accessibility,अभिगम्यता
Accessible forest,अभिगम्य वन
Accessory,"अतिरिक्‍त, सहायक, गौण"
Accessory,2. उपसाधन
Accessory bud,अतिरिक्त कलिका
Accessory product,सहायक उत्पाद
Accessory system,सहायक पद्धति
Accident prevention,दुर्घटना निवारण
Accident proneness,दुर्घटना प्रवणता
Acclimatization,दशानुकूलन
Acclimation,पर्यनुकूलन
Accrescent,उत्‍तरवर्धी
Accrete,अभिवर्धित
Accrete,2. सहवर्धित
Accretion,अभिवृद्धि
Accumulated temperature,संचित ताप
Accumulator plant,धातुसंकेती पादप
Acccuracy,"परिशुद्धता, यथार्थता"
Acentric,अकेंद्रीय
Acephalous,अशीर्षी
Acephalous,2. मुंडकहीन
Acephaly,अशीर्षता
Acerate,सूच्याकार
Acerose,सूच्याकार
Acervate,पुंजित
Acervulus,एसरवुलस
Acetobacter,ऐसीटोबैक्टर
Acetolysis,ऐसीटोअपघटन
Achene,ऐकीन
Achlamydeous,अपरिदली
Achlamydy,अपरिदलता
Achlorophyllaceous,अपर्णहरिती
Achromasia,अवर्णकता
Achromatic spindle,अरंज्य तर्कु
Achromatic,अवर्णक
Acicular,सूच्याकार
Aciculsilvae,सूचिवृक्षादि
Aciculum,शूक
Acid,"अम्ल, तेजाब, एसिड"
Acid grade steel,उच्चकोटि इस्पात
Acid soil,अम्ल मृदा
Acidity effect,अम्लता प्रभाव
Acidity,अम्लता
Acidity exchange,अम्लता विनिमय
Acidophile,अम्लरागी
Acidophile,2. अम्लरंजी
Aciduric,अति अम्लसह
Acid value,अम्ल मान
Acies,धारा
Aciform,सूच्याकार
Aciniform,द्राक्षगुच्छाकार
Acinus,गुच्छकोष्ठक
Acinus,2. कोष्ठक
Acinus,3. द्राक्षाकार कोष्ठक
Acladiosis,ऐक्लेडियम-आर्ति
Acladium,ऐक्लेडियम; अशाखवृंत
Acolpate,खांच रहित
Aconite,एकोनाइट
Acorn,"बांजफल, ऐकॉर्न"
Acquired,उपार्जित
Acquired character,उपार्जित लक्षण
