English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
above par,अधिमूल्यपर,અધિમૂલ્યપર,अधिमूल्यपर,ਵੱਧ ਮੁੱਲ ਉੱਤੇ,অধিমূল্যপর,अधिमूल्यपर,ಅಧಿಮೂಲ್ಯಪರ,അധിമൂല്യപര,அதிமூல்யபர,అధిమూల్యపర,ادھمولیپر,অধিমূল্যপর,ଅଧିମୂଲ୍ୟ,अधिमूल्यपर
abridged multiplication,संक्षिप्‍तगुणन,સંક્ષિપ્તગુણન,संक्षिप्तगुणन,ਸਂਕ੍਷ਿਪ੍ਤਗੁਣਨ,সংক্ষিপ্তগুণন,संक्षिप्तगुणन,ಸಂಕ್ಷಿಪ್ತಗುಣನ,സംക്ഷിപ്തഗുണന,ஸங்க்ஷிப்தகுணந,సంక్షిప్తగుణన,سنکشپتگنن,সংক্ষিপ্তগুণন,ସଂକ୍ଷିପ୍ତଗୁଣନ,संक्षिप्तगुणन
abridged notation,संक्षिप्‍तसंकेतन,સંક્ષિપ્તસંકેતન,संक्षिप्तसंकेतन,ਸਂਕ੍਷ਿਪ੍ਤਸਂਕੇਤਨ,সংক্ষিপ্তসংকেতন,संक्षिप्तसंकेतन,ಸಂಕ್ಷಿಪ್ತಸಂಕೇತನ,സംക്ഷിപ്തസംകേതന,ஸங்க்ஷிப்தஸங்கேதந,సంక్షిప్తసంకేతన,سنکشپتسنکیتن,সংক্ষিপ্তসংকতন,ସଂକ୍ଷିପ୍ତ ସଂକେତନ,संक्षिप्तसंकेतन
abscissa,भुज,ભુજ,भुज,ਭੁਜ,ভুজ,भुज,ಭುಜ,ഭുജ,புஜ,భుజ,افقی قدر,ভুজ,ଭୁଜ,भुज
abscissa of boundedness,परिबद्धताभुज,પરિબદ્ધતાભુજ,परिबद्धताभुज,ਪਰਿਬਦ੍ਧਤਾਭੁਜ,পরিবদ্ধতাভুজ,परिबद्धताभुज,ಪರಿಬದ್ಧತಾಭುಜ,പരിബദ്ധതാഭുജ,பரிபத்ததாபுஜ,పరిబద్ధతాభుజ,پربدھتابھج,পরিবদ্ধতাভুজ,ପରିବଦ୍ଧତାଭୁଜ,परिबद्धताभुज
absolute,"निरपेक्ष, परम, परिशुद्ध","અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ","आबाधित, केवळ, निरपवाद, पूर्ण, बिनशर्त, अटिशिवाय","ਪੂਰਨ, ਨਿਰਪੱਖ","চূড়ান্ত,চরম,পূর্ণ","पुराय,पूर्ण,संपूर्ण",ನಿರ್ದಿಷ್ಟ,കേവല,"முழுமையான, வரம்பற்ற, தனித்த","పరమ,సంపూర్ణ,సమగ్ర,నిరపేక్ష,కేవల,",مطلق,"পূর্ণ,সম্পূর্ণ,একছত্রী,নিৰঙ্কুশ","ସମ୍ପୂର୍ଣ୍ଣ, ନିରଙ୍କୁଶ",1. पूर्ण 2. अनियन्त्रित
absolute calculus,निरपेक्षकलन,નિરપેક્ષકલન,निरपेक्षकलन,ਨਿਰਪੇਕ੍਷ਕਲਨ,নিরপেক্ষকলন,निरपेक्षकलन,ನಿರಪೇಕ್ಷಕಲನ,നിരപേക്ഷകലന,நிரபேக்ஷகலந,నిరపేక్షకలన,نرپیکشکلن,নিরপক্ষকলন,ନିରପେକ୍ଷକଲନ,निरपेक्षकलन
absolute constant,निरपेक्षअचर,નિરપેક્ષઅચર,निरपेक्षअचर,ਨਿਰਪੇਕ੍਷ਅਚਰ,নিরপেক্ষঅচর,निरपेक्षअचर,ನಿರಪೇಕ್ಷಅಚರ,നിരപേക്ഷഅചര,நிரபேக்ஷஅசர,నిరపేక్షఅచర,نرپیکوچر,নিরপক্ষঅচর,ନିରପେକ୍ଷଅଚର,निरपेक्षअचर
absolute covariant,निरपेक्षसहचर,નિરપેક્ષસહચર,निरपेक्षसहचर,ਨਿਰਪੇਕ੍਷ਸਹਚਰ,নিরপেক্ষসহচর,निरपेक्षसहचर,ನಿರಪೇಕ್ಷಸಹಚರ,നിരപേക്ഷസഹചര,நிரபேக்ஷஸஹசர,నిరపేక్షసహచర,نرپیکشسہچر,নিরপক্ষসহচর,ନିରପେକ୍ଷସହଚର,निरपेक्षसहचर
absolute inequality,निरपेक्षअसमिका,નિરપેક્ષઅસમિકા,निरपेक्षअसमिका,ਨਿਰਪੇਕ੍਷ਅਸਮਿਕਾ,নিরপেক্ষঅসমিকা,निरपेक्षअसमिका,ನಿರಪೇಕ್ಷಅಸಮಿಕಾ,നിരപേക്ഷഅസമികാ,நிரபேக்ஷஅஸமிகா,నిరపేక్షఅసమికా,نرپیکتسمکا,নিরপক্ষঅসমিকা,ନିରପେକ୍ଷଅସମିକା,निरपेक्षअसमिका
