English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Author's alteration,लेखकीय परिवर्तन,લેખકીય પરિવર્તન,लेखकीय परिवर्तन,ਲੇਖਕੀਯ ਪਰਿਵਰ੍ਤਨ,লেখকীয পরিবর্তন,लेखकीय परिवर्तन,ಲೇಖಕೀಯ ಪರಿವರ್ತನ,ലേഖകീയ പരിവര്തന,லேககீய பரிவர்தந,లేఖకీయ పరివర్తన,لیکھکیہ پرورتن,লখকীয পরির্তন,ଲେଖକୀଯ ପରିବର୍ତନ,लेखकीय परिवर्तन
Abbreviation,संक्षेपण,"સંક્ષેપાક્ષર, સંક્ષિપ્ત રૂપ, શબ્દ-સંક્ષેપ","संक्षेप, संक्षेपाक्षर",ਸਾਰ,"সংক্ষেপন,সংক্ষিপ্তরূপ","संक्षेप,संक्षेपीकरण","ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು","സംക്ഷേപം, സംക്ഷേപണം, സംക്ഷേപം","சுருக்கம், சுருக்கக் குறியீடு","సంక్షిప్తం, సంక్షిప్త రూపం",اختصار,"সংক্ষিপ্তকৰণ,হ্রস্বকৰণ","ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି","संक्षेप, छोटकरी रूप"
Abbreviation,संक्षिप्ति,"સંક્ષેપાક્ષર, સંક્ષિપ્ત રૂપ, શબ્દ-સંક્ષેપ","संक्षेप, संक्षेपाक्षर",ਸਾਰ,"সংক্ষেপন,সংক্ষিপ্তরূপ","संक्षेप,संक्षेपीकरण","ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು","സംക്ഷേപം, സംക്ഷേപണം, സംക്ഷേപം","சுருக்கம், சுருக்கக் குறியீடு","సంక్షిప్తం, సంక్షిప్త రూపం",اختصار,"সংক্ষিপ্তকৰণ,হ্রস্বকৰণ","ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି","संक्षेप, छोटकरी रूप"
Abcedarium,अक्षर प्रवेशिका,અક્ષર પ્રવેશિકા,अक्षर प्रवेशिका,ਅਕ੍਷ਰ ਪ੍ਰਵੇਸ਼ਿਕਾ,অক্ষর প্রবেশিকা,अक्षर प्रवेशिका,ಅಕ್ಷರ ಪ್ರವೇಶಿಕಾ,അക്ഷര പ്രവേശികാ,அக்ஷர ப்ரவேசிகா,అక్షర ప్రవేశికా,اکشر پرویشکا,অক্ষর প্রশিকা,ଅକ୍ଷର ପ୍ରବେଶିକା,अक्षर प्रवेशिका
"Aberration, chromatic",वर्ण विपथन,વર્ણ વિપથન,वर्ण विपथन,ਵਰ੍ਣ ਵਿਪਥਨ,বর্ণ বিপথন,वर्ण विपथन,ವರ್ಣ ವಿಪಥನ,വര്ണ വിപഥന,வர்ண விபதந,వర్ణ విపథన,رنگی فتور,র্ণ িপথন,ବର୍ଣ ବିପଥନ,वर्ण विपथन
"Aberration, spherical",गोलीय विपथन,ગોલીય વિપથન,गोलीय विपथन,ਗੋਲੀਯ ਵਿਪਥਨ,গোলীয বিপথন,गोलीय विपथन,ಗೋಲೀಯ ವಿಪಥನ,ഗോലീയ വിപഥന,கோலீய விபதந,గోలీయ విపథన,کروی فتور,গলীয িপথন,ଗୋଲୀଯ ବିପଥନ,गोलीय विपथन
Abrasion resistance,अपघर्षण प्रतिरोध,અપઘર્ષણ પ્રતિરોધ,अपघर्षण प्रतिरोध,ਅਪਘਰ੍਷ਣ ਪ੍ਰਤਿਰੋਧ,অপঘর্ষণ প্রতিরোধ,अपघर्षण प्रतिरोध,ಅಪಘರ್ಷಣ ಪ್ರತಿರೋಧ,അപഘര്ഷണ പ്രതിരോധ,அபகர்ஷண ப்ரதிரோத,అపఘర్షణ ప్రతిరోధ,اپگھرشن پرترودھ,অপঘর্ষণ প্রতিরধ,ଅପଘର୍ଷଣ ପ୍ରତିରୋଧ,अपघर्षण प्रतिरोध
Abrasive,"अपघर्षी, अपघर्षक","અપઘર્ષી, અપઘર્ષક","अपघर्षी, अपघर्षक",ਖੁਰਚ ਦੇਣ ਵਾਲਾ,"অপঘর্ষী, অপঘর্ষক","अपघर्षी, अपघर्षक","ಅಪಘರ್ಷಕ, ಉಜ್ಜಿಹಾಕುವ ತರಚುವ, ಉಜ್ಜುವ","അപഘര്ഷീ, അപഘര്ഷക","அபகர்ஷீ, அபகர்ஷக","అపఘర్షీ, అపఘర్షక",سایندہ,"অপঘর্ষী, অপঘর্ষক","ଅପଘର୍ଷୀ, ଅପଘର୍ଷକ","अपघर्षी, अपघर्षक"
Abrasive paper,रेगमार / अपघर्षी कागज,રેગમાર / અપઘર્ષી કાગજ,रेगमार / अपघर्षी कागज,ਰੇਗਮਾਰ / ਅਪਘਰ੍਷ੀ ਕਾਗਜ,রেগমার / অপঘর্ষী কাগজ,रेगमार / अपघर्षी कागज,ರೇಗಮಾರ / ಅಪಘರ್ಷೀ ಕಾಗಜ,രേഗമാര / അപഘര്ഷീ കാഗജ,ரேகமார / அபகர்ஷீ காகஜ,రేగమార / అపఘర్షీ కాగజ,ریگمار / اپگھرشی کاغذ,রগমার / অপঘর্ষী কাগজ,ରେଗମାର / ଅପଘର୍ଷୀ କାଗଜ,रेगमार / अपघर्षी कागज
Abrasive stick,अपघर्षी छड़,અપઘર્ષી છડ઼,अपघर्षी छड़,ਅਪਘਰ੍਷ੀ ਛਡ਼,অপঘর্ষী ছড়,अपघर्षी छड़,ಅಪಘರ್ಷೀ ಛಡ಼,അപഘര്ഷീ ഛഡ,அபகர்ஷீ சட,అపఘర్షీ ఛడ,اپگھرشی چھڑ,অপঘর্ষী ছড়,ଅପଘର୍ଷୀ ଛଡ଼,अपघर्षी छड़
Abridged edition,संक्षिप्त संस्करण,સંક્ષિપ્ત સંસ્કરણ,संक्षिप्त संस्करण,ਸਂਕ੍਷ਿਪ੍ਤ ਸਂਸ੍ਕਰਣ,সংক্ষিপ্ত সংস্করণ,संक्षिप्त संस्करण,ಸಂಕ್ಷಿಪ್ತ ಸಂಸ್ಕರಣ,സംക്ഷിപ്ത സംസ്കരണ,ஸங்க்ஷிப்த ஸங்ஸ்கரண,సంక్షిప్త సంస్కరణ,سنکشپت سنسکرن,সংক্ষিপ্ত সংস্করণ,ସଂକ୍ଷିପ୍ତ ସଂସ୍କରଣ,संक्षिप्त संस्करण
Absorbency,अवशोषकता,અવશોષકતા,अवशोषकता,ਅਵਸ਼ੋ਷ਕਤਾ,অবশোষকতা,अवशोषकता,ಅವಶೋಷಕತಾ,അവശോഷകതാ,அவசோஷகதா,అవశోషకతా,اوشوشکتا,অশষকতা,ଅବଶୋଷକତା,अवशोषकता
Absorbent paper,अवशोषक कागज,અવશોષક કાગજ,अवशोषक कागज,ਅਵਸ਼ੋ਷ਕ ਕਾਗਜ,অবশোষক কাগজ,अवशोषक कागज,ಅವಶೋಷಕ ಕಾಗಜ,അവശോഷക കാഗജ,அவசோஷக காகஜ,అవశోషక కాగజ,اوشوشک کاغذ,অশষক কাগজ,ଅବଶୋଷକ କାଗଜ,अवशोषक कागज
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Accelerator,त्वरक,ત્વરક,त्वरक,ਰਫ਼ਤਾਰ ਵਧਾਉਣ ਵਾਲਾ ਯੰਤਰ,ত্বরক,त्वरक,ವೇಗವರ್ಧಕ,ത്വരക,த்வரக,త్వరక,سرمت کار، ایکسیلریٹر,ত্রক,ତ୍ବରକ,त्वरक
Accent,स्वराघात,સ્વરાઘાત,स्वराघात,ਉਚਾਰਣ ਉੱਤੇ ਜੋਰ,স্বরাঘাত,स्वराघात,ಸ್ವರಾಘಾತ,സ്വരാഘാത,ஸ்வராகாத,స్వరాఘాత,سوراگھات,স্রাঘাত,ସ୍ବରାଘାତ,स्वराघात
Accented letter,आघातित अक्षर,આઘાતિત અક્ષર,आघातित अक्षर,ਆਘਾਤਿਤ ਅਕ੍਷ਰ,আঘাতিত অক্ষর,आघातित अक्षर,ಆಘಾತಿತ ಅಕ್ಷರ,ആഘാതിത അക്ഷര,ஆகாதித அக்ஷர,ఆఘాతిత అక్షర,آگھاتت اکشر,আঘাতিত অক্ষর,ଆଘାତିତ ଅକ୍ଷର,आघातित अक्षर
Accepted stock,स्वीकृत कागज,સ્વીકૃત કાગજ,स्वीकृत कागज,ਸ੍ਵੀਕ੃ਤ ਕਾਗਜ,স্বীকৃত কাগজ,स्वीकृत कागज,ಸ್ವೀಕೃತ ಕಾಗಜ,സ്വീകൃത കാഗജ,ஸ்வீக்ருத காகஜ,స్వీకృత కాగజ,سویکرت کاغذ,স্ীকৃত কাগজ,ସ୍ବୀକୃତ କାଗଜ,स्वीकृत कागज
Accordian fold,लहरिया मोड़,લહરિયા મોડ઼,लहरिया मोड़,ਲਹਰਿਯਾ ਮੋਡ਼,লহরিযা মোড়,लहरिया मोड़,ಲಹರಿಯಾ ಮೋಡ಼,ലഹരിയാ മോഡ,லஹரியா மோட,లహరియా మోడ,لہریا موڑ,লহরিযা মড়,ଲହରିଯା ମୋଡ଼,लहरिया मोड़
Account book paper,लेखाबही कागज,લેખાબહી કાગજ,लेखाबही कागज,ਲੇਖਾਬਹੀ ਕਾਗਜ,লেখাবহী কাগজ,लेखाबही कागज,ಲೇಖಾಬಹೀ ಕಾಗಜ,ലേഖാബഹീ കാഗജ,லேகாபஹீ காகஜ,లేఖాబహీ కాగజ,لیکھابہی کاغذ,লখাবহী কাগজ,ଲେଖାବହୀ କାଗଜ,लेखाबही कागज
Accurately marked,सुचिह्नित,સુચિહ્નિત,सुचिह्नित,ਸੁਚਿਹ੍ਨਿਤ,সুচিহ্নিত,सुचिह्नित,ಸುಚಿಹ್ನಿತ,സുചിഹ്നിത,ஸுசிஹ்நித,సుచిహ్నిత,سچہنت,সুচিহ্নিত,ସୁଚିହ୍ନିତ,सुचिह्नित
Acetate sheet,एसिटेट शीट,એસિટેટ શીટ,एसिटेट शीट,ਏਸਿਟੇਟ ਸ਼ੀਟ,এসিটেট শীট,एसिटेट शीट,ಏಸಿಟೇಟ ಶೀಟ,ഏസിടേട ശീട,ஏஸிடேட சீட,ఏసిటేట శీట,ایسیٹیٹ شیٹ,সিটট শীট,ଏସିଟେଟ ଶୀଟ,एसिटेट शीट
Achromatic,अवर्णक,અવર્ણક,अवर्णक,ਅਵਰ੍ਣਕ,অবর্ণক,अवर्णक,ವರ್ಣರಹಿತ,അവര്ണക,அவர்ணக,అవర్ణక,رنگِ خاتم,অর্ণক,ଅବର୍ଣ୍ଣକ,अवर्णक
Acid,अम्ल,અમ્લ,अम्ल,"ਤੇਜਾਂਬ, ਖੱਟਾ",অম্ল,अम्ल,ಆಮ್ಲ,അമ്ല,அம்ல,అమ్ల,تیزاب,অম্ল,ଅମ୍ଳ,अम्ल
Acid blast,अम्ल झोंका,અમ્લ ઝોંકા,अम्ल झोंका,ਅਮ੍ਲ ਝੋਂਕਾ,অম্ল ঝোংকা,अम्ल झोंका,ಅಮ್ಲ ಝೋಂಕಾ,അമ്ല ഝോംകാ,அம்ல ஜோங்கா,అమ్ల ఝోంకా,عمل جھونکا,অম্ল ঝংকা,ଅମ୍ଲ ଝୋଂକା,अम्ल झोंका
Acid dyestuff,अम्लीय रंजक,અમ્લીય રંજક,अम्लीय रंजक,ਅਮ੍ਲੀਯ ਰਂਜਕ,অম্লীয রংজক,अम्लीय रंजक,ಅಮ್ಲೀಯ ರಂಜಕ,അമ്ലീയ രംജക,அம்லீய ரங்ஜக,అమ్లీయ రంజక,املیہ رنجک,অম্লীয রংজক,ଅମ୍ଲୀଯ ରଂଜକ,अम्लीय रंजक
Acid free paper,अम्लमुक्त कागज,અમ્લમુક્ત કાગજ,अम्लमुक्त कागज,ਅਮ੍ਲਮੁਕ੍ਤ ਕਾਗਜ,অম্লমুক্ত কাগজ,अम्लमुक्त कागज,ಅಮ್ಲಮುಕ್ತ ಕಾಗಜ,അമ്ലമുക്ത കാഗജ,அம்லமுக்த காகஜ,అమ్లముక్త కాగజ,عملمکت کاغذ,অম্লমুক্ত কাগজ,ଅମ୍ଲମୁକ୍ତ କାଗଜ,अम्लमुक्त कागज
Acid proof fibreplate,अम्ल रोधी फाइबर प्लेट,અમ્લ રોધી ફાઇબર પ્લેટ,अम्ल रोधी फाइबर प्लेट,ਅਮ੍ਲ ਰੋਧੀ ਫਾਇਬਰ ਪ੍ਲੇਟ,অম্ল রোধী ফাইবর প্লেট,अम्ल रोधी फाइबर प्लेट,ಅಮ್ಲ ರೋಧೀ ಫಾಇಬರ ಪ್ಲೇಟ,അമ്ല രോധീ ഫാഇബര പ്ലേട,அம்ல ரோதீ பாஇபர ப்லேட,అమ్ల రోధీ ఫాఇబర ప్లేట,عمل رودھی فائبر پلیٹ,অম্ল রধী ফাইবর প্লট,ଅମ୍ଲ ରୋଧୀ ଫାଇବର ପ୍ଲେଟ,अम्ल रोधी फाइबर प्लेट
Acid proof ink,अम्लरोधी स्याही,અમ્લરોધી સ્યાહી,अम्लरोधी स्याही,ਅਮ੍ਲਰੋਧੀ ਸ੍ਯਾਹੀ,অম্লরোধী স্যাহী,अम्लरोधी स्याही,ಅಮ್ಲರೋಧೀ ಸ್ಯಾಹೀ,അമ്ലരോധീ സ്യാഹീ,அம்லரோதீ ஸ்யாஹீ,అమ్లరోధీ స్యాహీ,املرودھی سیاہی,অম্লরধী স্যাহী,ଅମ୍ଲରୋଧୀ ସ୍ଯାହୀ,अम्लरोधी स्याही
Acid size,अम्ल माड़ी,અમ્લ માડ઼ી,अम्ल माड़ी,ਅਮ੍ਲ ਮਾਡ਼ੀ,অম্ল মাড়ী,अम्ल माड़ी,ಅಮ್ಲ ಮಾಡ಼ೀ,അമ്ല മാഡീ,அம்ல மாடீ,అమ్ల మాడీ,عمل ماڑی,অম্ল মাড়ী,ଅମ୍ଲ ମାଡ଼ୀ,अम्ल माड़ी
Acid value,अम्लांक,અમ્લાંક,अम्लांक,ਅਮ੍ਲਾਂਕ,অম্লাংক,अम्लांक,ಅಮ್ಲಾಂಕ,അമ്ലാംക,அம்லாங்க,అమ్లాంక,املانک,অম্লাংক,ଅମ୍ଲାଂକ,अम्लांक
Across the grain,कणानुप्रस्थ,કણાનુપ્રસ્થ,कणानुप्रस्थ,ਕਣਾਨੁਪ੍ਰਸ੍ਥ,কণানুপ্রস্থ,कणानुप्रस्थ,ಕಣಾನುಪ್ರಸ್ಥ,കണാനുപ്രസ്ഥ,கணாநுப்ரஸ்த,కణానుప్రస్థ,کنانپرستھ,কণানুপ্রস্থ,କଣାନୁପ୍ରସ୍ଥ,कणानुप्रस्थ
Actinic light,सक्रिय प्रकाश,સક્રિય પ્રકાશ,सक्रिय प्रकाश,ਸਕ੍ਰਿਯ ਪ੍ਰਕਾਸ਼,সক্রিয প্রকাশ,सक्रिय प्रकाश,ಸಕ್ರಿಯ ಪ್ರಕಾಶ,സക്രിയ പ്രകാശ,ஸக்ரிய ப்ரகாச,సక్రియ ప్రకాశ,سکریہ پرکاش,সক্রিয প্রকাশ,ସକ୍ରିଯ ପ୍ରକାଶ,सक्रिय प्रकाश
Actinic radiation,सक्रिय विकिरण,સક્રિય વિકિરણ,सक्रिय विकिरण,ਸਕ੍ਰਿਯ ਵਿਕਿਰਣ,সক্রিয বিকিরণ,सक्रिय विकिरण,ಸಕ್ರಿಯ ವಿಕಿರಣ,സക്രിയ വികിരണ,ஸக்ரிய விகிரண,సక్రియ వికిరణ,سکریہ وکرن,সক্রিয িকিরণ,ସକ୍ରିଯ ବିକିରଣ,सक्रिय विकिरण
Activation,सक्रियण,સક્રિયણ,सक्रियण,ਸਕ੍ਰਿਯਣ,সক্রিযণ,सक्रियण,ಕ್ರಿಯಾಶೀಲಗೊಳಿಸುವಿಕೆ,സക്രിയണ,ஸக்ரியண,సక్రియణ,سر گرماہٹ,সক্রিযণ,ସକ୍ରିଯଣ,सक्रियण
