English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
a la,"उपकक्ष,पक्षक, नासा-पक्षक","ઉપકક્ષ,પક્ષક, નાસા-પક્ષક","उपकक्ष,पक्षक, नासा-पक्षक","ਉਪਕਕ੍਷,ਪਕ੍਷ਕ, ਨਾਸਾ-ਪਕ੍਷ਕ","উপকক্ষ,পক্ষক, নাসা-পক্ষক","उपकक्ष,पक्षक, नासा-पक्षक","ಉಪಕಕ್ಷ,ಪಕ್ಷಕ, ನಾಸಾ-ಪಕ್ಷಕ","ഉപകക്ഷ,പക്ഷക, നാസാ-പക്ഷക","உபகக்ஷ,பக்ஷக, நாஸா-பக்ஷக","ఉపకక్ష,పక్షక, నాసా-పక్షక",اپککش،پکشک، ناسا-پکشک,"উপকক্ষ,পক্ষক, নাসা-পক্ষক","ଉପକକ୍ଷ,ପକ୍ଷକ, ନାସା-ପକ୍ଷକ","उपकक्ष,पक्षक, नासा-पक्षक"
Aaron's rod (a small abacus),"पल्लव सज्जापट्टी, फूलछड़ी","પલ્લવ સજ્જાપટ્ટી, ફૂલછડ઼ી","पल्लव सज्जापट्टी, फूलछड़ी","ਪਲ੍ਲਵ ਸਜ੍ਜਾਪਟ੍ਟੀ, ਫੂਲਛਡ਼ੀ","পল্লব সজ্জাপট্টী, ফূলছড়ী","पल्लव सज्जापट्टी, फूलछड़ी","ಪಲ್ಲವ ಸಜ್ಜಾಪಟ್ಟೀ, ಫೂಲಛಡ಼ೀ","പല്ലവ സജ്ജാപട്ടീ, ഫൂലഛഡീ","பல்லவ ஸஜ்ஜாபட்டீ, பூலசடீ","పల్లవ సజ్జాపట్టీ, ఫూలఛడీ",پلو سجاپٹی، پھولچھڑی,"পল্ল সজ্জাপট্টী, ফূলছড়ী","ପଲ୍ଲବ ସଜ୍ଜାପଟ୍ଟୀ, ଫୂଲଛଡ଼ୀ","पल्लव सज्जापट्टी, फूलछड़ी"
abaciscus,मठाधिकार क्षेत्र,મઠાધિકાર ક્ષેત્ર,मठाधिकार क्षेत्र,ਮਠਾਧਿਕਾਰ ਕ੍਷ੇਤ੍ਰ,মঠাধিকার ক্ষেত্র,मठाधिकार क्षेत्र,ಮಠಾಧಿಕಾರ ಕ್ಷೇತ್ರ,മഠാധികാര ക്ഷേത്ര,மடாதிகார க்ஷேத்ர,మఠాధికార క్షేత్ర,مٹھادھکار شیتر,মঠাধিকার ক্ষত্র,ମଠାଧିକାର କ୍ଷେତ୍ର,मठाधिकार क्षेत्र
abaciscus (a stone mosaic),"कुट्टिम पाषाण, कुट्टिम खर्पर","કુટ્ટિમ પાષાણ, કુટ્ટિમ ખર્પર","कुट्टिम पाषाण, कुट्टिम खर्पर","ਕੁਟ੍ਟਿਮ ਪਾ਷ਾਣ, ਕੁਟ੍ਟਿਮ ਖਰ੍ਪਰ","কুট্টিম পাষাণ, কুট্টিম খর্পর","कुट्टिम पाषाण, कुट्टिम खर्पर","ಕುಟ್ಟಿಮ ಪಾಷಾಣ, ಕುಟ್ಟಿಮ ಖರ್ಪರ","കുട്ടിമ പാഷാണ, കുട്ടിമ ഖര്പര","குட்டிம பாஷாண, குட்டிம கர்பர","కుట్టిమ పాషాణ, కుట్టిమ ఖర్పర",کوٹم پاشان، کوٹم کھرپر,"কুট্টিম পাষাণ, কুট্টিম খর্পর","କୁଟ୍ଟିମ ପାଷାଣ, କୁଟ୍ଟିମ ଖର୍ପର","कुट्टिम पाषाण, कुट्टिम खर्पर"
abacus,फलक,ફલક,फलक,ਤਾਰਾ ਵਿੱਚ ਲਾਟੂ ਪਾ ਕੇ ਗਿਣਤੀ ਸਿਖਾਉਣ ਵਾਲਾ ਯੰਤਰ,ফলক,फलक,ಮಣಿಚೌಕಟ್ಟು,ഫലക,பலக,ఫలక,ابیکس۔ بال فریم,ফলক,ଫଲକ,फलक
abamurus,पुश्ता,પુશ્તા,पुश्ता,ਪੁਸ਼੍ਤਾ,পুশ্তা,पुश्ता,ಪುಶ್ತಾ,പുശ്താ,புச்தா,పుశ్తా,پشتہ,পুশ্তা,ପୁଶ୍ତା,पुश्ता
abat-jour,तिर्यक गवाक्ष,તિર્યક ગવાક્ષ,तिर्यक गवाक्ष,ਤਿਰ੍ਯਕ ਗਵਾਕ੍਷,তির্যক গবাক্ষ,तिर्यक गवाक्ष,ತಿರ್ಯಕ ಗವಾಕ್ಷ,തിര്യക ഗവാക്ഷ,திர்யக கவாக்ஷ,తిర్యక గవాక్ష,تریک گواکش,তির্যক গাক্ষ,ତିର୍ଯକ ଗବାକ୍ଷ,तिर्यक गवाक्ष
abbacy,मठाधीश आवास; मठाधीरात्व,મઠાધીશ આવાસ; મઠાધીરાત્વ,मठाधीश आवास; मठाधीरात्व,ਮਠਾਧੀਸ਼ ਆਵਾਸ; ਮਠਾਧੀਰਾਤ੍ਵ,মঠাধীশ আবাস; মঠাধীরাত্ব,मठाधीश आवास; मठाधीरात्व,ಮಠಾಧೀಶ ಆವಾಸ; ಮಠಾಧೀರಾತ್ವ,മഠാധീശ ആവാസ; മഠാധീരാത്വ,மடாதீச ஆவாஸ; மடாதீராத்வ,మఠాధీశ ఆవాస; మఠాధీరాత్వ,مٹھادھیش آواس؛ مٹھادھیراتو,মঠাধীশ আাস; মঠাধীরাত্,ମଠାଧୀଶ ଆବାସ; ମଠାଧୀରାତ୍ବ,मठाधीश आवास; मठाधीरात्व
abbadia (=badia),"मठ, गिरजा","મઠ, ગિરજા","मठ, गिरजा","ਮਠ, ਗਿਰਜਾ","মঠ, গিরজা","मठ, गिरजा","ಮಠ, ಗಿರಜಾ","മഠ, ഗിരജാ","மட, கிரஜா","మఠ, గిరజా",مٹھ، گرجا,"মঠ, গিরজা","ମଠ, ଗିରଜା","मठ, गिरजा"
abbeillio-acheulian,अबेबीली एश्यूली,અબેબીલી એશ્યૂલી,अबेबीली एश्यूली,ਅਬੇਬੀਲੀ ਏਸ਼੍ਯੂਲੀ,অবেবীলী এশ্যূলী,अबेबीली एश्यूली,ಅಬೇಬೀಲೀ ಏಶ್ಯೂಲೀ,അബേബീലീ ഏശ്യൂലീ,அபேபீலீ ஏச்யூலீ,అబేబీలీ ఏశ్యూలీ,ابیبیلی ایشیولی,অববীলী শ্যূলী,ଅବେବୀଲୀ ଏଶ୍ଯୂଲୀ,अबेबीली एश्यूली
