English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Absorption,अवशोषण,"સમાવેશ, સમાસ","शोषण, समावेशन","ਲੀਣ ਹੋਣਾ, ਵਿੱਚੇ ਸਮਾ ਜਾਣਾ, ਸਮੋ-ਲੈਣਾ",অন্তর্ভূক্তিকরণ,"1. च्यूसप,शोशून घेवप,2. अवशोषण","ಹೀರಿಕೆ, ರಕ್ತಗತ, ಅವಶೋಷಣೆ",ലയനം,"1. ஏற்றுக்கொள்ளல் 2. உறிஞ்சல், உட்கொள்ளல்,","లోపలికి గ్రహించుట,పీల్చుట",جاذبیت,"বিশোষণ, শোষণ, অৱশোষণ",ଅବଶୋଷଣ,"1. समावेश 2. सोसन, पाचन"
Absorption co - efficient,अवशोषण गुणांक,અવશોષણ ગુણાંક,अवशोषण गुणांक,ਅਵਸ਼ੋ਷ਣ ਗੁਣਾਂਕ,অবশোষণ গুণাংক,अवशोषण गुणांक,ಅವಶೋಷಣ ಗುಣಾಂಕ,അവശോഷണ ഗുണാംക,அவசோஷண குணாங்க,అవశోషణ గుణాంక,اوشوشن گنانک,অশষণ গুণাংক,ଅବଶୋଷଣ ଗୁଣାଂକ,अवशोषण गुणांक
Acceptor,"ग्राही, स्वीकारी","ગ્રાહી, સ્વીકારી","ग्राही, स्वीकारी","ਗ੍ਰਾਹੀ, ਸ੍ਵੀਕਾਰੀ","গ্রাহী, স্বীকারী","ग्राही, स्वीकारी",ಸ್ವೀಕಾರಿ,"ഗ്രാഹീ, സ്വീകാരീ","க்ராஹீ, ஸ்வீகாரீ","గ్రాహీ, స్వీకారీ",قبول کار,"গ্রাহী, স্ীকারী","ଗ୍ରହୀତା, ସ୍ୱୀକୃତିଦାତା","ग्राही, स्वीकारी"
Access time,अभिगम काल,અભિગમ કાલ,अभिगम काल,ਅਭਿਗਮ ਕਾਲ,অভিগম কাল,अभिगम काल,ಅಭಿಗಮ ಕಾಲ,അഭിഗമ കാല,அபிகம கால,అభిగమ కాల,ابھگم کال,অভিগম কাল,ଅଭିଗମ କାଲ,अभिगम काल
Accumulation,संचयन; संचय,"સંચય, સંગ્રહ","संचय, संचयन, साचणे","ਸੰਚਯ, ਸੰਚਿਤ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","পুঞ্জীকরণ,জড়োকরা","साठो,संचय","ಸಂಗ್ರಹ, ಶೇಖರಣೆ, ಕೂಡಿಹಾಕುವಿಕೆ","സഞ്ചയനം, ശേഖരം","குவிதல், சேர்தல்","పోగు,పెంపు,వృద్ధి,రాశి",تجمع۔ انبوہ,"পুঞ্জীকৰণ, সঞ্চয়ণ","ଠୁଳୀକୀରଣ, ସଞ୍ଚୟ","सञ्चय,थुपार्नु अचूक"
Acid glove,अम्ल रक्षी ग्लब,અમ્લ રક્ષી ગ્લબ,अम्ल रक्षी ग्लब,ਅਮ੍ਲ ਰਕ੍਷ੀ ਗ੍ਲਬ,অম্ল রক্ষী গ্লব,अम्ल रक्षी ग्लब,ಅಮ್ಲ ರಕ್ಷೀ ಗ್ಲಬ,അമ്ല രക്ഷീ ഗ്ലബ,அம்ல ரக்ஷீ க்லப,అమ్ల రక్షీ గ్లబ,عمل رکشی گلب,অম্ল রক্ষী গ্লব,ଅମ୍ଲ ରକ୍ଷୀ ଗ୍ଲବ,अम्ल रक्षी ग्लब
Acid resistant,अम्ल रोधी,અમ્લ રોધી,अम्ल रोधी,ਅਮ੍ਲ ਰੋਧੀ,অম্ল রোধী,अम्ल रोधी,ಅಮ್ಲ ರೋಧೀ,അമ്ല രോധീ,அம்ல ரோதீ,అమ్ల రోధీ,عمل رودھی,অম্ল রধী,ଅମ୍ଲ ରୋଧୀ,अम्ल रोधी
Activation energy,सक्रियण ऊर्जा,સક્રિયણ ઊર્જા,सक्रियण ऊर्जा,ਸਕ੍ਰਿਯਣ ਊਰ੍ਜਾ,সক্রিযণ ঊর্জা,सक्रियण ऊर्जा,ಸಕ್ರಿಯಣ ಊರ್ಜಾ,സക്രിയണ ഊര്ജാ,ஸக்ரியண ஊர்ஜா,సక్రియణ ఊర్జా,سکرین اورجا,সক্রিযণ ঊর্জা,ସକ୍ରିଯଣ ଊର୍ଜା,सक्रियण ऊर्जा
Active layer,सक्रिय परत,સક્રિય પરત,सक्रिय परत,ਸਕ੍ਰਿਯ ਪਰਤ,সক্রিয পরত,सक्रिय परत,ಸಕ್ರಿಯ ಪರತ,സക്രിയ പരത,ஸக்ரிய பரத,సక్రియ పరత,زندہ پرت,সক্রিয পরত,ସକ୍ରିଯ ପରତ,सक्रिय परत
Active matrix liquid crystal display,सक्रिय मैट्रिक्स द्रवीय क्रिस्टल प्रदर्श,સક્રિય મૈટ્રિક્સ દ્રવીય ક્રિસ્ટલ પ્રદર્શ,सक्रिय मैट्रिक्स द्रवीय क्रिस्टल प्रदर्श,ਸਕ੍ਰਿਯ ਮੈਟ੍ਰਿਕ੍ਸ ਦ੍ਰਵੀਯ ਕ੍ਰਿਸ੍ਟਲ ਪ੍ਰਦਰ੍ਸ਼,সক্রিয মৈট্রিক্স দ্রবীয ক্রিস্টল প্রদর্শ,सक्रिय मैट्रिक्स द्रवीय क्रिस्टल प्रदर्श,ಸಕ್ರಿಯ ಮೈಟ್ರಿಕ್ಸ ದ್ರವೀಯ ಕ್ರಿಸ್ಟಲ ಪ್ರದರ್ಶ,സക്രിയ മൈട്രിക്സ ദ്രവീയ ക്രിസ്ടല പ്രദര്ശ,ஸக்ரிய மைட்ரிக்ஸ த்ரவீய க்ரிஸ்டல ப்ரதர்ச,సక్రియ మైట్రిక్స ద్రవీయ క్రిస్టల ప్రదర్శ,سکریہ میٹرکس درویہ کرسٹل پردرش,সক্রিয মৈট্রিক্স দ্রীয ক্রিস্টল প্রদর্শ,ସକ୍ରିଯ ମୈଟ୍ରିକ୍ସ ଦ୍ରବୀଯ କ୍ରିସ୍ଟଲ ପ୍ରଦର୍ଶ,सक्रिय मैट्रिक्स द्रवीय क्रिस्टल प्रदर्श
Adapter,ऐडैप्टर,ઐડૈપ્ટર,ऐडैप्टर,ਐਡੈਪ੍ਟਰ,ঐডৈপ্টর,ऐडैप्टर,ಸಂಯೋಜಕ,ഐഡൈപ്ടര,ஐடைப்டர,ఐడైప్టర,اڈیپٹر  / وصیلیہ,ঐডৈপ্টর,ଐଡୈପ୍ଟର,ऐडैप्टर
Adhesion,आसंजन,આસંજન,आसंजन,ਲਗਾਉ,আসংজন,आसंजन,"ಅಸಂಜನ, ಅಂಟಿಕೊಳ್ಳುವಿಕೆ",ആസംജന,ஆஸங்ஜந,ఆసంజన,الحاق,আসংজন,ଆସଂଜନ,आसंजन
Adhesion promotor,आसंजन वर्धक,આસંજન વર્ધક,आसंजन वर्धक,ਆਸਂਜਨ ਵਰ੍ਧਕ,আসংজন বর্ধক,आसंजन वर्धक,ಆಸಂಜನ ವರ್ಧಕ,ആസംജന വര്ധക,ஆஸங்ஜந வர்தக,ఆసంజన వర్ధక,آسنجن وردھک,আসংজন র্ধক,ଆସଂଜନ ବର୍ଧକ,आसंजन वर्धक
Aligner,संरेखक,સંરેખક,संरेखक,ਸਂਰੇਖਕ,সংরেখক,संरेखक,ಸಂರೇಖಕ,സംരേഖക,ஸங்ரேகக,సంరేఖక,سنریکھک,সংরখক,ସଂରେଖକ,संरेखक
Alignment,संरेखक,સંરેખક,संरेखक,ਸਂਰੇਖਕ,সংরেখক,संरेखक,ಪಠ್ಯಹೊಂದಿಕೆ,സംരേഖക,ஸங்ரேகக,సంరేఖక,صف بندی,সংরখক,"ସମରେଖୀକରଣ, ସମଶ୍ରେଣୀକରଣ",संरेखक
Alternative dielectric,प्रत्यावर्ती परावैद्युत,પ્રત્યાવર્તી પરાવૈદ્યુત,प्रत्यावर्ती परावैद्युत,ਪ੍ਰਤ੍ਯਾਵਰ੍ਤੀ ਪਰਾਵੈਦ੍ਯੁਤ,প্রত্যাবর্তী পরাবৈদ্যুত,प्रत्यावर्ती परावैद्युत,ಪ್ರತ್ಯಾವರ್ತೀ ಪರಾವೈದ್ಯುತ,പ്രത്യാവര്തീ പരാവൈദ്യുത,ப்ரத்யாவர்தீ பராவைத்யுத,ప్రత్యావర్తీ పరావైద్యుత,پرتیاورتی پراویدیت,প্রত্যার্তী পরাৈদ্যুত,ପ୍ରତ୍ଯାବର୍ତୀ ପରାବୈଦ୍ଯୁତ,प्रत्यावर्ती परावैद्युत
Alumina,ऐलुमिना,ઐલુમિના,ऐलुमिना,ਐਲੁਮਿਨਾ,ঐলুমিনা,ऐलुमिना,"ಒಂದು ಬಗೆಯ ಮಣ್ಣು, ಆಲ್ಯೂಮಿನಿಯಂ ಭಸ್ಮ",ഐലുമിനാ,ஐலுமிநா,ఐలుమినా,الومینا,ঐলুমিনা,ଐଲୁମିନା,ऐलुमिना
Aluminium bonding wire,ऐलुमिनियम बंधक तार,ઐલુમિનિયમ બંધક તાર,ऐलुमिनियम बंधक तार,ਐਲੁਮਿਨਿਯਮ ਬਂਧਕ ਤਾਰ,ঐলুমিনিযম বংধক তার,ऐलुमिनियम बंधक तार,ಐಲುಮಿನಿಯಮ ಬಂಧಕ ತಾರ,ഐലുമിനിയമ ബംധക താര,ஐலுமிநியம பங்தக தார,ఐలుమినియమ బంధక తార,ایلمنیم بندھک تار,ঐলুমিনিযম বংধক তার,ଐଲୁମିନିଯମ ବଂଧକ ତାର,ऐलुमिनियम बंधक तार
Aluminium box,ऐलुमीनियम बाक्स,ઐલુમીનિયમ બાક્સ,ऐलुमीनियम बाक्स,ਐਲੁਮੀਨਿਯਮ ਬਾਕ੍ਸ,ঐলুমীনিযম বাক্স,ऐलुमीनियम बाक्स,ಐಲುಮೀನಿಯಮ ಬಾಕ್ಸ,ഐലുമീനിയമ ബാക്സ,ஐலுமீநியம பாக்ஸ,ఐలుమీనియమ బాక్స,ایلمینیم باکس,ঐলুমীনিযম বাক্স,ଐଲୁମୀନିଯମ ବାକ୍ସ,ऐलुमीनियम बाक्स
Aluminium electrolyte capacitor,एल्युमिनियम अपघट्‍य संघारित्र,એલ્યુમિનિયમ અપઘટ્ય સંઘારિત્ર,एल्युमिनियम अपघट्य संघारित्र,ਏਲ੍ਯੁਮਿਨਿਯਮ ਅਪਘਟ੍ਯ ਸਂਘਾਰਿਤ੍ਰ,এল্যুমিনিযম অপঘট্য সংঘারিত্র,एल्युमिनियम अपघट्य संघारित्र,ಏಲ್ಯುಮಿನಿಯಮ ಅಪಘಟ್ಯ ಸಂಘಾರಿತ್ರ,ഏല്യുമിനിയമ അപഘട്യ സംഘാരിത്ര,ஏல்யுமிநியம அபகட்ய ஸங்காரித்ர,ఏల్యుమినియమ అపఘట్య సంఘారిత్ర,ایلیمنیم اپگھٹیہ سنگھارتر,ল্যুমিনিযম অপঘট্য সংঘারিত্র,ଏଲ୍ଯୁମିନିଯମ ଅପଘଟ୍ଯ ସଂଘାରିତ୍ର,एल्युमिनियम अपघट्य संघारित्र
Aluminium extrusion,एल्युमिनियम बहिर्वेधन,એલ્યુમિનિયમ બહિર્વેધન,एल्युमिनियम बहिर्वेधन,ਏਲ੍ਯੁਮਿਨਿਯਮ ਬਹਿਰ੍ਵੇਧਨ,এল্যুমিনিযম বহির্বেধন,एल्युमिनियम बहिर्वेधन,ಏಲ್ಯುಮಿನಿಯಮ ಬಹಿರ್ವೇಧನ,ഏല്യുമിനിയമ ബഹിര്വേധന,ஏல்யுமிநியம பஹிர்வேதந,ఏల్యుమినియమ బహిర్వేధన,ایلیمنیم بہرویدھن,ল্যুমিনিযম বহির্ধন,ଏଲ୍ଯୁମିନିଯମ ବହିର୍ବେଧନ,एल्युमिनियम बहिर्वेधन
Aluminium oxide,ऐलुमिनियम ऑक्साइड,ઐલુમિનિયમ ઑક્સાઇડ,ऐलुमिनियम ऑक्साइड,ਐਲੁਮਿਨਿਯਮ ਑ਕ੍ਸਾਇਡ,ঐলুমিনিযম ঔক্সাইড,ऐलुमिनियम ऑक्साइड,ಐಲುಮಿನಿಯಮ ಔಕ್ಸಾಇಡ,ഐലുമിനിയമ ഔക്സാഇഡ,ஐலுமிநியம ஔக்ஸாஇட,ఐలుమినియమ ఔక్సాఇడ,ایلمنیم آکسائڈ,ঐলুমিনিযম ক্সাইড,ଐଲୁମିନିଯମ ଔକ୍ସାଇଡ,ऐलुमिनियम ऑक्साइड
Aluminium tray,ऐलुमीनियम ट्रे,ઐલુમીનિયમ ટ્રે,ऐलुमीनियम ट्रे,ਐਲੁਮੀਨਿਯਮ ਟ੍ਰੇ,ঐলুমীনিযম ট্র,ऐलुमीनियम ट्रे,ಐಲುಮೀನಿಯಮ ಟ್ರೇ,ഐലുമീനിയമ ട്രേ,ஐலுமீநியம ட்ரே,ఐలుమీనియమ ట్రే,ایلمینیم ٹرے,ঐলুমীনিযম ট্র,ଐଲୁମୀନିଯମ ଟ୍ରେ,ऐलुमीनियम ट्रे
Ambipolar carrier transport,उभयध्रुवीय वाहक अभिगमन,ઉભયધ્રુવીય વાહક અભિગમન,उभयध्रुवीय वाहक अभिगमन,ਉਭਯਧ੍ਰੁਵੀਯ ਵਾਹਕ ਅਭਿਗਮਨ,উভযধ্রুবীয বাহক অভিগমন,उभयध्रुवीय वाहक अभिगमन,ಉಭಯಧ್ರುವೀಯ ವಾಹಕ ಅಭಿಗಮನ,ഉഭയധ്രുവീയ വാഹക അഭിഗമന,உபயத்ருவீய வாஹக அபிகமந,ఉభయధ్రువీయ వాహక అభిగమన,ابھیدھرویہ واہک ابھگمن,উভযধ্রুীয াহক অভিগমন,ଉଭଯଧ୍ରୁବୀଯ ବାହକ ଅଭିଗମନ,उभयध्रुवीय वाहक अभिगमन
Amonium flouride chem,अमोनिया फ्लोराइड रसायन,અમોનિયા ફ્લોરાઇડ રસાયન,अमोनिया फ्लोराइड रसायन,ਅਮੋਨਿਯਾ ਫ੍ਲੋਰਾਇਡ ਰਸਾਯਨ,অমোনিযা ফ্লোরাইড রসাযন,अमोनिया फ्लोराइड रसायन,ಅಮೋನಿಯಾ ಫ್ಲೋರಾಇಡ ರಸಾಯನ,അമോനിയാ ഫ്ലോരാഇഡ രസായന,அமோநியா ப்லோராஇட ரஸாயந,అమోనియా ఫ్లోరాఇడ రసాయన,امونیا فلورائڈ رساین,অমনিযা ফ্লরাইড রসাযন,ଅମୋନିଯା ଫ୍ଲୋରାଇଡ ରସାଯନ,अमोनिया फ्लोराइड रसायन
Amonium persulphate chem,अमोनियम परसल्फेट रसायन,અમોનિયમ પરસલ્ફેટ રસાયન,अमोनियम परसल्फेट रसायन,ਅਮੋਨਿਯਮ ਪਰਸਲ੍ਫੇਟ ਰਸਾਯਨ,অমোনিযম পরসল্ফেট রসাযন,अमोनियम परसल्फेट रसायन,ಅಮೋನಿಯಮ ಪರಸಲ್ಫೇಟ ರಸಾಯನ,അമോനിയമ പരസല്ഫേട രസായന,அமோநியம பரஸல்பேட ரஸாயந,అమోనియమ పరసల్ఫేట రసాయన,امونیم پرسلپھیٹ رساین,অমনিযম পরসল্ফট রসাযন,ଅମୋନିଯମ ପରସଲ୍ଫେଟ ରସାଯନ,अमोनियम परसल्फेट रसायन
Amorphous,अक्रिस्टलीय,અક્રિસ્ટલીય,अक्रिस्टलीय,ਅਕ੍ਰਿਸ੍ਟਲੀਯ,অক্রিস্টলীয,अक्रिस्टलीय,ಅಸ್ಫಟಿಕ,അക്രിസ്ടലീയ,அக்ரிஸ்டலீய,అక్రిస్టలీయ,غیر منظّم,অক্রিস্টলীয,"ଦାନାହୀନ, ଅସ୍ପଟୀକାକାର",अक्रिस्टलीय
Amorphous material,अक्रिस्टलीय सामग्री,અક્રિસ્ટલીય સામગ્રી,अक्रिस्टलीय सामग्री,ਅਕ੍ਰਿਸ੍ਟਲੀਯ ਸਾਮਗ੍ਰੀ,অক্রিস্টলীয সামগ্রী,अक्रिस्टलीय सामग्री,ಅಕ್ರಿಸ್ಟಲೀಯ ಸಾಮಗ್ರೀ,അക്രിസ്ടലീയ സാമഗ്രീ,அக்ரிஸ்டலீய ஸாமக்ரீ,అక్రిస్టలీయ సామగ్రీ,اکرسٹلیہ سامگری,অক্রিস্টলীয সামগ্রী,ଅକ୍ରିସ୍ଟଲୀଯ ସାମଗ୍ରୀ,अक्रिस्टलीय सामग्री
Analog device,समरूप युक्‍ति,સમરૂપ યુક્તિ,समरूप युक्ति,ਸਮਰੂਪ ਯੁਕ੍ਤਿ,সমরূপ যুক্তি,समरूप युक्ति,ಸಮರೂಪ ಯುಕ್ತಿ,സമരൂപ യുക്തി,ஸமரூப யுக்தி,సమరూప యుక్తి,سمروپ یکتی,সমরূপ যুক্তি,ସମରୂପ ଯୁକ୍ତି,समरूप युक्ति
Analog integrated circuit,अनुरूप एकीकृत परिपथ,અનુરૂપ એકીકૃત પરિપથ,अनुरूप एकीकृत परिपथ,ਅਨੁਰੂਪ ਏਕੀਕ੃ਤ ਪਰਿਪਥ,অনুরূপ একীকৃত পরিপথ,अनुरूप एकीकृत परिपथ,ಅನುರೂಪ ಏಕೀಕೃತ ಪರಿಪಥ,അനുരൂപ ഏകീകൃത പരിപഥ,அநுரூப ஏகீக்ருத பரிபத,అనురూప ఏకీకృత పరిపథ,انوروپ ایکیکرت پرپتھ,অনুরূপ কীকৃত পরিপথ,ଅନୁରୂପ ଏକୀକୃତ ପରିପଥ,अनुरूप एकीकृत परिपथ
Angstrom,एंगस्ट्रम,એંગસ્ટ્રમ,एंगस्ट्रम,ਏਂਗਸ੍ਟ੍ਰਮ,এংগস্ট্রম,एंगस्ट्रम,ಏಂಗಸ್ಟ್ರಮ,ഏംഗസ്ട്രമ,ஏங்கஸ்ட்ரம,ఏంగస్ట్రమ,اینگسٹرم,ংগস্ট্রম,ଏଂଗସ୍ଟ୍ରମ,एंगस्ट्रम
