English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
abrasive sand,अपघर्षी बालू,અપઘર્ષી બાલૂ,अपघर्षी बालू,ਅਪਘਰ੍਷ੀ ਬਾਲੂ,অপঘর্ষী বালূ,अपघर्षी बालू,ಅಪಘರ್ಷೀ ಬಾಲೂ,അപഘര്ഷീ ബാലൂ,அபகர்ஷீ பாலூ,అపఘర్షీ బాలూ,سایندہ ریت,অপঘর্ষী বালূ,ଅପଘର୍ଷୀ ବାଲୂ,अपघर्षी बालू
abundance (ecol),बाहुल्य,બાહુલ્ય,बाहुल्य,ਬਾਹੁਲ੍ਯ,বাহুল্য,बाहुल्य,ಬಾಹುಲ್ಯ,ബാഹുല്യ,பாஹுல்ய,బాహుల్య,باہلیہ,বাহুল্য,ବାହୁଲ୍ଯ,बाहुल्य
acud fumarole,अम्ल वाष्पमुख,અમ્લ વાષ્પમુખ,अम्ल वाष्पमुख,ਅਮ੍ਲ ਵਾ਷੍ਪਮੁਖ,অম্ল বাষ্পমুখ,अम्ल वाष्पमुख,ಅಮ್ಲ ವಾಷ್ಪಮುಖ,അമ്ല വാഷ്പമുഖ,அம்ல வாஷ்பமுக,అమ్ల వాష్పముఖ,عمل واشپمکھ,অম্ল াষ্পমুখ,ଅମ୍ଲ ବାଷ୍ପମୁଖ,अम्ल वाष्पमुख
aerobic,वायुजीवी,વાયુજીવી,वायुजीवी,ਵਾਯੁਜੀਵੀ,বাযুজীবী,वायुजीवी,ವಾಯುವಿಕ,വായുജീവീ,வாயுஜீவீ,వాయుజీవీ,وایجیوی,াযুজীী,ବାଯୁଜୀବୀ,वायुजीवी
aglet,एग्लेट,એગ્લેટ,एग्लेट,ਫ਼ੀਤੇ ਦੇ ਕਿਨਾਰੇ ਤੇ ਲੱਗੀ ਧਾਤ ਦੀ ਗੁੱਛੀ,এগ্লেট,एग्लेट,ಏಗ್ಲೇಟ,ഏഗ്ലേട,ஏக்லேட,ఏగ్లేట,ایگلیٹ,গ্লট,ଏଗ୍ଲେଟ,एग्लेट
alluvial gold,जलोढ़ स्वर्ण,જલોઢ઼ સ્વર્ણ,जलोढ़ स्वर्ण,ਜਲੋਢ਼ ਸ੍ਵਰ੍ਣ,জলোঢ় স্বর্ণ,जलोढ़ स्वर्ण,ಜಲೋಢ಼ ಸ್ವರ್ಣ,ജലോഢ സ്വര്ണ,ஜலோட ஸ்வர்ண,జలోఢ స్వర్ణ,جلوڑھ سورن,জলঢ় স্র্ণ,ଜଲୋଢ଼ ସ୍ବର୍ଣ,जलोढ़ स्वर्ण
alluvial ore deposit,जलोढ़ अयस्क निक्षेप,જલોઢ઼ અયસ્ક નિક્ષેપ,जलोढ़ अयस्क निक्षेप,ਜਲੋਢ਼ ਅਯਸ੍ਕ ਨਿਕ੍਷ੇਪ,জলোঢ় অযস্ক নিক্ষেপ,जलोढ़ अयस्क निक्षेप,ಜಲೋಢ಼ ಅಯಸ್ಕ ನಿಕ್ಷೇಪ,ജലോഢ അയസ്ക നിക്ഷേപ,ஜலோட அயஸ்க நிக்ஷேப,జలోఢ అయస్క నిక్షేప,جلوڑھ ایسک نکشیپ,জলঢ় অযস্ক নিক্ষপ,ଜଲୋଢ଼ ଅଯସ୍କ ନିକ୍ଷେପ,जलोढ़ अयस्क निक्षेप
alluvial tin,जलोढ़ टिन,જલોઢ઼ ટિન,जलोढ़ टिन,ਜਲੋਢ਼ ਟਿਨ,জলোঢ় টিন,जलोढ़ टिन,ಜಲೋಢ಼ ಟಿನ,ജലോഢ ടിന,ஜலோட டிந,జలోఢ టిన,جلوڑھ ٹن,জলঢ় টিন,ଜଲୋଢ଼ ଟିନ,जलोढ़ टिन
aluminous cement,प्रत्यत्सर्जन सीमेन्ट,પ્રત્યત્સર્જન સીમેન્ટ,प्रत्यत्सर्जन सीमेन्ट,ਪ੍ਰਤ੍ਯਤ੍ਸਰ੍ਜਨ ਸੀਮੇਨ੍ਟ,প্রত্যত্সর্জন সীমেন্ট,प्रत्यत्सर्जन सीमेन्ट,ಪ್ರತ್ಯತ್ಸರ್ಜನ ಸೀಮೇನ್ಟ,പ്രത്യത്സര്ജന സീമേന്ട,ப்ரத்யத்ஸர்ஜந ஸீமேந்ட,ప్రత్యత్సర్జన సీమేన్ట,پرتیتسرجن سیمینٹ,প্রত্যত্সর্জন সীমন্ট,ପ୍ରତ୍ଯତ୍ସର୍ଜନ ସୀମେନ୍ଟ,प्रत्यत्सर्जन सीमेन्ट
alundum,ऐलन्डम,ઐલન્ડમ,ऐलन्डम,ਐਲਨ੍ਡਮ,ঐলন্ডম,ऐलन्डम,ಐಲನ್ಡಮ,ഐലന്ഡമ,ஐலந்டம,ఐలన్డమ,ایلنڈم,ঐলন্ডম,ଐଲନ୍ଡମ,ऐलन्डम
