English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abacus,"गिनतारा, एबेक्स","ગિનતારા, એબેક્સ","गिनतारा, एबेक्स",ਤਾਰਾ ਵਿੱਚ ਲਾਟੂ ਪਾ ਕੇ ਗਿਣਤੀ ਸਿਖਾਉਣ ਵਾਲਾ ਯੰਤਰ,"গিনতারা, এবেক্স","गिनतारा, एबेक्स",ಮಣಿಚೌಕಟ್ಟು,"ഗിനതാരാ, ഏബേക്സ","கிநதாரா, ஏபேக்ஸ","గినతారా, ఏబేక్స",ابیکس۔ بال فریم,"গিনতারা, বক্স","ଗିନତାରା, ଏବେକ୍ସ","गिनतारा, एबेक्स"
Aberrant copy,सदोष प्रति,સદોષ પ્રતિ,सदोष प्रति,ਸਦੋ਷ ਪ੍ਰਤਿ,সদোষ প্রতি,सदोष प्रति,ಸದೋಷ ಪ್ರತಿ,സദോഷ പ്രതി,ஸதோஷ ப்ரதி,సదోష ప్రతి,سدوش پرتی,সদষ প্রতি,ସଦୋଷ ପ୍ରତି,सदोष प्रति
Abbreviated catalogue card,संक्षिप्त प्रसुची पत्रक,સંક્ષિપ્ત પ્રસુચી પત્રક,संक्षिप्त प्रसुची पत्रक,ਸਂਕ੍਷ਿਪ੍ਤ ਪ੍ਰਸੁਚੀ ਪਤ੍ਰਕ,সংক্ষিপ্ত প্রসুচী পত্রক,संक्षिप्त प्रसुची पत्रक,ಸಂಕ್ಷಿಪ್ತ ಪ್ರಸುಚೀ ಪತ್ರಕ,സംക്ഷിപ്ത പ്രസുചീ പത്രക,ஸங்க்ஷிப்த ப்ரஸுசீ பத்ரக,సంక్షిప్త ప్రసుచీ పత్రక,سنکشپت پرسچی پترک,সংক্ষিপ্ত প্রসুচী পত্রক,ସଂକ୍ଷିପ୍ତ ପ୍ରସୁଚୀ ପତ୍ରକ,संक्षिप्त प्रसुची पत्रक
Abbreviated entry,संक्षिप्‍त प्रविष्‍ट,સંક્ષિપ્ત પ્રવિષ્ટ,संक्षिप्त प्रविष्ट,ਸਂਕ੍਷ਿਪ੍ਤ ਪ੍ਰਵਿ਷੍ਟ,সংক্ষিপ্ত প্রবিষ্ট,संक्षिप्त प्रविष्ट,ಸಂಕ್ಷಿಪ್ತ ಪ್ರವಿಷ್ಟ,സംക്ഷിപ്ത പ്രവിഷ്ട,ஸங்க்ஷிப்த ப்ரவிஷ்ட,సంక్షిప్త ప్రవిష్ట,سنکشپت پروشٹ,সংক্ষিপ্ত প্রিষ্ট,ସଂକ୍ଷିପ୍ତ ପ୍ରବିଷ୍ଟ,संक्षिप्त प्रविष्ट
Abbreviated title,संक्षिप्‍त शीर्षक,સંક્ષિપ્ત શીર્ષક,संक्षिप्त शीर्षक,ਸਂਕ੍਷ਿਪ੍ਤ ਸ਼ੀਰ੍਷ਕ,সংক্ষিপ্ত শীর্ষক,संक्षिप्त शीर्षक,ಸಂಕ್ಷಿಪ್ತ ಶೀರ್ಷಕ,സംക്ഷിപ്ത ശീര്ഷക,ஸங்க்ஷிப்த சீர்ஷக,సంక్షిప్త శీర్షక,سنکشپت شیرشک,সংক্ষিপ্ত শীর্ষক,ସଂକ୍ଷିପ୍ତ ଶୀର୍ଷକ,संक्षिप्त शीर्षक
Abbreviation,"संक्षेपण, संक्षिप्‍त रुप","સંક્ષેપાક્ષર, સંક્ષિપ્ત રૂપ, શબ્દ-સંક્ષેપ","संक्षेप, संक्षेपाक्षर",ਸਾਰ,"সংক্ষেপন,সংক্ষিপ্তরূপ","संक्षेप,संक्षेपीकरण","ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು","സംക്ഷേപം, സംക്ഷേപണം, സംക്ഷേപം","சுருக்கம், சுருக்கக் குறியீடு","సంక్షిప్తం, సంక్షిప్త రూపం",اختصار,"সংক্ষিপ্তকৰণ,হ্রস্বকৰণ","ସଂକ୍ଷେପଣ, ସଂକ୍ଷିପ୍ତି","संक्षेप, छोटकरी रूप"
Abridged dictionary,"संक्षिप्‍त शब्दकोश, लघु कोश","સંક્ષિપ્ત શબ્દકોશ, લઘુ કોશ","संक्षिप्त शब्दकोश, लघु कोश","ਸਂਕ੍਷ਿਪ੍ਤ ਸ਼ਬ੍ਦਕੋਸ਼, ਲਘੁ ਕੋਸ਼","সংক্ষিপ্ত শব্দকোশ, লঘু কোশ","संक्षिप्त शब्दकोश, लघु कोश","ಸಂಕ್ಷಿಪ್ತ ಶಬ್ದಕೋಶ, ಲಘು ಕೋಶ","സംക്ഷിപ്ത ശബ്ദകോശ, ലഘു കോശ","ஸங்க்ஷிப்த சப்தகோச, லகு கோச","సంక్షిప్త శబ్దకోశ, లఘు కోశ",سنکشپت شبدکوش، لگھو کوش,"সংক্ষিপ্ত শব্দকশ, লঘু কশ","ସଂକ୍ଷିପ୍ତ ଶବ୍ଦକୋଶ, ଲଘୁ କୋଶ","संक्षिप्त शब्दकोश, लघु कोश"
Abridged edition,लघु संस्करण,લઘુ સંસ્કરણ,लघु संस्करण,ਲਘੁ ਸਂਸ੍ਕਰਣ,লঘু সংস্করণ,लघु संस्करण,ಲಘು ಸಂಸ್ಕರಣ,ലഘു സംസ്കരണ,லகு ஸங்ஸ்கரண,లఘు సంస్కరణ,لگھو سنسکرن,লঘু সংস্করণ,ଲଘୁ ସଂସ୍କରଣ,लघु संस्करण
Abridgement,संक्षिप्‍त,સંક્ષિપ્ત,संक्षिप्त,ਸਂਕ੍਷ਿਪ੍ਤ,সংক্ষিপ্ত,संक्षिप्त,ಸಂಕ್ಷಿಪ್ತ,സംക്ഷിപ്ത,ஸங்க்ஷிப்த,సంక్షిప్త,اختصا ر - تلخیص,সংক্ষিপ্ত,ସଂକ୍ଷିପ୍ତ,संक्षिप्त
Abridger,संक्षेपक,સંક્ષેપક,संक्षेपक,ਸਂਕ੍਷ੇਪਕ,সংক্ষেপক,संक्षेपक,ಸಂಕ್ಷೇಪಕ,സംക്ഷേപക,ஸங்க்ஷேபக,సంక్షేపక,سنکشیپک,সংক্ষপক,ସଂକ୍ଷେପକ,संक्षेपक
