English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abaction,पशुहरण,પશુહરણ,पशुहरण,ਪਸ਼ੁਹਰਣ,পশুহরণ,पशुहरण,ಪಶುಹರಣ,പശുഹരണ,பசுஹரண,పశుహరణ,پشہرن,পশুহরণ,ପଶୁହରଣ,पशुहरण
Abandoned channel,परित्यक्त चैनल,પરિત્યક્ત ચૈનલ,परित्यक्त चैनल,ਪਰਿਤ੍ਯਕ੍ਤ ਚੈਨਲ,পরিত্যক্ত চৈনল,परित्यक्त चैनल,ಪರಿತ್ಯಕ್ತ ಚೈನಲ,പരിത്യക്ത ചൈനല,பரித்யக்த சைநல,పరిత్యక్త చైనల,پرتیکت چینل,পরিত্যক্ত চৈনল,ପରିତ୍ଯକ୍ତ ଚୈନଲ,परित्यक्त चैनल
Abandoned cliff,परित्यक्त भृगु,પરિત્યક્ત ભૃગુ,परित्यक्त भृगु,ਪਰਿਤ੍ਯਕ੍ਤ ਭ੃ਗੁ,পরিত্যক্ত ভৃগু,परित्यक्त भृगु,ಪರಿತ್ಯಕ್ತ ಭೃಗು,പരിത്യക്ത ഭൃഗു,பரித்யக்த ப்ருகு,పరిత్యక్త భృగు,پرتیکت بھرگو,পরিত্যক্ত ভৃগু,ପରିତ୍ଯକ୍ତ ଭୃଗୁ,परित्यक्त भृगु
Abandoned meander,परित्यक्त विसर्प,પરિત્યક્ત વિસર્પ,परित्यक्त विसर्प,ਪਰਿਤ੍ਯਕ੍ਤ ਵਿਸਰ੍ਪ,পরিত্যক্ত বিসর্প,परित्यक्त विसर्प,ಪರಿತ್ಯಕ್ತ ವಿಸರ್ಪ,പരിത്യക്ത വിസര്പ,பரித்யக்த விஸர்ப,పరిత్యక్త విసర్ప,پرتیکت وسرپ,পরিত্যক্ত িসর্প,ପରିତ୍ଯକ୍ତ ବିସର୍ପ,परित्यक्त विसर्प
Abandoned waterfall,परित्यक्त जलप्रपात,પરિત્યક્ત જલપ્રપાત,परित्यक्त जलप्रपात,ਪਰਿਤ੍ਯਕ੍ਤ ਜਲਪ੍ਰਪਾਤ,পরিত্যক্ত জলপ্রপাত,परित्यक्त जलप्रपात,ಪರಿತ್ಯಕ್ತ ಜಲಪ್ರಪಾತ,പരിത്യക്ത ജലപ്രപാത,பரித்யக்த ஜலப்ரபாத,పరిత్యక్త జలప్రపాత,پرتیکت جلپرپات,পরিত্যক্ত জলপ্রপাত,ପରିତ୍ଯକ୍ତ ଜଲପ୍ରପାତ,परित्यक्त जलप्रपात
Aber,सरितामुख,સરિતામુખ,सरितामुख,ਸਰਿਤਾਮੁਖ,সরিতামুখ,सरितामुख,ಸರಿತಾಮುಖ,സരിതാമുഖ,ஸரிதாமுக,సరితాముఖ,سرتامکھ,সরিতামুখ,ସରିତାମୁଖ,सरितामुख
Aberrant,विपथी,વિપથી,विपथी,ਰਾਹ ਭੁੱਲਿਆ,বিপথী,विपथी,"ಅಪಸರಿತ, ದಾರಿಬಿಟ್ಟ",വിപഥീ,விபதீ,విపథీ,عجیب الخلقت,িপথী,ବିପଥୀ,विपथी
Ablation,"अपक्षरण, अपक्षरणावशेष","અપક્ષરણ, અપક્ષરણાવશેષ","अपक्षरण, अपक्षरणावशेष",ਚੀਰ ਫਾੜ ਕਰਕੇ ਸਰੀਰ ਦੇ ਕਿਸੇ ਅੰਗ ਨੂੰ ਕੱਟਣਾ,"অপক্ষরণ, অপক্ষরণাবশেষ","अपक्षरण, अपक्षरणावशेष","ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ","അപക്ഷരണ, അപക്ഷരണാവശേഷ","அபக்ஷரண, அபக்ஷரணாவசேஷ","అపక్షరణ, అపక్షరణావశేష",سائش,"অপক্ষরণ, অপক্ষরণাশষ","ଅପକ୍ଷରଣ, ଅପକ୍ଷରଣାବଶେଷ","अपक्षरण, अपक्षरणावशेष"
Ablation moraine,अपक्षरण हिमोढ़,અપક્ષરણ હિમોઢ઼,अपक्षरण हिमोढ़,ਅਪਕ੍਷ਰਣ ਹਿਮੋਢ਼,অপক্ষরণ হিমোঢ়,अपक्षरण हिमोढ़,ಅಪಕ್ಷರಣ ಹಿಮೋಢ಼,അപക്ഷരണ ഹിമോഢ,அபக்ஷரண ஹிமோட,అపక్షరణ హిమోఢ,سایشی مورین,অপক্ষরণ হিমঢ়,ଅପକ୍ଷରଣ ହିମୋଢ଼,अपक्षरण हिमोढ़
Abney level,ऐबनी लेवेल,ઐબની લેવેલ,ऐबनी लेवेल,ਐਬਨੀ ਲੇਵੇਲ,ঐবনী লেবেল,ऐबनी लेवेल,ಐಬನೀ ಲೇವೇಲ,ഐബനീ ലേവേല,ஐபநீ லேவேல,ఐబనీ లేవేల,ایبنی لیول,ঐবনী লল,ଐବନୀ ଲେବେଲ,ऐबनी लेवेल
