English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
A C equivalent circuit,ए.सी. समतुल्य परिपथ,એ.સી. સમતુલ્ય પરિપથ,ए.सी. समतुल्य परिपथ,ਏ.ਸੀ. ਸਮਤੁਲ੍ਯ ਪਰਿਪਥ,এ.সী. সমতুল্য পরিপথ,ए.सी. समतुल्य परिपथ,ಏ.ಸೀ. ಸಮತುಲ್ಯ ಪರಿಪಥ,ഏ.സീ. സമതുല്യ പരിപഥ,ஏ.ஸீ. ஸமதுல்ய பரிபத,ఏ.సీ. సమతుల్య పరిపథ,ای۔سی۔ سمتلیہ پرپتھ,.সী. সমতুল্য পরিপথ,ଏ.ସୀ. ସମତୁଲ୍ଯ ପରିପଥ,ए.सी. समतुल्य परिपथ
A to D converter,अनुरूप से अंकीय परिवर्तक,અનુરૂપ સે અંકીય પરિવર્તક,अनुरूप से अंकीय परिवर्तक,ਅਨੁਰੂਪ ਸੇ ਅਂਕੀਯ ਪਰਿਵਰ੍ਤਕ,অনুরূপ সে অংকীয পরিবর্তক,अनुरूप से अंकीय परिवर्तक,ಅನುರೂಪ ಸೇ ಅಂಕೀಯ ಪರಿವರ್ತಕ,അനുരൂപ സേ അംകീയ പരിവര്തക,அநுரூப ஸே அங்கீய பரிவர்தக,అనురూప సే అంకీయ పరివర్తక,انوروپ سے انکیہ پرورتک,অনুরূপ স অংকীয পরির্তক,ଅନୁରୂପ ସେ ଅଂକୀଯ ପରିବର୍ତକ,अनुरूप से अंकीय परिवर्तक
Absolute zero,परम शून्य,પરમ શૂન્ય,परम शून्य,ਪਰਮ ਸ਼ੂਨ੍ਯ,পরম শূন্য,परम शून्य,ನಿರಪೇಕ್ಷಶೂನ್ಯ,പരമ ശൂന്യ,பரம சூந்ய,పరమ శూన్య,جذب کرنا,পরম শূন্য,ପରମ ଶୂନ୍ଯ,परम शून्य
Absorption coefficient,अवशोषण गुणांक,અવશોષણ ગુણાંક,अवशोषण गुणांक,ਅਵਸ਼ੋ਷ਣ ਗੁਣਾਂਕ,অবশোষণ গুণাংক,अवशोषण गुणांक,ಹೀರುವಿಕೆ; ಅವಶೇಷಣ ಹೀರುಗುಣಕ.,അവശോഷണ ഗുണാംക,அவசோஷண குணாங்க,అవశోషణ గుణాంక,اوشوشن گنانک,অশষণ গুণাংক,ଅବଶୋଷକ ଗୁଣାଙ୍କ,अवशोषण गुणांक
Absorption spectrum,अवशोषण स्पेक्ट्रम,અવશોષણ સ્પેક્ટ્રમ,अवशोषण स्पेक्ट्रम,ਅਵਸ਼ੋ਷ਣ ਸ੍ਪੇਕ੍ਟ੍ਰਮ,অবশোষণ স্পেক্ট্রম,अवशोषण स्पेक्ट्रम,ಹೀರಿಕೆ ವರ್ಣಪಟಲ,അവശോഷണ സ്പേക്ട്രമ,அவசோஷண ஸ்பேக்ட்ரம,అవశోషణ స్పేక్ట్రమ,جاذبیت اسپیکٹرم / طیف,অশষণ স্পক্ট্রম,"ଅବଶୋଷଣ ସ୍ପେକଟ୍ରମ, ଅବଶୋଷଣ ବର୍ଣ୍ଣାଳୀ",अवशोषण स्पेक्ट्रम
Acceptor atom,ग्राही परमाणु,ગ્રાહી પરમાણુ,ग्राही परमाणु,ਗ੍ਰਾਹੀ ਪਰਮਾਣੁ,গ্রাহী পরমাণু,ग्राही परमाणु,ಗ್ರಾಹೀ ಪರಮಾಣು,ഗ്രാഹീ പരമാണു,க்ராஹீ பரமாணு,గ్రాహీ పరమాణు,قبول کار ایٹم,গ্রাহী পরমাণু,ଗ୍ରାହୀ ପରମାଣୁ,ग्राही परमाणु
A C coupling,प्रत्यावर्ती धारा युग्मन,પ્રત્યાવર્તી ધારા યુગ્મન,प्रत्यावर्ती धारा युग्मन,ਪ੍ਰਤ੍ਯਾਵਰ੍ਤੀ ਧਾਰਾ ਯੁਗ੍ਮਨ,প্রত্যাবর্তী ধারা যুগ্মন,प्रत्यावर्ती धारा युग्मन,ಪ್ರತ್ಯಾವರ್ತೀ ಧಾರಾ ಯುಗ್ಮನ,പ്രത്യാവര്തീ ധാരാ യുഗ്മന,ப்ரத்யாவர்தீ தாரா யுக்மந,ప్రత్యావర్తీ ధారా యుగ్మన,پرتیاورتی دھارا یگمن,প্রত্যার্তী ধারা যুগ্মন,ପ୍ରତ୍ଯାବର୍ତୀ ଧାରା ଯୁଗ୍ମନ,प्रत्यावर्ती धारा युग्मन
Accumulation of electron,इलेक्ट्रॉन संचयन,ઇલેક્ટ્રૉન સંચયન,इलेक्ट्रॉन संचयन,ਇਲੇਕ੍ਟ੍ਰ੉ਨ ਸਂਚਯਨ,ইলেক্ট্রৌন সংচযন,इलेक्ट्रॉन संचयन,ಇಲೇಕ್ಟ್ರೌನ ಸಂಚಯನ,ഇലേക്ട്രൌന സംചയന,இலேக்ட்ரௌந ஸங்சயந,ఇలేక్ట్రౌన సంచయన,الیکٹران سنچین,ইলক্ট্রন সংচযন,ଇଲେକ୍ଟ୍ରୌନ ସଂଚଯନ,इलेक्ट्रॉन संचयन
Accumulation of holes,होल संचयन,હોલ સંચયન,होल संचयन,ਹੋਲ ਸਂਚਯਨ,হোল সংচযন,होल संचयन,ಹೋಲ ಸಂಚಯನ,ഹോല സംചയന,ஹோல ஸங்சயந,హోల సంచయన,ہول سنچین,হল সংচযন,ହୋଲ ସଂଚଯନ,होल संचयन
Activation energy,सक्रियण ऊर्जा,સક્રિયણ ઊર્જા,सक्रियण ऊर्जा,ਸਕ੍ਰਿਯਣ ਊਰ੍ਜਾ,সক্রিযণ ঊর্জা,सक्रियण ऊर्जा,ಸಕ್ರಿಯಣ ಊರ್ಜಾ,സക്രിയണ ഊര്ജാ,ஸக்ரியண ஊர்ஜா,సక్రియణ ఊర్జా,سکرین اورجا,সক্রিযণ ঊর্জা,ସକ୍ରିଯଣ ଊର୍ଜା,सक्रियण ऊर्जा
