English,Malayalam
abiogenesis,അജിയോട്ടിക് പുനരുൽപാദനം
abnormal,അസാധാരണമായ
abomasum,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
aborted organ,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
aborted seed,വളർച്ച മുരടിച്ച വിത്ത്
abortion,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
absolute weed,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
absorbed cation,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
absorption,ആഗിരണം
abyssinian mustard,അബിസീനിയൻ കടുക്
acaricide,1. acaricide
accentric,കേന്ദ്രാഭിമുഖം
accentuate (cell),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
accepted tolerance,അനുവദിച്ച സഹിഷ്ണുത
accessory,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
acclimatization,പൊരുത്തപ്പെടുത്തൽ
accumulation,ശേഖരണം
accuracy,1. vaccuracy 2. കൃത്യത
acervulus,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
acetification,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
acidification,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
acidimeter,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
acidity,അസിഡിറ്റി
acidophilic,അസിഡോഫൈൽ
acidulated rock phosphate,അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്
aciduric,അസിഡിഫൈഡ്
acquifer,ജലാശയം
acquisition,കൈവശപ്പെടുത്തൽ
acre,ഏക്കർ
acreage,1. ഏരിയ 2. ഏരിയ
acrocentric chromosome,അവസാന പോയിന്റ് ക്രോമസോം
acropetal,മുന്നോട്ട് നോക്കുന്ന
acrosome,അക്രോസോം
actinomycetes,ആക്റ്റിനോമൈസെറ്റുകൾ
active root zone,സജീവ കോർ
acute,1. ക്രോധം 2. തീവ്രം
adaptability,പൊരുത്തപ്പെടുത്തൽ
adaptation,ഇഷ്ടാനുസൃതമാക്കൽ
adhesion,1. അഡീഷൻ 2. അഡീഷൻ
adipose,സെബാസിയസ്
adjustment equation,ക്രമീകരിക്കൽ സമവാക്യം
adobe soil,അഡോബ് മണ്ണ്
adulterant,വ്യഭിചാരം
adventitious,എക്ടോപിക്
aecidiospore,ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം
aeolian process,എയറോഡൈനാമിക് പ്രക്രിയ
aeolian,വെൻട്രൽ
aerate,വായുസഞ്ചാരത്തിനായി
aerial,1. വായു 2. ആകാശി
