Malayalam,Marathi
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,A B वर्ग अॅम्प्लीफायर
അപഭ്രംശം,विकृती
അസാധാരണമായ സംക്രമണം,असामान्य प्रसार
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
സ്പെക്ട്രം കാണുന്നില്ല,गहाळ स्पेक्ट्रम
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
കേവല ഈർപ്പം,परिपूर्ण आर्द्रता
കേവല വേഗത,परिपूर्ण गती
സമ്പൂർണ നിരീക്ഷണം,परिपूर्ण निरीक्षण
കേവല താപനില,परिपूर्ण तापमान
കേവല പൂജ്യം,पूर्ण शून्य
ആഗിരണം ചെയ്യുക,शोषून घेणे
"ആഗിരണം, ആഗിരണം","शोषक, शोषक"
ആഗിരണം ശേഷി,शोषण क्षमता
ആഗിരണം,शोषण
ആഗിരണം ചെയ്യാവുന്ന,शोषक
ആഗിരണം,शोषकता
ഗുണിത അനുപാതം,गुणोत्तर गुणोत्तर
ത്വരിതപ്പെടുത്തുക,गती वाढवणे
തിടുക്കപ്പെട്ടു,घाई केली
ത്വരണം,प्रवेग
ഗുരുത്വാകർഷണ ത്വരണം,गुरुत्वाकर्षणाचा प्रवेग
ആക്സിലറേറ്റർ,प्रवेगक
ആക്സിലറേറ്റർ,प्रवेगक
ആക്സിലറോമീറ്റർ,प्रवेगमापक
പ്രിസ്ട്രെസർ,prestresser
സ്വീകാര്യമായ പരിശോധന,स्वीकार्य चाचणी
സ്വീകർത്താവ്,स्वीकारणारा
ദാതാവിന്റെ തന്മാത്ര,दाता रेणू
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
പ്രവേശനക്ഷമത,प्रवेशयोग्यता
"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
പ്രവേശന സമയം,प्रवेश वेळ
സന്ദർശക പിശക്,अभ्यागत त्रुटी
ക്രമീകരിക്കൽ,समायोजन
കുമിഞ്ഞുകൂടി,जमा
"ശേഖരണം, ശേഖരണം","जमा करणे, जमा करणे"
ശേഖരണം,संचयक
കൃത്യത,अचूकता
റിയാലിറ്റി,वास्तव
അക്രോമാറ്റിക് ലെൻസ്,अॅक्रोमॅटिक लेन्स
അക്രോമാറ്റിക്,अक्रोमॅटिक
അക്രോമാറ്റിറ്റി,अक्रोमॅटिकता
അക്കോസ്റ്റിക്,ध्वनिक
ശബ്ദപ്രതിരോധം,ध्वनीरोधक
അക്കോസ്റ്റിക് ഫോണോൺ,ध्वनिक फोनन
ശബ്ദ യൂണിറ്റ്,ध्वनी युनिट
അക്കോസ്റ്റിക്,ध्वनिक
ശബ്ദ ജനറേറ്റർ,ध्वनी जनरेटर
പ്രവർത്തനവും പ്രതികരണവും,क्रिया आणि प्रतिक्रिया
സജീവമാക്കൽ,सक्रियकरण
സജീവമാക്കൽ ഊർജ്ജം,सक्रियता ऊर्जा
"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ","सक्रिय करणारा, सक्रिय करणारा"
സജീവമാണ്,सक्रिय
ആക്ടിവിസം,सक्रियता
യഥാർത്ഥ സമ്മർദ്ദം,वास्तविक ताण
മന്ത്രിക്കുന്നു,कुजबुजणे
സംഗ്രഹിക്കാനായി,बेरीज करणे
