Kannada,Hindi
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,ए बी वर्ग प्रवर्धक
ವಿಪಥನ,"विपथन, अपेरण"
ಅಸಹಜ ಪ್ರಸರಣ,असामान्य संचरण
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,लुप्त स्पेक्ट्रम
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","निरपेक्ष, परम, अचर, परिशुद्ध"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,निरपेक्ष आर्द्रता
ಸಂಪೂರ್ಣ ವೇಗ,निरपेक्ष गति
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,निरपेक्ष प्रेक्षण
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,परम ताप
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,परम शून्य
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,अवशोषण करना
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","अवशोषक, अवशोषी"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,अवशोषण सामर्थ्य
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,अवशोषणांश
ಹೀರಿಕೊಳ್ಳುವ,अवशोषी
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,अवशोषकता
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,बाहुल्य अनुपात
ವೇಗವನ್ನು,त्वरित करना
ಆತುರಪಟ್ಟರು,त्वरित
ವೇಗವರ್ಧನೆ,त्वरण
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,गुरुत्व त्वरण
ವೇಗವರ್ಧಕ,त्वरक
ವೇಗವರ್ಧಕ,"त्वरित्र, त्वरक"
ವೇಗವರ್ಧಕ,त्वरणमापी
ಪ್ರಿಸ್ಟ್ರೆಸರ್,प्राक्प्रबलक
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,स्वीकारी परीक्षण
ಸ್ವೀಕರಿಸುವವರು,"ग्राही, स्वीकारी"
ದಾನಿ ಅಣು,आदाता अणु
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","अभिगम, प्रतीक्षा, अभिगम्यता"
ಪ್ರವೇಶಿಸುವಿಕೆ,अभिगम्यता
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
ಪ್ರವೇಶ ಸಮಯ,अभिगम काल
ಸಂದರ್ಶಕರ ದೋಷ,आगन्तुक त्रुटि
ಹೊಂದಾಣಿಕೆ,समंजन
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,संचित
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","संचय, संचयन"
ಸಂಚಯಕ,संचायक
ನಿಖರತೆ,यथार्थता
ರಿಯಾಲಿಟಿ,यथार्थ
ವರ್ಣರಹಿತ ಮಸೂರ,अवर्णक लेन्स
ವರ್ಣರಹಿತ,अवर्णक
ವರ್ಣರಹಿತತೆ,अवर्णकता
ಅಕೌಸ್ಟಿಕ್,ध्वानिक
ಧ್ವನಿ ನಿರೋಧಕ,ध्वनिरुद्ध
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,ध्वानिक फ़ओनॉन
ಧ್ವನಿ ಘಟಕ,ध्वनि-मात्रक
ಅಕೌಸ್ಟಿಕ್,ध्वानिक
ಧ್ವನಿ ಜನರೇಟರ್,ध्वनि जनित्र
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया और प्रतिक्रिया
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,सक्रियण
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,सक्रियण उर्जा
"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್","सक्रियकारक, सक्रियक"
ಸಕ್ರಿಯ,सक्रिय
ಕ್ರಿಯಾಶೀಲತೆ,सक्रियता
ನಿಜವಾದ ಒತ್ತಡ,वास्तविक प्रतिबल
ಗುಸುಗುಸು,क्षिप्र उद्भासन
ಒಟ್ಟುಗೂಡಿಸಲು,"योग करना, जोड़ना"
"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
ಸಂಯೋಜಕ,"योज्य, योगात्मक"
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,आसंजन
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,आसंजी ऊर्जा
ಅಡಿಯಾಬಟ್,ऐडियाबैट
ಅಡಿಯಾಬಾಟಿಕ್,रुद्धोष्म
ಶಾಖ ನಿರೋಧಕ,उष्मा-अपार्य
ಬಾಂಧವ್ಯ,संलग्न
ಹೊಂದಾಣಿಕೆ,समायोज्य
ನುಗ್ಗುವಿಕೆ,प्रवेश्यता
ಹೊರಹೀರುವಿಕೆ,अधिशोषण
ಮುಂದೆ,अग्रगत
ಪ್ರಗತಿಪರ,प्रगामी
"ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)","आकाशी, वायव (वि.), एरियल (सं.)"
ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್,ऐन्टेना धारा
ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ,आकाशी सर्वेक्षण
ಗಾಳಿಯ ವೇಗ,वायव वेग
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ,वायुगतिक गुणांक
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ,वायुगतिक
ವಾಯುಬಲವಿಜ್ಞಾನ,वायुगतिकी
ಏರೋನಾಟಿಕಲ್,वैमानिक
ಏರೋನಾಟಿಕ್ಸ್,वैमानिकी
ಗಾಳಿಯ ನಾಡಿ,वायुस्पंद
"ವಾತಾವರಣ, ಅನಿಲಗೋಳ","वातमंडल, गैसमंडल"
ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ,अफोकसी तंत्र
ಹಿಂಭಾಗದ ದಹನ,पश्च ज्वलन
ಹಿಂಬದಿ ಬೆಳಕು,पश्च दीप्ति
ಕನ್ಕ್ಯುಶನ್,उत्तरघात
"ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ","वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना"
ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ,कालप्रभावित
"ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ","कालप्रभावन, जरण"
ಸಮಯದ ಪರಿಣಾಮ,कालप्रभावन
ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,कालप्रभावन परीक्षण
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ,गुरुत्वहीन
ಸಮನ್ವಯ,संधान
"ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್","वायुवाहित रेडार, हवाई रेडार"
"ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ","वायुवर्ती लक्ष्य, हवाई लक्ष्य"
ವಾಯು ಉಸಿರಾಟಕಾರಕ,"वायुश्वासी, वायुश्वसित्र"
ಹವಾನಿಯಂತ್ರಣ,वातानुकूलन
ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್,वायुक्रोडी ट्रांसफार्मर
ವಿಮಾನ,वायुयान
ಜೋಡಣೆ,संरेखण
ಜೋಡಣೆ ದೋಷ,सरेखण त्रुटि
ಲೈವ್ ಸರ್ಕ್ಯೂಟ್,सजीव परिपथ
ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ,संपूर्ण कांच नलिका
ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ,संपूर्ण धातुनलिका
ಸರಿಪಡಿಸಲು,नियत करना
"ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)","मिश्रातु (सं.), मिश्रात्वन (क्रि.)"
ಮಿಶ್ರತ್ವಾನ್,मिश्रात्वन
ಸರ್ವತ್ರ ಮಾಧ್ಯಮ,सर्वव्यापी माध्यम
ಓಮ್ನಿ ಆಂಟೆನಾ,सर्वतरंग ऐन्टेना
ಪಂಚಾಂಗ,पंचांग
ಆಲ್ಫಾ,ऐल्फा
ಆಲ್ಫಾ ಚಟುವಟಿಕೆ,ऐल्फा-सक्रियता
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,अक्षरांकीय
ಆಲ್ಫಾ ಕಿರಣ,ऐल्फा किरण
ಬದಲಾವಣೆ,परिवर्तन
"ಪರ್ಯಾಯ, ಪರ್ಯಾಯ","एकांतर, प्रत्यावर्ती"
ಆವರ್ತಕ,प्रत्यावर्तित्र
ಅಲ್ಟಿಮೀಟರ್,तुंगतालेखी
ಅಲ್ಟಿಮೀಟರ್,तुंगतामापी
ಆಲ್ಟೈಮೆಟ್ರಿ,तुंगतामापिकी
"ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ","तुंगता, उंचाई, उन्नतांश, शीर्षलम्ब"
ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU),अंकगणित तर्क एकक (ए एल यू)
ಅಮೇಟ್ ನಿಯಮ,एमागेट नियम
ಪರಿಸರ,परिवेश
ಅಮಿಕ್ರಾನ್,एमाइक्रोन
ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ,ऐमीटर
ಆಂಪಿಯರ್,ऐम्पियर
ಆಂಪಿಯರ್-ಕಾನೂನು,ऐम्पियर-नियम
ಉಭಯಚರ ಅಯಾನು,उभयावेशी आयन
ವರ್ಧನೆ,प्रवर्धन
ಆಂಪ್ಲಿಫಯರ್,प्रवर्धक
"ಕೋನ, ಆಯಾಮ","कोणांक, आयाम"
ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),ए. एम. यू. (परमाणु संहति मात्रक)
ಹೊಂದಬಲ್ಲ,अनुरूप
ಸಾದೃಶ್ಯ,सादृश्य
ವಿಶ್ಲೇಷಕ,विश्लेषक
ವಿಶ್ಲೇಷಣೆ,विश्लेषण
ವಿಶ್ಲೇಷಣಾತ್ಮಕ,विश्लेषीय
ಪಾಯಿಂಟ್ ಅಲ್ಲದ,अन-अबिन्दुक
ಅಸಂಗತ,अन-अबिंदुकता
ಮತ್ತು ಬಾಗಿಲು,तथा द्वार
ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ,अप्रतिध्वनिक
ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,विषम प्रत्यास्थता
ಜಲರಹಿತ,निर्द्रव
ಕೋನ,कोण
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,ऐंग्स्ट्रम मात्रक
ಕೋನೀಯ,कोणीय
ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್,कोणमापी वर्नियर
ವಿವಾದಾತೀತ,अप्रसंवादी
ಗೌರವವಿಲ್ಲದ,अप्रसवादिता
ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ,अशैथिल्य चुंबकन
ಆಲಸ್ಯ,अशिथिलित
ಅಯಾನ್,ऋणायन
ಅಸಮ್ಮಿತ,असमविम
ಐಸೊಟ್ರೊಪಿಕ್,विषमदैशिक
ಐಸೊಟ್ರೋಪಿಸಮ್,विषमदैशिकता
ಅಳಿಸುವಿಕೆ,विलोपन
ನಿರೂಪಕ,आख्यापित्र
ಆನೋಡ್,ऐनोड
ಆನೋಡೈಸೇಶನ್,ऐनोडीकरण
ಅಸಮಂಜಸ,अंसगत
ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್,प्रकाशयंत्रहीन तंत्र
ಆಂಟೆನಾ,ऐन्टेना
ಆಂಟಿಬೆರಿಯನ್,ऐन्टिबेरियॉन
ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ,बंधन विरोधी गुणधर्म
ಕೌಂಟರ್ ಬಾಂಡ್,प्रति-आबंधन
ಹಿಮ್ಮುಖ ಶಕ್ತಿ,प्रतिलोह विद्युत
ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್,प्रतिलोहचुंबकीय
ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು,प्रतिलोहचुबकीय पदार्थ
ವಿರೋಧಿ ಉರಿಯೂತ,प्रतिकूहाकारक
ಗುರುತ್ವ ವಿರೋಧಿ,प्रतिगुरुत्व
antilamda ಕಣ,प्रतिलेम्डा कण
ಅಲೆಲೆಪ್ಟನ್,ऐल्टीलेप्टॉन
ಕಾಂತೀಯ,प्रतिचुंबकीय
ಆಂಟಿಮಾಟರ್,ऐन्टिद्रव्य
ವಿರೋಧಿ ಕ್ಷಿಪಣಿ,मिसाइल विरोधी
ಆಂಟಿನ್ಯೂಟ್ರಾನ್,ऐन्टिन्यूट्रॉन
ಮಿಡಿಯುತ್ತಿದೆ,प्रस्पंद
ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್,प्रतिन्यूक्लिऑन
ಪ್ರತಿಕಣ,प्रतिकण
ಆಂಟಿಪ್ರೋಟಾನ್,प्रतिप्रोटॉन
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ,परावर्तनरोधी
ಆಂಟಿಸಮ್ಮಿತೀಯ,प्रतिसममित
ಮರುಕಳಿಸುವುದಿಲ್ಲ,अनावर्ती
ಅನಾಕ್ರೊನಿಸಮ್,अनावर्तिता
ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್,छिद्रित क्रमवीक्षण डिस्क
ದ್ವಾರಕ್,द्वारक
"ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ","शीर्ष, शिखर, अग्रक"
"ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್","सूर्योच्च, रवि उच्च, अपसौर"
ನಿರಾಸಕ್ತಿ ಲೇಸ್,अविपथी लेस
