Odiya,English
ଏସିଡଏଡ୍ |,Acidoid
ଆଓଲିୟାନ୍ ମାଟି |,Aeolian soil
ସମୁଦାୟ,Aggregate
ଏକୀକରଣ,Aggregation
ଏଗ୍ରୋଲୋଜି,Agrology
କୃଷି,Agronomy
ଏକ ରାଶି,A-horizon
ଆଓ-ରାଶି,Ao-horizon 
ଆଓ-ରାଶି |,Aoo-horizon
ମାଟିର ବାୟୁ କ୍ଷମତା |,Air capacity of soil
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,Air content of soil
ବାୟୁ ପିକନୋମିଟର |,Air picnometer
ଆଲିଟିକ୍ ମାଟି |,Allitic soil
ଆଲୁଭିଆଲ୍ ମାଟି |,Alluvial soil
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,Ampholytoid
ଆନିଅନ୍ |,Anion
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
ଆରିସ୍,Arris
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,Ashlar fine masonry
ଆଶଲାର୍ ରାଜକନିକା |,Ashlar masonry
ଆଜୋନାଲ ମାଟି |,Azonal soil
ପଛ ଆକ୍ଟର୍ |,Back acter 
ପଛ ଆର୍କ,Back arch
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,Back band
ପଛ ବ୍ରଶ୍ |,Back brush
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,Back check
ପଛ କାଉଣ୍ଟର |,Back counter
ପଛ କାଟିବା |,Back cutting
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,Back draft damper
ପଛ ଡ୍ରେନ୍ |,Back drain
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,Back drop
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,Back fill
ପଛ ଫିଲେଟ୍ |,Back fillet
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,Back flap hinge
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,Back flow connection
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,Back flow preventer
ବ୍ୟାକ୍ ଗେଜ୍ |,Back gauge 
ପଛ ଗୁଟର୍ |,Back gutter 
ପଛ ଚୁଲି,Back hearth
ସମର୍ଥନ,Backing
ବ୍ୟାକିଂ ବୋର୍ଡ |,Backing board
ପଛ ଚାପ |,Back pressure
ପଛ ପ୍ରପ,Back prop
ପଛ ଦୃଶ୍ୟ |,Back sight 
ପଛ ପାଣି |,Back water
ବାଫଲ୍ |,Baffle
ବ୍ୟାଗୱାର୍କ |,Bagwork 
ବାଲାଷ୍ଟ,Ballast
ବଲ୍ ମାଟି |,Ball clay
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,Ball cone clamp
କଣ୍ଟା ତାର,Barbed wire
ବାର୍ କୁକୁର |,Bar dog
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,Barge board
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,Barium sulphate test
ବ୍ୟାରେଜ୍,Barrage
ବାରେଟ୍ |,Barrett
ଆଧାର,Base
ଆଧାର ବିନିମୟ |,Base exchange
ଆଧାର ରେଖା |,Base line 
ବେସମେଣ୍ଟ୍ |,Basement
ବେସମେଣ୍ଟ କାନ୍ଥ |,Basement wall
ବେସ୍ ପ୍ଲେଟ୍ |,Base plate
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","Base plate, adjustable"
ମୂଳ ପରିପୃଷ୍ଠା |,Base saturation
ବାସୋଏଡ୍ |,Basoid
ବ୍ୟାଟ୍,Bat
ସ୍ନାନ ଏବଂ WC,Bath and W.C.
ବାଟା ପେଗ୍ |,Batter peg
ବାଟା ପାଇର୍ |,Batter pier
ବ୍ୟାଟର ନିୟମ |,Batter rule
ବାଲ୍କ (ବାଲ୍କ),Baulk (balk)
ବାଇ,Bay
ଧାରକ,Bearer
ବହନ କରିବାର କ୍ଷମତା |,Bearing capacity
ଗଦା ବହନ କରିବା |,Bearing pile
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,Bearing stratum
ଶଯ୍ୟା,Bed
ବିଛଣା ବିମାନ |,Bedding plane
ଶଯ୍ୟା ଗଣ୍ଠି |,Bed joint
ବେଡ୍ ପଥର |,Bed rock
ବେଡ୍ ରୁମ୍ |,Bed room
ମହୁମାଛି,Beeswax
ବେଲ୍ ବାକ୍ସ |,Bell box
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,Belling bucket
ବେଲୋଫ୍ରାମ୍ |,Bellofram
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,Benched foundation
ବେଞ୍ଚିଂ,Benching
ବେଞ୍ଚ ମାର୍କ |,Bench mark
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,Benefit cost analysis
ବରମ,Berm
ବେଭେଲଡ୍ ବନ୍ଦ |,Bevelled closure
"ବି-ରାଶି, &quot;B-","B-horizon,""B-"
ବିଟ୍ |,Biat
ବାଇଣ୍ଡର୍ |,Binder
ବାନ୍ଧିବା ସାମଗ୍ରୀ |,Binding material
ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |,Biot's theory
ବିଟୁମେନ |,Bitumen
କଳା ସୂତା ମାଟି |,Black cotton soil
କଳା ପୃଥିବୀ |,Black earth 
କଳା ଟର୍ଫ ମାଟି |,Black turf soil
ବ୍ଲେଡ୍ |,Blade
ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |,Blast furnace slag cement
ଅବରୋଧ ସଂରଚନା |,Blocky structure
ବଗି ପ୍ରତିରୋଧ |,Bogie resistance
ବଗ୍-ଲୁହାପଥର |,Bog-iron ore
ବନ୍ଧ,Bond
ବନ୍ଧିତ ସଦସ୍ୟ |,Bonded member
ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |,Bonded post tensioning
ବନ୍ଧ ପଥର |,Bond stone
ସୀମା ଜଳ |,Bound water
ବାକ୍ସ ଗୁଟର୍ |,Box gutter
