Tamil,Punjabi
ஏசி சமமான சுற்று,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
எண் மாற்றிக்கு ஒப்புமை,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
முழுமையான பூஜ்ஜியம்,ਪੂਰਨ ਜ਼ੀਰੋ
உறிஞ்சுதல் குணகம்,ਸਮਾਈ ਗੁਣਾਂਕ
உறிஞ்சுதல் நிறமாலை,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
ஏற்பி அணு,ਰੀਸੈਪਟਰ ਐਟਮ
மாற்று மின்னோட்ட இணைப்பு,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
எலக்ட்ரான் அறுவடை,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
துளை சேமிப்பு,ਮੋਰੀ ਸਟੋਰੇਜ਼
செயல்படுத்தும் ஆற்றல்,ਸਰਗਰਮੀ ਊਰਜਾ
செயலில் பெருக்கி,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
செயலில் உள்ள டையோடு சுற்று,ਸਰਗਰਮ diode ਸਰਕਟ
செயலில் வடிகட்டி,ਸਰਗਰਮ ਫਿਲਟਰ
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
செயலில் சுமை,ਸਰਗਰਮ ਲੋਡ
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
செயலில் உள்ள பகுதி,ਸਰਗਰਮ ਖੇਤਰ
தகவமைப்பு மின்னணுவியல்,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
சேர்ப்பான்,ਜੋੜਨ ਵਾਲਾ
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
ஊடுருவல்,ਪ੍ਰਵੇਸ਼
ஏரியல்,ਏਰੀਅਲ
பெப் அதிர்வெண்,pep ਬਾਰੰਬਾਰਤਾ
காற்றுச்சீரமைப்பி,ੲੇ. ਸੀ
சீரமைப்பு,ਅਲਾਈਨਮੈਂਟ
அல்காரிதம்,ਐਲਗੋਰਿਦਮ
அனைத்து பாஸ் வடிகட்டி,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
அலாய் சந்திப்பு,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
தணிவு,ਧਿਆਨ
மாறுதிசை மின்னோட்டம்,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
சுற்றுப்புற வெப்பநிலை,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
இருமுனை,ਬਾਈਪੋਲਰ
பெருக்கம்,ਵਾਧਾ
பெருக்கி,ਐਂਪਲੀਫਾਇਰ
பெருக்கி செயல்திறன்,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
பரிமாணங்கள்,ਮਾਪ
வீச்சு குறைதல்,ਐਪਲੀਟਿਊਡ attenuation
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
வீச்சு பண்பேற்றம்,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ
வீச்சு மாடுலேட்டர்,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ
angstrom அலகு,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
அனலாக் சுற்று,ਐਨਾਲਾਗ ਸਰਕਟ
அனலாக் கணினி,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
அனலாக் வடிகட்டி,ਐਨਾਲਾਗ ਫਿਲਟਰ
அனலாக் மல்டிமீட்டர்,ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ
அனலாக் சுவிட்ச்,ਐਨਾਲਾਗ ਸਵਿੱਚ
மற்றும் வாயில்,ਅਤੇ ਗੇਟ
கோண அதிர்வெண்,ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ
"அயனி, அயனி","anion, anion"
அனீலிங் வெப்பநிலை,ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ
நேர்மின்முனை,ਐਨੋਡ
அனோட் பெருக்கி,ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ
அனோடைன்,anodyne
ஆண்டெனா,ਐਂਟੀਨਾ
ஆண்டெனா கூறு,ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ
ஆன்டிலோகின் பெருக்கி,ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ
எதிரொலி சுற்று,antiresonant ਸਰਕਟ
துவாரகர் காலம்,ਦੁਆਰਕ ਕਾਲ
மெய்நிகர் சக்தி,ਵਰਚੁਅਲ ਪਾਵਰ
கம்பி இணைப்பு,ਤਾਰ ਕੁਨੈਕਸ਼ਨ
தோராயமான மின்னழுத்த ஆதாயம்,ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,armstrong modulator
