Punjabi,Assamese
abacus,abacus
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,অস্বাভাৱিক সমাপ্তি
ਅਧੂਰਾ ਛੱਡੋ,abort
ਅਸੀਮ,নিৰপেক্ষ
ਪੂਰਾ ਪਤਾ,নিৰপেক্ষ ঠিকনা
ਪੂਰਨ ਸੰਬੋਧਨ,নিৰপেক্ষ সম্বোধন
ਪੂਰਨ ਅਸੈਂਬਲਰ,নিৰপেক্ষ এছেম্বলাৰ
ਪੂਰਨ ਕੋਡ,নিৰপেক্ষ ক&#39;ড
ਪੂਰਨ ਹੁਕਮ,নিৰপেক্ষ আদেশ
ਪੂਰਨ ਡਾਟਾ,নিৰপেক্ষ তথ্য
ਪੂਰਨ ਹਿਦਾਇਤ,নিৰপেক্ষ নিৰ্দেশনা
ਪੂਰਨ ਮੋਡ,নিৰপেক্ষ ধৰণ
ਪੂਰਨ ਮਾਰਗ,নিৰপেক্ষ পথ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,নিৰপেক্ষ প্ৰগ্ৰেমিং
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,বিমূৰ্ত শ্ৰেণী
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,বিমূৰ্ত তথ্যৰ ধৰণ
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,বিমূৰ্ত মেচিন
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,বিমূৰ্ত চিহ্ন
ਸੰਖੇਪ ਸੰਟੈਕਸ,বিমূৰ্ত বাক্যবিন্যাস
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,গ্ৰহণযোগ্যতা পৰীক্ষা
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,প্ৰৱেশ প্ৰমাণীকৰণ
ਐਕਸੈਸ ਕੋਡ,প্ৰৱেশ ক&#39;ড
ਪਹੁੰਚ ਕੰਟਰੋਲ,প্ৰৱেশ নিয়ন্ত্ৰণ
ਐਕਸੈਸ ਸਕੈਨ,এক্সেছ স্কেন
ਸਹਾਇਕ,আনুষংগিক বস্তু
ਖਾਤਾ,একাউণ্ট
ਖਾਤਾ ID,একাউণ্ট আইডি
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,এক্যুলেটৰ
ਸ਼ੁੱਧਤਾ,শুদ্ধতা
ਪਹੁੰਚ,acess
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
ਐਕਸੈਸ ਇੰਡੈਕਸ,acess index
ਪਹੁੰਚ ਕੁੰਜੀ,acess key
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,acess মেট্ৰিক্স
ਪਹੁੰਚ ਮੋਡ,প্ৰৱেশ ধৰণ
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,acess বিশেষাধিকাৰ
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,acess security
ਪਹੁੰਚ ਸਰਵਰ,এচেছ চাৰ্ভাৰ
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,acess সময়
ਮਾਨਤਾ,স্বীকৃতি
ਧੁਨੀ ਵਿਗਿਆਨ,শব্দবিজ্ঞান
ਸੰਖੇਪ ਸ਼ਬਦ,সংক্ষিপ্ত ৰূপ
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,কাৰ্য্য বাৰ্তা
ਸਰਗਰਮੀ,সক্ৰিয়কৰণ
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
