Kannada,Odiya
ಆಂಪಿಯರ್ (ಘಟಕ),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
ಆಂಗ್ಸ್ಟ್ರಮ್,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,ଏକ ରେଡିଓ ସାହା |
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
a-ದರ್ಶ್,a-darsh
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
ಬೆಳಗ್ಗೆ,ମୁଁ
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),AMU (ପରମାଣୁ ମାସ ଏକକ)
aard-vark*,aard-vark *
ಅಬ್-ಆಂಪಿಯರ್,ab-ampere
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ಅದಾ,ଆଦା
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,A-B ଶକ୍ତି ପିଟାକା |
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
ಅಬೆ ವಕ್ರೀಕಾರಕ,abe refractometer
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,ଆବେ ସାଇନ ଅବସ୍ଥା |
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
abcoulom,abcoulom
"ವಿಪಥನ, ವಿಪಥನ","ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
ಆಕಾಶ ವಿಪಥನ,ଆକାଶ ଅବକ୍ଷୟ |
abfarad,abfarad
ಎಬೆನ್ರಿ,ଏବେନେରୀ |
ಎಬೊನಿ ಎಫೆಕ್ಟ್,ଇବୋନି ପ୍ରଭାବ |
ಅಸಹಜ ಧ್ರುವೀಕರಣ,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
ಅಸಹಜ ಪ್ರಸರಣ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
ಅಸಹಜ ವಕ್ರೀಭವನ*,ଅସ୍ୱାଭାବିକ ପ୍ରତିକ୍ରିୟା *
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,ପରମାନନ୍ଦ ପ୍ରତିରୋଧ |
ab-om,ab-om
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ","ଅଗ୍ରାଧିକାର, ବିଫଳତା |"
"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ","ସଂଲଗ୍ନ, ସାଧାରଣତ, ଠିଆ, ବିଚ୍ଛିନ୍ନ, ଖଣ୍ଡବିଖଣ୍ଡିତ |"
ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು,ବାରମ୍ବାର ଡେଇଁପଡେ |
ಕೈ*,ହାତ *
ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ,ହଜିଯାଇଥିବା ପ୍ରତିଫଳନ |
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ,ସଂପୂର୍ଣ୍ଣ ତ୍ୱରଣ
ಸಂಪೂರ್ಣ ವಾಸ್ತವ,ସଂପୂର୍ଣ୍ଣ ବାସ୍ତବତା |
ಸಂಪೂರ್ಣ ವಿಳಾಸ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್,ଜିଓ-ଆପେକ୍ଷିକ ଉଚ୍ଚତା |
ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ,ଭ ge ଗୋଳିକ ଉଚ୍ଚତା |
ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್,ସଂପୂର୍ଣ୍ଣ ଆମ୍ପେର୍ |
ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು,ସଂପୂର୍ଣ୍ଣ ଫୁଟିବା ବିନ୍ଦୁ |
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ,ସଂପୂର୍ଣ୍ଣ ଉଜ୍ଜ୍ୱଳତା |
ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ,ସଂପୂର୍ଣ୍ଣ କ୍ଷମତା
ಸಂಪೂರ್ಣ ಎತ್ತರ,ସଂପୂର୍ଣ୍ଣ ଉଚ୍ଚତା |
ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ,ସଂପୂର୍ଣ୍ଣ ପିଗମେଣ୍ଟ |
"ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ","ସଂପୂର୍ଣ୍ଣ ବିନ୍ୟାସ, ଅସ୍ପଷ୍ଟ ବିନ୍ୟାସ |"
ಸಂಪೂರ್ಣ ಕೂಲಂಬ್,ସଂପୂର୍ଣ୍ଣ କୁଲମ୍ବ |
ಸಂಪೂರ್ಣ ಕತ್ತಲೆ,ସମ୍ପୂର୍ଣ୍ଣ ଅନ୍ଧକାର |
ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ,ସଂପୂର୍ଣ୍ଣ କାର୍ଯ୍ୟସୂଚୀ
ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*,ସଂପୂର୍ଣ୍ଣ ଘନତା *
ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ,ସଂପୂର୍ଣ୍ଣ ଜଳ ନିଷ୍କାସନ |
ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ),ସଂପୂର୍ଣ୍ଣ EMU | (ବ elect ଦ୍ୟୁତିକ ଚୁମ୍ବକୀୟ ଏକକ)
ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ),ସଂପୂର୍ଣ୍ଣ ESU | (ଷ୍ଟାଟିକ୍ ୟୁନିଟ୍)
ಸಂಪೂರ್ಣ ದಕ್ಷತೆ,ସଂପୂର୍ଣ୍ଣ ଦକ୍ଷତା |
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋମିଟର |
ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ,ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି ସଂପୂର୍ଣ୍ଣ ଫ୍ରିକ୍ୱେନ୍ସି |
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
ಸಂಪೂರ್ಣ ಘಟನೆ,ସଂପୂର୍ଣ୍ଣ ଘଟଣା
ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ,ସଂପୂର୍ଣ୍ଣ ପ୍ରତୀକାତ୍ମକ ସୂଚକାଙ୍କ |
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,ସଂପୂର୍ଣ୍ଣ ଅସ୍ଥିରତା |
"ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ","ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା, ସଂପୂର୍ଣ୍ଣ ତୀବ୍ରତା |"
ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ,ଆଥେନିଆର ସଂପୂର୍ଣ୍ଣ ସୀମା |
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್,ସଂପୂର୍ଣ୍ଣ ଆଲୋକୀକରଣ ସିଲ୍ |
ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್,ସଂପୂର୍ଣ୍ଣ ଆଲୋକ ବକ୍ର
ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ,ସଂପୂର୍ଣ୍ଣ ପରିମାଣ
ಸಂಪೂರ್ಣ ಮಾಪಕ,ସଂପୂର୍ଣ୍ଣ ବାରୋମିଟର |
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
ಸಂಪೂರ್ಣ ವಿಪರೀತ,ସଂପୂର୍ଣ୍ଣ ଚରମ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
ಸಂಪೂರ್ಣ ಆವೇಗ,ସଂପୂର୍ଣ୍ଣ ଗତି
ಸಂಪೂರ್ಣ ವೇಗ,ସଂପୂର୍ଣ୍ଣ ଗତି
ಸಂಪೂರ್ಣ ಸಂಗೀತ,ସଂପୂର୍ଣ୍ଣ ସଂଗୀତ |
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
ಸಂಪೂರ್ಣ ಓಂ,ସଂପୂର୍ଣ୍ଣ ଓହମ୍ |
ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ,ସଂପୂର୍ଣ୍ଣ ଆଭିମୁଖ୍ୟ
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ,ସଂପୂର୍ଣ୍ଣ ଇଲେକ୍ଟ୍ରୋନେଗେଟିଭିଟି |
ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ,ସଂପୂର୍ଣ୍ଣ ମାଧ୍ୟାକର୍ଷଣ |
ಸಂಪೂರ್ಣ ಒತ್ತಡ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
ಸಂಪೂರ್ಣ ಆಸ್ತಿ,ସଂପୂର୍ଣ୍ଣ ସମ୍ପତ୍ତି |
ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್,ସଂପୂର୍ଣ୍ଣ ସ୍କାଲାର୍ |
ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*,ତାପମାତ୍ରାର ଚରମ ମାପ *
"ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ","ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି, ସଂପୂର୍ଣ୍ଣ ସିଙ୍କ୍ରୋନି |"
ಸಂಪೂರ್ಣ ಒತ್ತಡ,ସଂପୂର୍ଣ୍ଣ ଚାପ |
ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ,ସଂପୂର୍ଣ୍ଣ ସମୃଦ୍ଧତା |
ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ,ସଂପୂର୍ଣ୍ଣ ଗତି ଶରୀର |
ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ,ସଂପୂର୍ଣ୍ଣ ୟୁନିଟ୍ ସିଷ୍ଟମ୍ |
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
ಸಂಪೂರ್ಣ ಸಮಯ,ସଂପୂର୍ଣ୍ଣ ସମୟ |
ಸಂಪೂರ್ಣ ಘಟಕಗಳು,ସଂପୂର୍ଣ୍ଣ ଏକକ |
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ପୂର୍ଣ୍ଣ କାଲକୁଲେଟର
ಸಂಪೂರ್ಣ ವೇಗ,ସଂପୂର୍ଣ୍ଣ ବେଗ
ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ,ସଂପୂର୍ଣ୍ଣ ସାନ୍ଦ୍ରତା |
ಸಂಪೂರ್ಣ ತೂಕ,ସଂପୂର୍ଣ୍ଣ ଓଜନ |
ಸಂಪೂರ್ಣ ಶೂನ್ಯ*,ସଂପୂର୍ଣ୍ଣ ଶୂନ *
ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ,ଶୂନ୍ୟର ସଂପୂର୍ଣ୍ଣ ବିଭାଜନକାରୀ |
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,ଶୋଷଣ
ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*,ଅବସାଦ ସୂଚକାଙ୍କ *
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ,ଶୋଷିତ ଶକ୍ତି
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","ଶୋଷକ, ଶୋଷକ"
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*,ଅବଶୋଷକ ମାଧ୍ୟମ *
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ଅବଶୋଷଣ କ୍ଷମତା |
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ଅବସାଦ |
ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*,ଶୋଷଣକାରୀ *
ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*,ଶୋଷଣକାରୀ *
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ଅବଶୋଷଣ
ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*,ଅବଶୋଷଣ - ବ୍ୟାଣ୍ଡ *
ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್,ଅବଶୋଷଣ ସର୍କିଟ |
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,ଶୋଷଣ ଗୁଣବତ୍ତା
ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್,ଅବଶୋଷଣ ସ୍ତମ୍ଭ
ಹೀರುವಿಕೆ ಸ್ಥಿರ,ଅବଶୋଷଣ ସ୍ଥିର |
ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ,ଅବଶୋଷଣ କ୍ରମାଗତ |
ಹೀರಿಕೊಳ್ಳುವ ವಲಯ,ଅବଶୋଷଣ ଜୋନ୍ |
ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ,ଅବଶୋଷଣ କରେଣ୍ଟ |
ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*,ଅବଶୋଷଣ ବକ୍ର *
ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ,ଅବଶୋଷଣ ଭଙ୍ଗା |
ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್,ଅବଶୋଷଣ କୋର୍ |
ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ,ଅବଶୋଷଣ କାରକ |
ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್,ଅବଶୋଷଣ ଫିଲ୍ଟର୍ |
ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*,ଅବଶୋଷଣ ଫ୍ଲେମ୍ ଫୋଟୋମେଟ୍ରି *
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
ಹೀರಿಕೊಳ್ಳುವ ಘಾತ,ଅବଶୋଷଣ ପ୍ରଦର୍ଶକ |
ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ,ଶୋଷଣ ମାର୍ଜିନ
ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ,ଅବଶୋଷଣ ରେଖା |
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,ଅବଶୋଷଣ କ୍ଷତି |
ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್,ଅବଶୋଷଣ ମଡ୍ୟୁଲେସନ୍ |
ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ହାଲୁକା ଅବଶୋଷଣ |
ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ବିକିରଣ ଶକ୍ତିର ଅବଶୋଷଣ |
ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ,ଅବଶୋଷଣ ଶିଖର |
ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ,ଅବଶୋଷଣ ଫୋଟୋମେଟ୍ରି |
ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ,ଅବଶୋଷଣ ଅନୁପାତ |
ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*,ଅବଶୋଷଣ ପରିସର *
ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ ଫୋଟୋମେଟ୍ରି *
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ *
"ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ","ଅବଶୋଷଣ ଟ୍ୟୁବ୍, ଅବଶୋଷଣ ଟ୍ୟୁବ୍ |"
ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್,ଅବଶୋଷଣ ହାଇଗ୍ରୋମିଟର |
ಹೀರಿಕೊಳ್ಳುವ*,ଶୋଷଣକାରୀ *
ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ,ଶୋଷକ ବାଷ୍ପୀକରଣକାରୀ |
ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*,ଅବଶୋଷଣ ନିୟମ *
ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ,ଅବଶୋଷଣ ମାଧ୍ୟମ |
"ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*","ଅବଶୋଷଣ କ୍ଷମତା, ଅବଶୋଷଣ *"
ಹೀರಿಕೊಳ್ಳುವಿಕೆ*,ଅବସାଦ *
ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ,ଷ୍ଟୁଡିଓ ସାଜସଜ୍ଜା |
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,ବହୁଗୁଣ ଅନୁପାତ |
abvolt,abvolt
ಸುಮಾರು,ବିଷୟରେ
ವೇಗವನ್ನು,ତ୍ୱରାନ୍ୱିତ କର |
ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ,ତ୍ୱରଣ-ସ୍ଥଗିତ ଦୂରତା |
ಆತುರಪಟ್ಟರು,ଶୀଘ୍ର ଶୀଘ୍ର
ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ,ଶୀଘ୍ର ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା |
ತ್ವರಿತ ಹರಿವು,ଶୀଘ୍ର ପ୍ରବାହ
ತ್ವರಿತ ಗತಿ,ଦ୍ରୁତ ଗତି
ತ್ವರಿತ ದೇಹ,ଶୀଘ୍ର ଶରୀର
ವೇಗವರ್ಧಕ ತೂಕ,ତ୍ୱରଣକାରୀ ଓଜନ
ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*,ତ୍ୱରକ ଇଲେକ୍ଟ୍ରୋଡ୍ *
ವೇಗವರ್ಧಕ ಸಮಯ*,ତ୍ୱରକ ସମୟ *
ವೇಗವರ್ಧಕ ಹಂತ,ତ୍ୱରକ ପର୍ଯ୍ୟାୟ |
ವೇಗವರ್ಧಕ ದರ,ତ୍ୱରଣକାରୀ ହାର
ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*,ତ୍ୱରକ ଭୋଲଟେଜ୍ *
ವೇಗವರ್ಧನೆ,ତ୍ୱରଣ
ವೇಗವರ್ಧಿತ ದಹನ,ତ୍ୱରିତ ଜାଳେଣି |
ವೇಗವರ್ಧಕ ಗುಣಾಂಕ,ତ୍ୱରଣ ଗୁଣବତ୍ତା
ವೇಗವರ್ಧಕ ಘಟಕ,ତ୍ୱରଣ ଉପାଦାନ
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ವೇಗವರ್ಧಕ ಅಂಶ,ତ୍ୱରଣ କାରକ
ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್,ତ୍ୱରିତ ଚାର୍ଜ |
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
