Bengali,Telugu
গর্ভপাত,అబార్ట్
গর্ভপাত টাইমার,అబార్ట్ టైమర్
পরম ঠিকানা,సంపూర్ణ చిరునామా
পরম ঠিকানা,సంపూర్ణ చిరునామా
পরম এসেম্বলার,సంపూర్ణ సమీకరించేవాడు
পরম কোড,సంపూర్ణ కోడ్
পরম কোডিং,సంపూర్ణ కోడింగ్
পরম কমান্ড,సంపూర్ణ ఆదేశం
পরম সমন্বয়,సంపూర్ణ కోఆర్డినేట్
পরম ডেটা,సంపూర్ణ డేటా
পরম ত্রুটি,సంపూర్ణ లోపం
পরম অভিব্যক্তি,సంపూర్ణ వ్యక్తీకరణ
পরম নির্দেশ,సంపూర్ణ సూచన
পরম লোডার,సంపూర్ణ లోడర్
পরম আদেশ,సంపూర్ణ క్రమం
পরম প্রোগ্রামিং,సంపూర్ణ ప్రోగ్రామింగ్
পরম শব্দ,సంపూర్ణ పదం
পরম মান,సంపూర్ణ విలువ
পরম ভেক্টর,సంపూర్ణ వెక్టర్
বিমূর্ত,నైరూప్య
বিমূর্ত,సంగ్రహించడం
বিমূর্ত প্রতীক,నైరూప్య చిహ్నం
ত্বরণ সময়কাল,త్వరణం కాలం
ত্বরণের সময়,త్వరణం సమయం
অ্যাকসেন্ট,యాస
স্বীকৃতি পরীক্ষা,అంగీకార పరీక్ష
অ্যাক্সেস,యాక్సెస్
অ্যাক্সেস আর্ম,యాక్సెస్ ఆర్మ్
অ্যাক্সেস ব্যবস্থা,యాక్సెస్ అమరిక
অ্যাক্সেস কর্তৃপক্ষ,యాక్సెస్ అథారిటీ
অ্যাক্সেস চার্জ,యాక్సెస్ ఛార్జ్
অ্যাক্সেস ক্লাস,యాక్సెస్ క్లాస్
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
অ্যাক্সেস পরিবেশ,యాక్సెస్ ఎన్విరాన్మెంట్
অ্যাক্সেস ফাঁক,యాక్సెస్ గ్యాప్
অ্যাক্সেস সূচক,ప్రాప్యత సూచిక
অ্যাক্সেস লাইন,యాక్సెస్ లైన్
অ্যাক্সেস প্রক্রিয়া,యాక్సెస్ మెకానిజం
অ্যাক্সেস পদ্ধতি,యాక్సెస్ పద్ధతి
অ্যাক্সেস পদ্ধতির রুটিন,యాక్సెస్ పద్ధతి దినచర్య
অ্যাক্সেস মোড,యాక్సెస్ మోడ్
এক্সেস অধিকার,హక్కును యాక్సెస్ చేయండి
অ্যাক্সেস স্ক্যান,యాక్సెస్ స్కాన్
প্রবেশাধিকার সময়,ప్రాప్యత సమయం
অ্যাকাউন্টিং,అకౌంటింగ్
অ্যাকাউন্টিং ফিনান্স সিস্টেম,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
অ্যাকাউন্টিং মেশিন,అకౌంటింగ్ మెషిన్
হিসাব নাম্বার,ఖాతా సంఖ్య
প্রজননকারী জমে,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
জমে,సంచితం
সংগ্রহকারী রেজিস্টার,సంచిత రిజిస్టర్
সংগ্রহকারী শিফট নির্দেশনা,సంచిత షిఫ్ట్ సూచన
সঠিকতা,ఖచ్చితత్వం
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,ఖచ్చితత్వ నియంత్రణ పాత్ర
