Hindi,Malayalam
ए.सी. समतुल्य परिपथ,എ.സി തുല്യമായ സർക്യൂട്ട്
अनुरूप से अंकीय परिवर्तक,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
परम शून्य,കേവല പൂജ്യം
अवशोषण गुणांक,ആഗിരണം ഗുണകം
अवशोषण स्पेक्ट्रम,ആഗിരണം സ്പെക്ട്രം
ग्राही परमाणु,റിസപ്റ്റർ ആറ്റം
प्रत्यावर्ती धारा युग्मन,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
इलेक्ट्रॉन संचयन,ഇലക്ട്രോൺ വിളവെടുപ്പ്
होल संचयन,ദ്വാര സംഭരണം
सक्रियण ऊर्जा,സജീവമാക്കൽ ഊർജ്ജം
सक्रिय प्रवर्धक,സജീവ ആംപ്ലിഫയർ
सक्रिय डायोड परिपथ,സജീവ ഡയോഡ് സർക്യൂട്ട്
सक्रिय फिल्टर,സജീവ ഫിൽട്ടർ
सक्रिय उच्च आवृत्ति पारक फिल्टर,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
सक्रिय लोड,സജീവ ലോഡ്
सक्रिय निमन आवृत्ति पारक फिल्टर,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
सक्रिय क्षेत्र,സജീവമായ പ്രദേശം
अनुकूली इलेक्ट्रॉनिकी,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
योजक,ചേർക്കുന്നയാൾ
समायोजी बैंड विस्तार,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
प्रवेश्यता,നുഴഞ്ഞുകയറ്റം
एरियल,ഏരിയൽ
स्फूर्ति आवृत्ति,പെപ് ആവൃത്തി
वातानुकूलक,എയർ കണ്ടീഷണർ
संरेखन,വിന്യാസം
आल्गोरिदम,അൽഗോരിതം
समस्त पारक फिल्टर,എല്ലാ പാസ് ഫിൽട്ടറും
मिश्रधातु संधि,അലോയ് ജംഗ്ഷൻ
क्षीणन,ശോഷണം
प्रत्यावर्ती धारा,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
परिवेश ताप,അന്തരീക്ഷ ഊഷ്മാവ്
उभयध्रुवीय,ബൈപോളാർ
प्रवर्धन,ആംപ്ലിഫിക്കേഷൻ
