Tamil,Bengali
அமிலத்தன்மை,অ্যাসিডয়েড
அயோலியன் மண்,বায়বীয় মাটি
மதிப்பீட்டு,সমষ্টি
திரட்டுதல்,সমষ্টি
வேளாண்மை,কৃষিবিদ্যা
வேளாண்மை,কৃষিবিদ্যা
A- அடிவானம்,A- দিগন্ত
Ao- அடிவானம்,আও-দিগন্ত
Aoo- அடிவானம்,আও-দিগন্ত
மண்ணின் காற்று திறன்,মাটির বায়ু ক্ষমতা
மண்ணின் காற்றின் உள்ளடக்கம்,মাটির বায়ু উপাদান
காற்று பிக்னோமீட்டர்,এয়ার পিকনোমিটার
அல்லிடிக் மண்,অ্যালিটিক মাটি
வண்டல் மண்,পলিমাটি
ஆம்போலிடாய்டு,অ্যামফোলাইটয়েড
அயன்,অ্যানিয়ন
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
அரிஸ்,আরিস
Ashlar நன்றாக கொத்து,আশলার সূক্ষ্ম গাঁথনি
ஆஷ்லர் கொத்து,আশলার রাজমিস্ত্রি
அசோனல் மண்,অ্যাজোনাল মাটি
பின் நடிகர்,পেছনের অভিনেতা
பின் வளைவு,পিছনের খিলান
பின் இசைக்குழு,ব্যাক ব্যান্ড
பின் தூரிகை,পিছনের ব্রাশ
மீண்டும் சரிபார்க்கவும்,ফিরে চেক
பின் கவுண்டர்,পিছনে কাউন্টার
முதுகு வெட்டுதல்,পিছনে কাটা
பின் வரைவு damper,ব্যাক ড্রাফ্ট ড্যাম্পার
பின் வடிகால்,পিছনের ড্রেন
பின் துளி,ব্যাকড্রপ
பின் நிரப்பவும்,ব্যাক ফিল
பின் ஃபில்லட்,ব্যাক ফিললেট
பின் மடல் கீல்,পিছনে ফ্ল্যাপ কবজা
பின் ஓட்ட இணைப்பு,পিছনে প্রবাহ সংযোগ
பின் ஓட்டம் தடுப்பான்,পিছনে প্রবাহ প্রতিরোধক
பின் அளவுகோல்,ব্যাক গেজ
பின்புற சாக்கடை,পিছনে নর্দমা
பின் அடுப்பு,পিছনের চুলা
ஆதரவு,ব্যাকিং
பேக்கிங் போர்டு,ব্যাকিং বোর্ড
பின் அழுத்தம்,ফিরতি চাপ
பின் முட்டு,পিছনে প্রপ
பின் பார்வை,পিছনের দৃষ্টি
பின் நீர்,পিঠের জল
குழப்பம்,বিভ্রান্ত
பை வேலை,ব্যাগওয়ার্ক
பேலாஸ்ட்,ব্যালাস্ট
பந்து களிமண்,বল কাদামাটি
பந்து கூம்பு கவ்வி,বল শঙ্কু বাতা
முள்வேலி,কাঁটাতার
பார் நாய்,বার কুকুর
விசைப்படகு பலகை,বার্জ বোর্ড
பேரியம் சல்பேட் சோதனை,বেরিয়াম সালফেট পরীক্ষা
சரமாரி,ব্যারেজ
பாரெட்,ব্যারেট
அடித்தளம்,বেস
அடிப்படை பரிமாற்றம்,বেস বিনিময়
அடிப்படை வரி,বেস লাইন
அடித்தளம்,বেসমেন্ট
அடித்தள சுவர்,বেসমেন্ট প্রাচীর
அடித்தட்டு,বেস প্লেট
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","বেস প্লেট, নিয়মিত"
அடிப்படை செறிவு,বেস স্যাচুরেশন
பாசாய்டு,বেসয়েড
வௌவால்,ব্যাট
பாத் மற்றும் WC,স্নান এবং WC
இடி ஆப்பு,ব্যাটার পেগ
பேட்டர் பையர்,ব্যাটার পিয়ার
பேட்டர் விதி,ব্যাটারের নিয়ম
பால்க் (பால்க்),বাল্ক (বাল্ক)
விரிகுடா,বে
தாங்குபவர்,বহনকারী
தாங்கும் திறன்,ভারবহন ক্ষমতা
தாங்கும் பைல்,ভারবহন গাদা
தாங்கி அடுக்கு,ভারবহন স্তর
படுக்கை,বিছানা
படுக்கை விமானம்,বেডিং প্লেন
படுக்கை கூட்டு,বেড জয়েন্ট
படுக்கை பாறை,বিছানা শিলা
படுக்கை அறை,শয়নকক্ষ
தேன் மெழுகு,মোম
மணி பெட்டி,বেল বক্স
பெல்லிங் வாளி,বেলিং বালতি
பெல்லோஃப்ராம்,বেলোফ্রাম
பெஞ்ச் அடித்தளம்,বেঞ্চড ফাউন্ডেশন
பெஞ்சிங்,বেঞ্চিং
பெஞ்ச் மார்க்,মাপকাঠি
நன்மை செலவு பகுப்பாய்வு,বেনিফিট খরচ বিশ্লেষণ
பெர்ம்,বারম
வளைந்த மூடல்,বেভেলড ক্লোজার
"பி-ஹரைசன்,&quot;பி-","বি-দিগন্ত,&quot;বি-"
பயாட்,বিয়াট
பைண்டர்,বাইন্ডার
பிணைப்பு பொருள்,বাঁধাই উপাদান
