Malayalam,Kannada
അബാക്കസ്,ಅಬ್ಯಾಕಸ್
അസാധാരണമായ അവസാനിപ്പിക്കൽ,ಅಸಹಜ ಮುಕ್ತಾಯ
ഉപേക്ഷിക്കുക,ಸ್ಥಗಿತಗೊಳಿಸು
കേവല,ಸಂಪೂರ್ಣ
സമ്പൂർണ്ണ വിലാസം,ಸಂಪೂರ್ಣ ವಿಳಾಸ
സമ്പൂർണ്ണ അഭിസംബോധന,ಸಂಪೂರ್ಣ ವಿಳಾಸ
കേവല അസംബ്ലർ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
കേവല കോഡ്,ಸಂಪೂರ್ಣ ಕೋಡ್
സമ്പൂർണ്ണ കമാൻഡ്,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
സമ്പൂർണ്ണ ഡാറ്റ,ಸಂಪೂರ್ಣ ಡೇಟಾ
സമ്പൂർണ്ണ നിർദ്ദേശം,ಸಂಪೂರ್ಣ ಸೂಚನೆ
കേവല മോഡ്,ಸಂಪೂರ್ಣ ಮೋಡ್
കേവല പാത,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
അമൂർത്ത ക്ലാസ്,ಅಮೂರ್ತ ವರ್ಗ
അമൂർത്ത ഡാറ്റ തരം,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
അമൂർത്ത യന്ത്രം,ಅಮೂರ್ತ ಯಂತ್ರ
അമൂർത്ത ചിഹ്നം,ಅಮೂರ್ತ ಚಿಹ್ನೆ
അമൂർത്തമായ വാക്യഘടന,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
സ്വീകാര്യത പരിശോധന,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ആക്സസ് പ്രാമാണീകരണം,ಪ್ರವೇಶ ದೃಢೀಕರಣ
പ്രവേശന കോഡ്,ಪ್ರವೇಶ ಕೋಡ್
പ്രവേശന നിയന്ത്രണം,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ആക്സസ് സ്കാൻ,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
ഉപസാധനം,ಪರಿಕರ
അക്കൗണ്ട്,ಖಾತೆ
അക്കൗണ്ട് ID,ಖಾತೆ ID
ശേഖരണം,ಸಂಚಯಕ
കൃത്യത,ನಿಖರತೆ
പ്രവേശനം,ಪ್ರವೇಶ
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
പ്രവേശന സൂചിക,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
ആക്സസ് കീ,ಪ್ರವೇಶ ಕೀ
ആക്സസ് മാട്രിക്സ്,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ആക്സസ് മോഡ്,ಪ್ರವೇಶ ಮೋಡ್
ആക്സസ് പ്രിവിലേജ്,ಪ್ರವೇಶ ಸವಲತ್ತು
ആക്സസ് സുരക്ഷ,ಪ್ರವೇಶ ಭದ್ರತೆ
ആക്സസ് സെർവർ,ಪ್ರವೇಶ ಸರ್ವರ್
പ്രവേശന സമയം,ಪ್ರವೇಶ ಸಮಯ
അംഗീകാരം,ಸ್ವೀಕೃತಿ
ശബ്ദശാസ്ത്രം,ಅಕೌಸ್ಟಿಕ್ಸ್
സംക്ഷേപം,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
പ്രവർത്തന സന്ദേശം,ಕ್ರಿಯೆಯ ಸಂದೇಶ
സജീവമാക്കൽ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
സജീവ സെർവർ പേജ് (ASP),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
സജീവ പതിപ്പ്,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
അസൈക്ലിക്,ಅಸೈಕ್ಲಿಕ್
അസൈക്ലിക് ഗ്രാഫ്,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
അഡാ ഭാഷ,ಅದಾ ಭಾಷೆ
അഡാപ്റ്റർ,ಅಡಾಪ್ಟರ್
ചേർക്കുക,ಸೇರಿಸಿ
ഫയൽ ചേർക്കുക,ಕಡತವನ್ನು ಸೇರಿಸು
പ്രവർത്തനം ചേർക്കുക,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
ചേർക്കുന്നയാൾ,ಸೇರಿಸುವವನು
വിലാസം,ವಿಳಾಸ
വിലാസം ബസ്,ವಿಳಾಸ ಬಸ್
വിലാസ ഫയൽ,ವಿಳಾಸ ಫೈಲ್
വിലാസ ഫോർമാറ്റ്,ವಿಳಾಸ ಸ್ವರೂಪ
വിലാസ ജനറേറ്റർ,ವಿಳಾಸ ಜನರೇಟರ್
വിലാസ ലൈൻ,ವಿಳಾಸ ಸಾಲು
വിലാസ മാപ്പിംഗ്,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
വിലാസ സൂചിക,ವಿಳಾಸ ಪಾಯಿಂಟರ್
വിലാസ രജിസ്റ്റർ,ವಿಳಾಸ ನೋಂದಣಿ
വിലാസം റെസലൂഷൻ,ವಿಳಾಸ ನಿರ್ಣಯ
വിലാസ വിവർത്തനം,ವಿಳಾಸ ಅನುವಾದ
അഭിസംബോധന ചെയ്ത മെമ്മറി,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
അഭിസംബോധന,ಉದ್ದೇಶಿಸಿ
പര്യാപ്തത മാനദണ്ഡം,ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
അനുബന്ധം,ಪಕ್ಕದ
ഭരണകൂടം,ಆಡಳಿತ
കാര്യനിർവാഹകൻ,ನಿರ್ವಾಹಕ
അഡോബ് അക്രോബാറ്റ്,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
അഡോബ് ഫോട്ടോഷോപ്പ്,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
