Gujarati,Odiya
અબેકસ,ଆବାକସ୍ |
અસામાન્ય સમાપ્તિ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ગર્ભપાત,ପରିତ୍ୟାଗ
સંપૂર્ણ,ସଂପୂର୍ଣ୍ଣ
સંપૂર્ણ સરનામું,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
સંપૂર્ણ સંબોધન,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
સંપૂર્ણ એસેમ્બલર,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
સંપૂર્ણ કોડ,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
સંપૂર્ણ આદેશ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
સંપૂર્ણ ડેટા,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
સંપૂર્ણ સૂચના,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
સંપૂર્ણ મોડ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
સંપૂર્ણ માર્ગ,ସଂପୂର୍ଣ୍ଣ ପଥ
સંપૂર્ણ પ્રોગ્રામિંગ,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
અમૂર્ત વર્ગ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
અમૂર્ત ડેટા પ્રકાર,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
અમૂર્ત મશીન,ବିସ୍ତୃତ ମେସିନ୍ |
અમૂર્ત પ્રતીક,ବିସ୍ତୃତ ପ୍ରତୀକ |
અમૂર્ત વાક્યરચના,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
સ્વીકૃતિ પરીક્ષણ,ଗ୍ରହଣ ପରୀକ୍ଷା
ઍક્સેસ પ્રમાણીકરણ,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
ઍક્સેસ કોડ,ପ୍ରବେଶ କୋଡ୍
વપરાશ નિયંત્રણ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
એક્સેસ સ્કેન,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
સહાયક,ଆନୁଷଙ୍ଗିକ
એકાઉન્ટ,ଖାତା
એકાઉન્ટ ID,ଖାତା ID
સંચયક,ଜମାକାରୀ
ચોકસાઈ,ସଠିକତା
ઍક્સેસ,acess
એક્સેસ કંટ્રોલ બાઈટ,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
એક્સેસ ઇન્ડેક્સ,acess index
ઍક્સેસ કી,acess କି
એક્સેસ મેટ્રિક્સ,acess matrix
ઍક્સેસ મોડ,acess ମୋଡ୍ |
એક્સેસ વિશેષાધિકાર,acess ଅଧିକାର
ઍક્સેસ સુરક્ષા,acess ସୁରକ୍ଷା |
ઍક્સેસ સર્વર,acess ସର୍ଭର |
ઍક્સેસ સમય,ଆକସେସ୍ ସମୟ |
સ્વીકૃતિ,ସ୍ୱୀକୃତି
ધ્વનિશાસ્ત્ર,ଆକାଶବାଣୀ
ટૂંકાક્ષર,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
ક્રિયા સંદેશ,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
સક્રિયકરણ,ସକ୍ରିୟ
સક્રિય સર્વર પૃષ્ઠ (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
સક્રિય સંસ્કરણ,ସକ୍ରିୟ ସଂସ୍କରଣ |
એસાયક્લિક,acyclic
એસાયક્લિક ગ્રાફ,acyclic ଗ୍ରାଫ୍ |
અદા ભાષા,ଅଦା ଭାଷା |
એડેપ્ટર,ଆଡାପ୍ଟର
ઉમેરો,ଯୋଡନ୍ତୁ |
ફાઇલ ઉમેરો,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
કામગીરી ઉમેરો,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
ઉમેરનાર,ଆଡର୍
સરનામું,ଠିକଣା
સરનામું બસ,ଠିକଣା ବସ୍
સરનામું ફાઇલ,ଠିକଣା ଫାଇଲ୍ |
સરનામું ફોર્મેટ,ଠିକଣା ଫର୍ମାଟ୍
સરનામું જનરેટર,ଠିକଣା ଜେନେରେଟର
એડ્રેસ લાઇન,ଠିକଣା ରେଖା
સરનામું મેપિંગ,ଠିକଣା ମ୍ୟାପିଂ
સરનામું નિર્દેશક,ଠିକଣା ସୂଚକ
સરનામું રજીસ્ટર,ଠିକଣା ରେଜିଷ୍ଟର
સરનામું રિઝોલ્યુશન,ଠିକଣା ରେଜୋଲୁସନ
સરનામા અનુવાદ,ଠିକଣା ଅନୁବାଦ
સંબોધિત મેમરી,ଠିକଣା ସ୍ମୃତି
