English,Bengali
abiogenesis,অ্যাবায়োটিক প্রজনন
abnormal,প্যারানরমাল
abomasum,1. চতুর্থ পেট 2. Evomasome
aborted organ,স্টোমাটাল বৃদ্ধি অঙ্গ
aborted seed,স্তব্ধ বৃদ্ধি বীজ
abortion,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
absolute weed,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
absorbed cation,শোষিত ক্যাটান
absorption,শোষণ
abyssinian mustard,আবিসিনিয়ান সরিষা
acaricide,1. অ্যাক্যারিসাইড
accentric,কেন্দ্রমুখী
accentuate (cell),পরিবর্ধন (কোষ)
accepted tolerance,অনুমোদিত সহনশীলতা
accessory,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
acclimatization,অভিযোজন
accumulation,সঞ্চয়
accuracy,1. শূন্যতা 2. নির্ভুলতা
acervulus,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
acetification,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
acidification,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
acidimeter,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
acidity,অম্লতা
acidophilic,অ্যাসিডোফাইল
acidulated rock phosphate,অম্লীয় রক ফসফেট
aciduric,অ্যাসিডযুক্ত
acquifer,aquifer
acquisition,অধিগ্রহণ
acre,একর
acreage,1. এলাকা 2. এলাকা
acrocentric chromosome,শেষ বিন্দু ক্রোমোজোম
acropetal,দূরদর্শী
acrosome,acrosome
actinomycetes,actinomycetes
active root zone,সক্রিয় কোর
acute,1. উগ্র 2. তীব্র
adaptability,অভিযোজনযোগ্যতা
adaptation,কাস্টমাইজেশন
adhesion,1. আনুগত্য 2. আনুগত্য
adipose,sebaceous
adjustment equation,সমন্বয় সমীকরণ
adobe soil,adobe মাটি
adulterant,ভেজাল
adventitious,ectopic
aecidiospore,ইসিডিওস্পোর ইসিডিয়াম স্পোর
aeolian process,এরোডাইনামিক প্রক্রিয়া
aeolian,ventral
aerate,বায়ু করা
aerial,1. বায়ু 2. আকাশী
aerometer,1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার
aerosol,এরোসল
aestivation,1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা
aetiology (etiology),রোগের বিজ্ঞান
afforestation,বনায়ন
agitation,1. আন্দোলন 2. অশান্তি
agmark,এগমার্ক
agrarian,1. জমি সংক্রান্ত 2. কৃষি
agricultural clinic,কৃষি ক্লিনিক
agricultural labour,1. কৃষি শ্রম 2. কৃষি শ্রম
agricultural marketing,কৃষি বিপণন
agricultural technology,কৃষি প্রযুক্তি
agriculture,1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান
agrisilviculture,কৃষি বনায়ন
agrobiodiversity,কৃষি জীববৈচিত্র্য
agrobiological defects,কৃষি জৈব ত্রুটি
agrobiology,কৃষি জীববিজ্ঞান
agroclimatic diversity,কৃষি-জলবায়ু বৈচিত্র্য
agroclimatic zoning,কৃষি জলবায়ু অঞ্চল সৃষ্টি
agroforestry,কৃষি বনবিদ্যা
agrology,কৃষিবিদ্যা
agronomy,কৃষিবিজ্ঞান
agropastoral,কৃষি যাজক
agroprocessing,ফসল প্রক্রিয়াকরণ
agrostology,ঘাস বিজ্ঞান
agrotype,ফসলের ধরন
air plant,এপিফাইট
akiochi soil,aikiochi মাটি
albinism,বর্ণান্ধতা
alfisols,আলফিসল
algae,শৈবাল
algal disease,শেওলা রোগ
alkali water,ক্ষার জল
alkaline,ক্ষারীয়
allele,বিকল্প
allelochemicals,অ্যালেলো রসায়ন
allelomorph,অ্যালিল
allelopathy,অ্যালিলোপ্যাথি
alley cropping,ভেথি ফসল
allocarpy,পরিপূর্ণতা
allogamy,নিষিক্তকরণ
