Kannada,Hindi
ದಾಟುವುದು,"उपशमन, कमी"
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,संक्षिप्‍ति
ಅಪಹರಣ,अपहरण
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,प्रास्थगन
ಸಾಮರ್ಥ್ಯ,योग्यता
ಎಬಿ ಇನಿಶಿಯೋ,"आदित:, आरंभ से"
ಸಮರ್ಥ,योग्य
ಅಸಹಜ,अपसामान्य
ನಿರ್ಮೂಲನ,"उन्मूलन, समाप्‍ति"
ರದ್ದುಮಾಡುವಿಕೆ,पद समाप्‍ति
ಮೇಲೆ ತಿಳಿಸಿದ,"ऊपर उल्लिखित, उपर्युक्‍त"
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,ऊपर उद्‍धृत
ಮೇಲೆ ಹೇಳಿದರು,उपर्युक्‍त
ಅನುಪಸ್ಥಿತಿ,"अनुपस्थिति, गैरहाजि़री, अभाव"
ಗೈರುಹಾಜರಿ,"अनुपस्थित, ग़ैरहाजि़र"
ಗೈರುಹಾಜರಿ,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,अनुपस्थिति-विवरण
ಸಂಪೂರ್ಣ,"पूर्ण, निरपेक्ष"
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,पूर्ण एकाधिकार
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,पूर्ण स्वामित्व
ಹೀರುವಿಕೆ,"आमेलन, अवशोषण"
ಅಮೂರ್ತ,सार
ಅಮೂರ್ತತೆ,सार-विवरण
ಅಸಂಬದ್ಧ,"अर्थहीन, बेतुका"
ಹೇರಳವಾಗಿರುವುದು,प्रचुरता
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,शक्‍ति का दुरुपयोग
ನಿಂದಕ ಭಾಷೆ,गाली-गलौज
ಶೈಕ್ಷಣಿಕ,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,शास्त्रीय चर्चा
ಶೈಕ್ಷಣಿಕ ರಜೆ,अकादमिक छुट्टी
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,शैक्षिणिक अर्हता
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
ತಪ್ಪೊಟ್ಟು,"मान लेना, अधिमिलन होना"
ಒಪ್ಪಿಕೊಳ್ಳಿ,"स्वीकार करना, मानना"
ಸ್ವೀಕಾರಾರ್ಹತೆ,"स्वीकृति, प्रतिग्रहण"
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,पद-स्वीकृति
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,निविदा की स्वीकृति
ಪ್ರವೇಶ,पहुंच
ಪ್ರವೇಶ,"राज्यारोहण, पदारोहण, परिग्रहण"
ಪರಿಕರ,"अनुषंगी, उपसाधन"
ಅಪಘಾತ,"दुर्घटना, संयोग"
ಒಗ್ಗೂಡಿಸುವಿಕೆ,पर्यनुकूलन
ಸೌಕರ್ಯ,"आवास, निर्वाह, समंजन"
ಜೊತೆಗಾರ,संगकार
ಸ ೦ ಗೀತ,"समझौता, प्रदान करना, देना"
ಪ್ರೇಕ್ಷಕ,"अनुरूपता, संगति"
ಹಾಗೆಯೇ,तदनुसार
ಖಾತೆ,"लेखा, खाता, हिसाब"
ಹೊಣೆಗಾರಿಕೆ,जवाबदेही
ಹೊಣೆಗಾರ,"जवाबदेह, देनदार"
ಹೊಣೆ,"लेखा विधि, लेखा कार्य"
ಲೆಕ್ಕಪರಿಶೋಧಕ,लेखाकार
ಇದಕ್ಕೆ ಖಾತೆ,"कारण बताना, लेखा-जोखा देना"
ಖಾತೆ,लेखा-शीर्ष
ಸಂಚಿತ ಲಾಭ,प्रोद्‌भूत हितलाभ
ಸಂಚಿತ ಪಿಂಚಣಿ,प्रोद्‌भूत पेन्शन
ಸಂಗ್ರಹಣೆ,"संचय, संचयन"
ನಿಖರತೆ,"यथार्थता, परिशुद्‌धता"
ನಿಖರವಾದ,"यथार्थ, सही, परिशुद्‌ध"
ಆರೋಪಿಸು,अभियोग लगाना
ಆರೋಪಿ,अभियुक्‍त
ಸಾಧನೆ,उपलब्‍धि
ಸ್ವೀಕೃತಿ,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
ಸ್ವೀಕೃತಿ ಕಾರಣ,"पावती पत्र, रसीदी"
ಪರಿಚಯ,"(व्यक्‍ति) परिचित, परिचय"
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,"अधिग्रहण, अर्जन"
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,"भुगतान, भरपाई, निस्तारण"
ಕಯ,"कार्य, कृत्य, अधिनियम"
ನಟನಾ ಭತ್ಯೆ,कार्यकारी भत्‍ता
ಕ್ರಿಯಾಶೀಲತೆ,"कार्रवाई, क्रिया, कार्य, संघर्ष"
ಕಾರ್ಯ ತಂತ್ರ,कार्य योजना
ಸಕ್ರಿಯ,सक्रिय
ಸಕ್ರಿಯವಾಗಿ,"सक्रियता से, सक्रियतापूर्वक"
ಕಾರ್ಯಕರ್ತ,"कर्मठ कार्यकता, सक्रियतावादी"
ಭಗವಂತನ ಆಟ,दैव कृत्य
