Marathi,Gujarati
अ‍ॅबॅक्सियल पृष्ठभाग,મહારમાન સપાટી
ओटीपोट,પેટ
ओटीपोटात महाधमनी,પેટનો એરોર્ટા
ओटीपोटात गॅंग्लिया,આધાર ગેંગલિયા
एबेलमोशस एस्क्युल्टस,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
विकृती,વિપુલતા
अबीज,નાજુક
अबिंगडॉन कासव,એબિંગ્ડન કાચબો
अ‍ॅबिओजेनेसिस,સ્વત્વાર્પણ
अ‍ॅबिओटिक,અહંકારી
अ‍ॅबिओटिक फॅक्टर,અભણ પરિબળ
असामान्य मूत्र,અસામાન્ય પેશાબ
अबो ब्लड ग्रुप,એબીઓ રક્ત જૂથ
अ‍ॅबसिसिक acid सिड,સદસ્યાટ
फलंदाजी,વિકલાંગતા
शोषून घ्या,શોષવું
शोषण शिखर,શોષણ ટોચ
शोषण,સમાવેશ
बाभूळ कॅटेचू,બાવળ
अकारिया अरबीका,એકરિયા અરબીકા
अकाप्रिन,એકર
स्वीकार्य लैंगिक वर्तन,સ્વીકાર્ય જાતીય વર્તન
Ory क्सेसरी ग्रंथी,સહાયક ગ્રંથિ
Ory क्सेसरी ग्रंथी,સહાયક ગ્રંથિ
Ory क्सेसरीसाठी अवयव,સહાયક અંગ
सहनशीलता,સ્વાર્થીકરણ
अनुकूलित करा,મામૂલી કરવું
निवास (लक्ष केंद्रित करणे),આવાસ (ધ્યાન કેન્દ્રિત)
डोळ्याची निवासस्थान,આંખનું સ્થાન
संवर्धन वाढ,પરિધિ
संचय,સંચય
सेंद्रिय पदार्थाचे संचय,કાર્બનિક પદાર્થનું સંચય
मातीचे संचय,જમીનનો સંચય
सेल्युलर,મધ્યમ
एसेल्युलर जीव,મધ્ય જીવ
एसीटाबुलम,અકારો
एसीटाल्डिहाइड,Ecetaldehyde
एसिटिल कोएन्झाइम,એસીટીલ કોએન્ઝાઇમ
अकॅटिना,એકલતા
अचेने प्रकार,અચેન પ્રકાર
अचेने,અહંકાર
अक्लमिडोस्पोरिया,આચ્છાદન
आम्ल वर्षा,એસિડ વરસાદ
अम्लीय,અમ્દિન
अम्लीय वायू,અમ્બલિક ગેસ
आंबटपणा,અમલ્ય
एसीनार सेल,કોતરણીનો કોષ
एकोलोमेट,Acાંકણ
On कोनिटम,એક જાતની કળા
अ‍ॅकॉर्न वर्म,એકોખી
ध्वनिक झोनिंग,ધ્વનિ ક્ષેત્ર
अधिग्रहित वर्ण,પ્રાપ્ત કરેલું પાત્ર
वसूल केलेली प्रतिकारशक्ती,હસ્તગત પ્રતિરક્ષા
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ)
एकरानिया,ક્રોધાવેશ
Rid सिडिन डाई,એસિડાઇન રંગ
अ‍ॅक्रोसेन्ट्रिक,અતિશય
अ‍ॅक्रोमियन,કરચલી
अ‍ॅक्रोपेटल सीक्वेन्स,સર્કરો
अ‍ॅक्रोपेटल ऑर्डर,સરકરાનો હુકમ
अ‍ॅक्रोसिन,ગળાશ
अ‍ॅक्टिन,કાર્ય
अ‍ॅक्टिन-सारखी प्रथिने,કૃત્ય
अ‍ॅक्टिनोमॉर्फिक,અભિપ્રાયનું
अ‍ॅक्टिनोमाइसेट्स,કૃત્ય
कृती संभाव्यता,કાર્ય માટેની ક્ષમતા
सक्रिय गाळ,સક્રિય કાદવ
सक्रिय गाळ फ्लॉक,સક્રિય કાદવ ફ્લોક
सक्रियता ऊर्जा,સક્રિય energyર્જા
सक्रिय शोषण,સક્રિય શોષણ
सक्रिय प्रतिकारशक्ती,સક્રિય પ્રતિરક્ષા
सक्रिय रेडिएशन,સક્રિય કિરણોત્સર્ગ
सक्रिय साइट,સક્રિય સ્થળ
अ‍ॅक्टिव्हिन,સક્રિય
Umicate,અણીદાર
अ‍ॅडम्सिया,એડ્મસિયા
अनुकूलता,અનુકૂલનક્ષમતા
रुपांतर,અનુકૂલન
हलकी व्यवस्थेशी जुळवून घेणे,પ્રકાશ શાસન માટે અનુકૂલન
पाण्याची कमतरता रुपांतर,પાણીની અછતને અનુકૂલન
अनुकूली वैशिष्ट्ये,અનુકૂલનશીલ લાક્ષણિકતાઓ
अनुकूली प्रतिकारशक्ती,અનુકૂલનશીલ પ્રતિરક્ષા
अनुकूली रेडिएशन,અનુકૂલનશીલ કિરણોત્સર્ગ
अनुकूली गुण,અનુકૂલન લક્ષણ
अ‍ॅडॅक्सियल पृष्ठभाग,ઉપદેશક
व्यसनाधीन डिसऑर्डर,વ્યસનકારક વિકાર
En डेनिन,એક જાતની adાળ
En डेनोकोर्टिकोट्रोपिन,એડોનોકોર્ટિકોટ્રોપિન
En डेनोहायपोफिसिस,એનોહિપોફિસીસ
En डेनोसिन डायफॉस्फेट,એડેનોસિન ડિફોસ્ફેટ
En डेनोसिन डिमिनेस,એમેનોસિન
En डेनोसाइन मोनोफॉस्फेट,એનોસિન મોનોફોસ્ફેટ
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી)
En डेनिलेट सायक्लेज,સાયક્લેઝ
चिकट शक्ती,ચપળ બળ
अ‍ॅडिपेट,શણગારવું
अ‍ॅडिपोसाइट (चरबी सेल),એડિપોસાઇટ (ચરબી કોષ)
अ‍ॅडिपोज टिशू,ચરબી પેશી
Nednate,Nતરતું
लगतचा समुदाय,સંલગ્ન સમુદાય
Ren ड्रेनल,વ્યવહાસી
Ren ड्रेनल ग्रंथी,એડ્રીનલ ગ્રંથિ
एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच),એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ)
Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच),એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ)
Or सॉर्बेंट,શોષક
शोषण,શોષક
प्रगत Chordate,અદ્યતન તાર
फायदेशीर उत्परिवर्तन,ફાયદાકારક પરિવર્તન
अ‍ॅडव्हेंटिशियल,સાહસિક
साहसी मूळ,અગમ્ય મૂળ
प्रतिकूल परिणाम,પ્રતિકૂળ અસર
एडीज,એડીસ
संस्कृतीचे वायुवीजन,સંસ્કૃતિનો વાયુ
एरेन्चायमा,વિમાન
हवाई,હવાઈ
एरियल रूट,હવાઈ ​​મૂળ
एरियल शूट,હવાઈ ​​ગોળી
एरोबिक श्वसन,વાયુગામી શ્વસન
एरोबिक श्वसन,વાયુગામી શ્વસન
सौंदर्यशास्त्र,સૌંદર્ય શાસ્ત્ર
एस्टिवेशन,નિલાસ્ય
एस्टिवेशन,નિલાસ્ય
Efferent,સંલગ્ન
आत्मीयता क्रोमॅटोग्राफी,લગાવ રંગ
पीडित अवयव,પીડિત અંગ
वनीकरण,વનીકરણ
अ‍ॅगामोस्पर्मी,અકસ્માત
अगर,પાટિયું
आगरोस,અણીદાર
अगरोस जेल इलेट्रोफोरेसीस,એલોઝ જેલ એલેટ્રોફોરેસિસ
अ‍ॅगारोज पॉलिमर जेल,પિલર જેલ
Agast,અવસ્થામાં
अ‍ॅगेव्ह,ખાડી
वय वितरण,વય વહેંચણી
वय पिरॅमिड,વય પિરામિડ
एकत्रित,Agલટ
एकूण,સમૂહ
कूपांचे एकूण,એકંદર
कूपांचे एकूण,એકંદર
एकत्रिकरण,એકંદર
आक्रमकता,આક્રમકતા
आंदोलन प्रणाली,આંદોલનકારી પદ્ધતિ
अग्नथ,એકરાગ
अगोती,અણી
अ‍ॅग्रॅनल क्लोरोप्लास्ट,અગ્રાણ ક્લોરોપ્લાસ્ટ
अ‍ॅग्रॅन्युलर,એકરારવાળું
अ‍ॅग्रानुलोसाइट,એગ્રાન્યુલોસાઇટ
शेती,કૃષિ
अ‍ॅग्रोफोरेस्ट्री,કૃષિ -પ્રવેશ
अ‍ॅग्रोबॅक्टीरियम मध्यस्थी,મધ્યસ્થી
