Hindi,Punjabi
"उपशमन, कमी",ਪਰੇਸ਼ਾਨੀ
संक्षिप्‍ति,ਸੰਖੇਪ
अपहरण,ਅਗਵਾ
प्रास्थगन,ਧਾਰਨਾ
योग्यता,ਯੋਗਤਾ
"आदित:, आरंभ से",ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
योग्य,ਯੋਗ
अपसामान्य,ਅਸਧਾਰਨ
"उन्मूलन, समाप्‍ति",ਖਤਮ
पद समाप्‍ति,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
"ऊपर उल्लिखित, उपर्युक्‍त",ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
ऊपर उद्‍धृत,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
उपर्युक्‍त,ਉਪਰੋਕਤ ਕਿਹਾ
"अनुपस्थिति, गैरहाजि़री, अभाव",ਗੈਰਹਾਜ਼ਰੀ
"अनुपस्थित, ग़ैरहाजि़र",ਗੈਰਹਾਜ਼ਰ
"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता",ਗੈਰਹਾਜ਼ਰ
अनुपस्थिति-विवरण,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
"पूर्ण, निरपेक्ष",ਅਸੀਮ
पूर्ण एकाधिकार,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
पूर्ण स्वामित्व,ਸੰਪੂਰਨ ਮਾਲਕੀ
"आमेलन, अवशोषण",ਸਮਾਈ
सार,ਸਾਰ
सार-विवरण,ਸੰਖੇਪ
"अर्थहीन, बेतुका",ਬੇਹੂਦਾ
प्रचुरता,ਬਹੁਤਾਤ
शक्‍ति का दुरुपयोग,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
गाली-गलौज,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय",ਅਕਾਦਮਿਕ
शास्त्रीय चर्चा,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
अकादमिक छुट्टी,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
शैक्षिणिक अर्हता,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
"शैक्षिक रिकार्ड, शैक्षिक अभिलेख",ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
"मान लेना, अधिमिलन होना",ਐੱਸ
"स्वीकार करना, मानना",ਸਵੀਕਾਰ ਕਰੋ
"स्वीकृति, प्रतिग्रहण",ਮਨਜ਼ੂਰ
पद-स्वीकृति,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
निविदा की स्वीकृति,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
पहुंच,ਪਹੁੰਚ
"राज्यारोहण, पदारोहण, परिग्रहण",ਐਕਸੈਸਿੰਗ
"अनुषंगी, उपसाधन",ਸਹਾਇਕ
"दुर्घटना, संयोग",ਹਾਦਸਾ
पर्यनुकूलन,ਅਨੁਕੂਲਤਾ
"आवास, निर्वाह, समंजन",ਰਿਹਾਇਸ਼
संगकार,ਦੇ ਨਾਲ
"समझौता, प्रदान करना, देना",ਸਮਝੌਤਾ
