English,Punjabi
Abelian group,ਅਬੇਲੀਅਨ ਸਮੂਹ
abelian semigroup,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
absolute,ਅਸੀਮ
absolute convergence,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
absolute error,ਪੂਰਨ ਗਲਤੀ
absolute maximum,ਪੂਰਨ ਅਧਿਕਤਮ
absolute minimum,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
absolute value,ਸਹੀ ਮੁੱਲ
absolute velocity,ਪੂਰਨ ਗਤੀ
abstract algebra,ਸਾਰ ਅਲਜਬਰਾ
abstract group theory,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
acceleration,ਪ੍ਰਵੇਗ
acceleration due to gravity,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
acceptable choice set,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
acceptable quality level,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
acceptable range,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
acceptable reliability level,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
acceptable sampling,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
accumulated error,ਸੰਚਿਤ ਗਲਤੀ
accuracy,ਸ਼ੁੱਧਤਾ
acting force,ਐਕਟਿੰਗ ਫੋਰਸ
action,ਕਾਰਵਾਈ
action and reaction,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
acturial science,ਅਸਲ ਵਿਗਿਆਨ
acute angled triangle,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
acyclic,acyclic
add,ਸ਼ਾਮਲ ਕਰੋ
adder,ਜੋੜਨ ਵਾਲਾ
addition,ਇਸ ਤੋਂ ਇਲਾਵਾ
addition formula,ਜੋੜ ਫਾਰਮੂਲਾ
addition of complex numbers,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
addition of functions,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
addition of matrices,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
addition of polynomials,ਬਹੁਪਦ ਦਾ ਜੋੜ
addition of probabilities,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
addition of vectors,ਵੈਕਟਰ ਦਾ ਜੋੜ
addition theorem,ਵਾਧੂ ਪ੍ਰਮੇਯ
additive group,additive ਗਰੁੱਪ
additive inverse,additive ਉਲਟ
additive property,additive ਸੰਪਤੀ
additivity,additivity
adjacency matrix,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
adjacent,ਨੇੜੇ
adjacent angles,ਨੇੜੇ ਦੇ ਕੋਣ
adjacent vertex,ਨੇੜੇ ਦਾ ਸਿਰਾ
adjoin,ਨਾਲ ਜੁੜੋ
adjoining,ਨਾਲ ਲੱਗਦੇ
adjoint determinant,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
adjoint differential equation,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
adjoint equation,ਸੰਜੋਗ ਸਮੀਕਰਨ
adjoint matrix,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
adjoint of matrix,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
adjugate matrix,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
admissible decision function,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
admissible hypothesis,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
aerodynamic force,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
aerodynamics,ਐਰੋਡਾਇਨਾਮਿਕਸ
affine geometry,affine ਜਿਓਮੈਟਰੀ
affine mapping,affine ਮੈਪਿੰਗ
affine transformation,affine ਪਰਿਵਰਤਨ
aggregating variables,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
algebra,ਅਲਜਬਰਾ
algebraically closed,ਬੀਜਗਣਿਤ ਬੰਦ
algebraic equation,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
algebraic expression,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
algebraic form,ਬੀਜਗਣਿਤ ਰੂਪ
algebraic function,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
algebraic geometry,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
algebraic multiplicity,ਬੀਜਗਣਿਤ ਗੁਣਾ
algebraic system,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
all-integer problem,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
allocation problem,ਵੰਡ ਸਮੱਸਿਆ
alphabetical notation,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
alphabetic character,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
alternate angle,ਵਿਕਲਪਕ ਕੋਣ
alternating form,ਬਦਲਵੇਂ ਰੂਪ
alternating group,ਬਦਲਵੇਂ ਸਮੂਹ
alternating matrix,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
alternating series,ਬਦਲਵੀਂ ਲੜੀ
alternative hypothesis,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
alternative optima,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
alternative outcome,ਵਿਕਲਪਕ ਨਤੀਜਾ
analog-to-digital converter,ਐਨਾਲਾਗ-ਟੂ-ਡਿਜੀਟਲ ਕਨਵਰਟਰ
analogue computer,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
analysis,ਵਿਸ਼ਲੇਸ਼ਣ
analysis of covariance,ਸਹਿਪ੍ਰਸਤੀ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
analysis of enumeration data,ਗਣਨਾ ਡੇਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
analysis of variance,ਵਿਭਿੰਨਤਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
analytic geometry,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
analytic function,ਵਿਸ਼ਲੇਸ਼ਣ ਫੰਕਸ਼ਨ
angle,ਕੋਣ
angle of contact,ਸੰਪਰਕ ਦਾ ਕੋਣ
angle of deflection,ਭਟਕਣ ਦਾ ਕੋਣ
angle of depression,ਡਿਪਰੈਸ਼ਨ ਦਾ ਕੋਣ
angle of deviation,ਭਟਕਣ ਦਾ ਕੋਣ
angle of diffraction,ਵਿਭਿੰਨਤਾ ਦਾ ਕੋਣ
angle of elevation,ਉਚਾਈ ਦਾ ਕੋਣ
angle of incidence,ਘਟਨਾ ਦਾ ਕੋਣ
angle of projection,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
angle of reflection,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
angle of refraction,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
angle of rotation,ਰੋਟੇਸ਼ਨ ਦਾ ਕੋਣ
angle of total reflection,ਕੁੱਲ ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
angular acceleration,ਕੋਣੀ ਪ੍ਰਵੇਗ
angular motion,ਕੋਣੀ ਗਤੀ
angular speed,ਕੋਣੀ ਗਤੀ
angular velocity,ਕੋਣੀ ਵੇਗ
annulus,ਐਨੁਲਸ
answer,ਜਵਾਬ
anti – derivative,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
antisymmetric function,ਵਿਰੋਧੀ ਸਮਰੂਪ ਫੰਕਸ਼ਨ
applicable,ਲਾਗੂ ਹੈ
application,ਐਪਲੀਕੇਸ਼ਨ
applied dynamic programming,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
applied geometry,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
applied mathematics,ਲਾਗੂ ਗਣਿਤ
applied statistics,ਲਾਗੂ ਅੰਕੜੇ
approximately,ਲਗਭਗ
approximately continuous function,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
approximate method,ਅੰਦਾਜ਼ਨ ਢੰਗ
