Bengali,Punjabi
অ্যাব্যাক্সিয়াল পৃষ্ঠ,ਐਬੈਕਸਿਅਲ ਸਤਹ
পেট,ਪੇਟ
পেটের মহাধমনী,ਪੇਟ AORTA
পেটের গ্যাংলিয়া,ਪੇਟ ਗੰਗਾਲੀਆ
আবেলমোসচাস এসকুলেন্টাস,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
অবসন্নতা,ਅਸਧਾਰਨ
Abies,ਅੱਛਾ
অ্যাবিংডন কচ্ছপ,ਅਬਿੰਗਡਨ ਕਛੂਆ
অ্যাবোজেনেসিস,ਅਬੀਓਜੀਨੇਸਿਸ
অ্যাবায়োটিক,ਅਬੀਓਟਿਕ
জীবক্রিয়া ফ্যাক্টর,ਅਬੀਓਟਿਕ ਕਾਰਕ
অস্বাভাবিক প্রস্রাব,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
আবো ব্লাড গ্রুপ,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
অ্যাবসিসিক অ্যাসিড,Abscisic ਐਸਿਡ
অ্যাবসিশন,ਵਿਵੇਕ
শোষণ,ਸੋਖਣਾ
শোষণ শিখর,ਸਮਾਈ ਪੀਕ
শোষণ,ਸਮਾਈ
বাবলা ক্যাটেকু,ਅੱਕੀਆ ਕੈਟੂਯੂ
অ্যাকারিয়া আরবিকা,ਅਕਾਰੀਆ ਅਰਬੀ
অ্যাকাপ্রিন,ਐਕਾਪ੍ਰਿਨ
গ্রহণযোগ্য যৌন আচরণ,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
আনুষঙ্গিক গ্রন্থি,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
আনুষঙ্গিক গ্রন্থি,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
আনুষঙ্গিক অঙ্গ,ਸਹਾਇਕ ਅੰਗ
প্রশংসাপত্র,ਅਨੁਕੂਲਤਾ
প্রশংসিত,ਅਹਿਮ
আবাসন (ফোকাসিং),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
চোখের থাকার ব্যবস্থা,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
স্বীকৃত বৃদ্ধি,ਅਦਭੁਤ ਵਾਧਾ
জমা,ਇਕੱਠਾ
জৈব পদার্থ জমে,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
মাটি জমে,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
অ্যাসেলুলার,ਐਸੀਲੂਲਰ
অ্যাসেলুলার জীব,ਐਸੀਲੂਲਰ ਜੀਵ
অ্যাসিটাবুলাম,ਐਸੀਟੌਮੂਲਮ
অ্যাসিটালডিহাইড,ਐਸੀਟਲਾਈਡਾਈਡ
এসিটাইল কোএনজাইম,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
আছাটিনা,ਅਮੀਥਿਨਾ
অ্যাকিন টাইপ,ਅੱਕੇ
আচিন,ਅਕੇਸ਼ੀ
Achlamydosporye,AchlamyDosporeae
এসিড বৃষ্টি,ਐਸਿਡ ਬਾਰਸ਼
অ্যাসিডিক,ਤੇਜਾਬ
অ্যাসিডিক গ্যাস,ਤੇਜ਼ਾਬ ਗੈਸ
অম্লতা,ਐਸਿਡਿਟੀ
অ্যাকিনার সেল,ਐਕਸੀਨਰ ਸੈੱਲ
অ্যাকোলোমেট,ਆਕੋਲੀਓਮੈਟ
অ্যাকোনিটাম,ਐਕੋਨਿਟਮ
অ্যাকর্ন কৃমি,ਐਕੋਰਨ ਕੀੜਾ
অ্যাকোস্টিক জোনিং,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
অর্জিত চরিত্র,ਪਾਤਰ ਪਾਤਰ
অনাক্রম্যতা অর্জিত,ਸੀਮਤ ਸੀਮਤ
অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
অ্যাক্রানিয়া,ਅਰੇਂੀਆ
অ্যাক্রিডিন ডাই,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
অ্যাক্রোসেন্ট্রিক,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
অ্যাক্রোমিয়ন,ਐਕਰੋਮਰ
অ্যাক্রোপেটাল সিকোয়েন্স,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
অ্যাক্রোপেটাল অর্ডার,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
অ্যাক্রোসিন,ਐਕਰੋਸਿਨ
অ্যাক্টিন,ਐਕਟਿਨ
অ্যাক্টিনের মতো প্রোটিন,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
অ্যাক্টিনোমর্ফিক,ਐਕਟਿਨੀਮੋਰਿਕ
অ্যাক্টিনোমাইসেটস,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
কর্ম সম্ভাব্য,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
সক্রিয় কর্দম,ਸਰਗਰਮ ਸਲੱਜ
সক্রিয় স্ল্যাজ ফ্লক,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
অ্যাক্টিভেশন শক্তি,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
সক্রিয় শোষণ,ਐਕਟਿਵ ਸਮਾਈ
সক্রিয় অনাক্রম্যতা,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
সক্রিয় বিকিরণ,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
সক্রিয় সাইট,ਐਕਟਿਵ ਸਾਈਟ
অ্যাক্টিভিন,ਐਕਟੀਵੇਟ
একুমিনেট,ਅਮੀਮਿਨੇਟ
অ্যাডামসিয়া,ਐਡਮਜ਼ੀਆ
অভিযোজনযোগ্যতা,ਅਨੁਕੂਲਤਾ
অভিযোজন,ਅਨੁਕੂਲਤਾ
হালকা শাসনের সাথে অভিযোজন,ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ
জলের ঘাটতির সাথে অভিযোজন,ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ
অভিযোজিত বৈশিষ্ট্য,ਅਨੁਕੂਲ ਗੁਣ
অভিযোজিত অনাক্রম্যতা,ਅਨੁਕੂਲ ਛੋਟ
অভিযোজিত বিকিরণ,ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ
অভিযোজিত বৈশিষ্ট্য,ਅਨੁਕੂਲ ਗੁਣ
অ্যাড্যাক্সিয়াল পৃষ্ঠ,ਏਕੈਕਸੀਅਲ ਸਤਹ
আসক্তিজনিত ব্যাধি,ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ
অ্যাডেনিন,ਐਡੀਨੇਨ
অ্যাডেনোকোর্টিকোট্রপিন,ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ
অ্যাডেনোহাইপোফাইসিস,ਐਡੀਨੋਹਾਇਪਿਸਿਸ
অ্যাডেনোসিন ডিফোসফেট,ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ
অ্যাডেনোসিন ডায়ামিনেজ,ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ
অ্যাডেনোসিন মনোফসফেট,ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ
অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি),ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ)
অ্যাডিনলেট সাইক্লাস,ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ
আঠালো শক্তি,ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ
Adipate,ਐਡਪੋਜ਼
অ্যাডিপোকাইট (ফ্যাট সেল),Adipocyte (ਚਰਬੀ ਸੈੱਲ)
মেদ কলা,ਐਡਪੋਜ਼ ਟਿਸ਼ੂ
অ্যাডনেট,ਐਡਨੇਟ
সংলগ্ন সম্প্রদায়,ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ
অ্যাড্রিনাল,ਐਡਰੀਨਲ
অ্যাড্রিনাল গ্রন্থি,ਐਡਰੇਨਲ ਗਲੈਂਡ
অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ),ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ)
অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH),ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH)
Adsorbent,ਐਡੋਰਬੈਂਟ
শোষণ,ਇਸ਼ਤਿਹਾਰ
উন্নত কর্ডেট,ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ
সুবিধাজনক মিউটেশন,ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ
অ্যাডভেন্টিয়াল,ਸਾਹਸੀ
অ্যাডভেনটিয়াস রুট,ਸਾਹਸੀ ਜੜ
বিরূপ প্রভাব,ਗਲਤ ਪ੍ਰਭਾਵ
এডেস,ਏ.ਡੀ.ਡੀ.
সংস্কৃতি বায়ুচালনা,ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ
এরিচাইমা,Énerchyma
এরিয়াল,ਏਰੀਅਲ
বায়বীয় মূল,ਏਰੀਅਲ ਰੂਟ
এরিয়াল শ্যুট,ਏਰੀਅਲ ਸ਼ੂਟ
বায়ুজীবী শ্বসন,ਐਰੋਬਿਕ ਸਾਹ
বায়ুজীবী শ্বসন,ਐਰੋਬਿਕ ਸਾਹ
নান্দনিকতা,ਸੁਹਜ
এ্যাস্টিভেশন,ਖਰਾਸ਼
এ্যাস্টিভেশন,ਖਰਾਸ਼
Afferent,ਪਿਆਰ
অ্যাফিনিটি ক্রোমাটোগ্রাফি,ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
ক্ষতিগ্রস্থ অঙ্গ,ਦੁਖੀ ਅੰਗ
Afforastation,ਕਥਾ
আগামোস্পার্মি,ਅਗਿਆਤ
আগর,ਅਗਰ
আগারোজ,ਅਗਿਆਤ
আগারোজ জেল এ্যালেট্রোফোরেসিস,ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ
আগারোজ পলিমার জেল,ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ
আগস্ট,ਅਤਿ
আগাভা,ਅਗਾਵ
বয়স বিতরণ,ਉਮਰ ਵੰਡ
