Punjabi,Marathi
ਪਰੇਸ਼ਾਨੀ,Uptement
ਸੰਖੇਪ,संक्षेप
ਅਗਵਾ,अपहरण
ਧਾਰਨਾ,अबाधित
ਯੋਗਤਾ,क्षमता
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,अब इनिशिओ
ਯੋਗ,सक्षम
ਅਸਧਾਰਨ,असामान्य
ਖਤਮ,निर्मूलन
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,रद्दबातल पोस्ट
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,वर दिल्याप्रमाणे
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,वर उद्धृत
ਉਪਰੋਕਤ ਕਿਹਾ,वरील म्हणाले
ਗੈਰਹਾਜ਼ਰੀ,अनुपस्थिती
ਗੈਰਹਾਜ਼ਰ,अनुपस्थित
ਗੈਰਹਾਜ਼ਰ,अनुपस्थिति
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,अनुपस्थित विधान
ਅਸੀਮ,परिपूर्ण
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,परिपूर्ण मक्तेदारी
ਸੰਪੂਰਨ ਮਾਲਕੀ,परिपूर्ण मालकी
ਸਮਾਈ,शोषण
ਸਾਰ,गोषवारा
ਸੰਖੇਪ,अमूर्त स्टेटमेंट
ਬੇਹੂਦਾ,बेशुद्ध
ਬਹੁਤਾਤ,विपुलता
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,शक्तीचा गैरवापर
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,अपमानास्पद भाषा
ਅਕਾਦਮਿਕ,शैक्षणिक
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,शैक्षणिक चर्चा
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,शैक्षणिक रजा
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,शैक्षणिक पात्रता
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,शैक्षणिक नोंद
ਐੱਸ,प्रवेश
ਸਵੀਕਾਰ ਕਰੋ,स्वीकारा
ਮਨਜ਼ੂਰ,स्वीकृती
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,कार्यालय स्वीकारणे
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,निविदा स्वीकारणे
ਪਹੁੰਚ,प्रवेश
ਐਕਸੈਸਿੰਗ,प्रवेश
ਸਹਾਇਕ,Ory क्सेसरी
ਹਾਦਸਾ,अपघात
ਅਨੁਕੂਲਤਾ,सहनशीलता
ਰਿਹਾਇਸ਼,निवास
ਦੇ ਨਾਲ,सोबत
ਸਮਝੌਤਾ,करार
ਦੇ ਅਨੁਸਾਰ,अनुयायी
ਇਸ ਅਨੁਸਾਰ,त्यानुसार
ਖਾਤਾ,खाते
ਜਵਾਬਦੇਹੀ,उत्तरदायित्व
ਜਵਾਬਦੇਹ,जबाबदार
ਖਾਤੇ ਦੀ,अकाउंटन्सी
ਲੇਖਾਕਾਰ,अकाउंटंट
ਲਈ ਖਾਤਾ,साठी खाते
ਖਾਤਾ ਸਿਰ,खाते डोके
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,जमा लाभ
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,जमा पेन्शन
ਇਕੱਠਾ,संचय
ਸ਼ੁੱਧਤਾ,अचूकता
ਸਹੀ,अचूक
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,आरोप
ਦੋਸ਼ੀ,आरोपी
ਪ੍ਰਾਪਤੀ,यश
ਪ੍ਰਵਾਨਗੀ,पोचपावती
ਬਣ ਰਹੇ,पावती देय
ਜਾਣ-ਪਛਾਣ,ओळखी
ਗ੍ਰਹਿਣ,संपादन
ਬਰੀ,शोध
ਐਕਟ,कायदा
ਅਦਾਕਾਰੀ ਭੱਤਾ,अभिनय भत्ता
ਕਾਰਵਾਈ,क्रिया
ਕਾਰਵਾਈ ਜੁਗਤ,कृती योजना
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
ਸਰਗਰਮੀ ਨਾਲ,सक्रियपणे
ਕਾਰਜਕਰਤਾ,कार्यकर्ता
ਰੱਬ ਦਾ ਕੰਮ,देवाची करणी
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,गैरवर्तन कायदा
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,कमिशनचे कार्य आणि वगळणे
ਅਸਲ,वास्तविक
ਅਸਲ,वास्तविक
ਅਨੁਕੂਲਤਾ,रुपांतर
ਜੋੜ,या व्यतिरिक्त
ਅਤਿਰਿਕਤ ਚਾਰਜ,अतिरिक्त शुल्क
ਵਾਧੂ ਫੰਡ,अतिरिक्त निधी
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,अतिरिक्त अनुदान
ਵਧੀਕ ਜਾਣਕਾਰੀ,अतिरिक्त माहिती
ਵਾਧੂ ਤਨਖਾਹ,अतिरिक्त वेतन
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,जोड आणि बदल
ਪਤਾ,पत्ता
ਐਡਰੈਸਸ,पत्ता
ਸਵਾਗਤ ਦਾ ਪਤਾ,स्वागताचा पत्ता
ਕਾਫ਼ੀ,पुरेसे
ਦਾ ਪਾਲਣ ਕਰੋ,चे पालन करा
ਐਡ ਹੋਕ,अ‍ॅड हॉक
ਐਡਹਕ ਕਲੇਮ,तदर्थ दावा
ਐਡਹੌਕ ਕਮੇਟੀ,तदर्थ समिती
ਐਡਹੌਕ ਵਾਧਾ,तदर्थ वाढ
