Tamil,Punjabi
அபாகஸ்,abacus
அசாதாரண நிறுத்தம்,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
கருக்கலைப்பு,ਅਧੂਰਾ ਛੱਡੋ
அறுதி,ਅਸੀਮ
முழுமையான முகவரி,ਪੂਰਾ ਪਤਾ
முழுமையான முகவரி,ਪੂਰਨ ਸੰਬੋਧਨ
முழுமையான அசெம்பிளர்,ਪੂਰਨ ਅਸੈਂਬਲਰ
முழுமையான குறியீடு,ਪੂਰਨ ਕੋਡ
முழுமையான கட்டளை,ਪੂਰਨ ਹੁਕਮ
முழுமையான தரவு,ਪੂਰਨ ਡਾਟਾ
முழுமையான அறிவுறுத்தல்,ਪੂਰਨ ਹਿਦਾਇਤ
முழுமையான பயன்முறை,ਪੂਰਨ ਮੋਡ
முழுமையான பாதை,ਪੂਰਨ ਮਾਰਗ
முழுமையான நிரலாக்கம்,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
சுருக்க வர்க்கம்,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
சுருக்க தரவு வகை,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
சுருக்க இயந்திரம்,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
சுருக்க சின்னம்,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
சுருக்க தொடரியல்,ਸੰਖੇਪ ਸੰਟੈਕਸ
ஏற்றுக்கொள்ளும் சோதனை,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
அணுகல் அங்கீகாரம்,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
அணுகல் குறியீடு,ਐਕਸੈਸ ਕੋਡ
நுழைவு கட்டுப்பாடு,ਪਹੁੰਚ ਕੰਟਰੋਲ
அணுகல் ஸ்கேன்,ਐਕਸੈਸ ਸਕੈਨ
துணை,ਸਹਾਇਕ
கணக்கு,ਖਾਤਾ
கணக்கு ஐடி,ਖਾਤਾ ID
திரட்டி,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
துல்லியம்,ਸ਼ੁੱਧਤਾ
அணுகல்,ਪਹੁੰਚ
அணுகல் கட்டுப்பாட்டு பைட்,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
அணுகல் குறியீடு,ਐਕਸੈਸ ਇੰਡੈਕਸ
அணுகல் விசை,ਪਹੁੰਚ ਕੁੰਜੀ
அணுகல் அணி,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
அணுகல் முறை,ਪਹੁੰਚ ਮੋਡ
அணுகல் சலுகை,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
அணுகல் பாதுகாப்பு,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
அணுகல் சேவையகம்,ਪਹੁੰਚ ਸਰਵਰ
அணுகல் நேரம்,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ஒப்புகை,ਮਾਨਤਾ
ஒலியியல்,ਧੁਨੀ ਵਿਗਿਆਨ
சுருக்கம்,ਸੰਖੇਪ ਸ਼ਬਦ
செயல் செய்தி,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
செயல்படுத்துதல்,ਸਰਗਰਮੀ
செயலில் உள்ள சர்வர் பக்கம் (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
செயலில் உள்ள பதிப்பு,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
அசைக்ளிக்,acyclic
அசைக்ளிக் வரைபடம்,acyclic ਗ੍ਰਾਫ਼
அட மொழி,ਅਦਾ ਭਾਸ਼ਾ
அடாப்டர்,ਅਡਾਪਟਰ
கூட்டு,ਸ਼ਾਮਲ ਕਰੋ
கோப்பை சேர்க்க,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
செயல்பாட்டைச் சேர்க்கவும்,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
சேர்ப்பான்,ਜੋੜਨ ਵਾਲਾ
முகவரி,ਪਤਾ
முகவரி பேருந்து,ਪਤਾ ਬੱਸ
முகவரி கோப்பு,ਐਡਰੈੱਸ ਫਾਈਲ
முகவரி வடிவம்,ਪਤਾ ਫਾਰਮੈਟ
முகவரி ஜெனரேட்டர்,ਪਤਾ ਜਨਰੇਟਰ
முகவரி வரி,ਐਡਰੈੱਸ ਲਾਈਨ
முகவரி மேப்பிங்,ਪਤਾ ਮੈਪਿੰਗ
முகவரி சுட்டி,ਪਤਾ ਸੰਕੇਤਕ
முகவரி பதிவு,ਪਤਾ ਰਜਿਸਟਰ
முகவரி தீர்மானம்,ਪਤਾ ਹੱਲ
முகவரி மொழிபெயர்ப்பு,ਪਤਾ ਅਨੁਵਾਦ
நினைவாற்றலை உரையாற்றினார்,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
உரையாற்றுவது,ਸੰਬੋਧਨ
போதுமான அளவுகோல்கள்,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
இணைந்த,adjoint
நிர்வாகம்,ਪ੍ਰਸ਼ਾਸਨ
நிர்வாகி,ਪ੍ਰਬੰਧਕ
அடோப் அக்ரோபேட்,ਅਡੋਬ ਐਕਰੋਬੈਟ
அடோ போட்டோஷாப்,ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ
