Hindi,Kannada
अजीवात् जनन,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
अपसामान्य,ಅಧಿಸಾಮಾನ್ಯ
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
रुद्ध-वृद्धि अंग,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
रुद्ध वृद्धि बीज,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
अवशोषित धनायन,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
अवशोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ऐबिसिनी सरसों,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. ಅಕಾರಿಸೈಡ್
अकेंद्री,ಕೇಂದ್ರಾಭಿಮುಖ
प्रवर्धन (कोशिका),ವರ್ಧನೆ (ಕೋಶ)
स्वीकृत सह्यता,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1.अतिरिक्त 2. सहायक 3. गौण,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
पर्यनुकूलन,ರೂಪಾಂತರ
संचय,ಶೇಖರಣೆ
1.vयथार्थता 2. परिशुद्धता,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. एसर्वुलस 2. बीजाणुपात्र,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. अम्लीकरण 2. अम्लन,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1.अम्लतामापी 2. एसिडीमीटर,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
अम्लता,ಆಮ್ಲೀಯತೆ
अम्लरागी,ಅಸಿಡೋಫೈಲ್
अम्लीकृत रॉक फॉस्फेट,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
अम्लसह,ಆಮ್ಲೀಕೃತ
जलभृत,ಜಲಚರ
अधिग्रहण,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
एकड़,ಎಕರೆ
1.क्षेत्रफल 2. रकबा,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
उपांत बिंदु क्रोमोसोम,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
अग्राभिसारी,ಮುಂದೆ ನೋಡುವ
ऐक्रोसोम,ಅಕ್ರೋಸೋಮ್
एक्टिनोमाइसिटीज,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
सक्रिय मूलक्षेत्र,ಸಕ್ರಿಯ ಕೋರ್
1.उग्र 2. तीव्र,1. ಉಗ್ರ 2. ತೀವ್ರ
अनुकूलनशीलता,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
अनुकूलन,ಗ್ರಾಹಕೀಕರಣ
1. आसंजन 2. अभिलाग,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
वसामय,ಮೇದಸ್ಸಿನ
समायोजन समीकरण,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
