Gujarati,Tamil
એબેલિયન જૂથ,அபெலியன் குழு
અબેલીયન સેમીગ્રુપ,அபிலியன் அரைகுழு
એબ્સીસા,abscissa
સંપૂર્ણ,அறுதி
સંપૂર્ણ સંકલન,முழுமையான ஒருங்கிணைப்பு
સંપૂર્ણ ભૂલ,முழுமையான பிழை
સંપૂર્ણ મહત્તમ,முழுமையான அதிகபட்சம்
સંપૂર્ણ લઘુત્તમ,முழுமையான குறைந்தபட்சம்
સંપૂર્ણ મૂલ્ય,துல்லியமான மதிப்பு
સંપૂર્ણ વેગ,முழுமையான வேகம்
અમૂર્ત બીજગણિત,சுருக்க இயற்கணிதம்
અમૂર્ત જૂથ સિદ્ધાંત,சுருக்க குழு கோட்பாடு
પ્રવેગ,முடுக்கம்
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,புவியீர்ப்பு காரணமாக முடுக்கம்
સ્વીકાર્ય પસંદગી સમૂહ,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
સ્વીકાર્ય ગુણવત્તા સ્તર,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
સ્વીકાર્ય શ્રેણી,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
સ્વીકાર્ય નમૂના,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
સંચિત ભૂલ,திரட்டப்பட்ட பிழை
ચોકસાઈ,துல்லியம்
અભિનય બળ,செயல்படும் சக்தி
ક્રિયા,நடவடிக்கை
ક્રિયા અને પ્રતિક્રિયા,செயல் மற்றும் எதிர்வினை
વાસ્તવિક વિજ્ઞાન,உண்மையான அறிவியல்
તીવ્ર કોણીય ત્રિકોણ,கடுமையான கோண முக்கோணம்
એસાયક્લિક,அசைக்ளிக்
ઉમેરો,கூட்டு
ઉમેરનાર,சேர்ப்பான்
વધુમાં,கூடுதலாக
વધારાનું સૂત્ર,கூட்டல் சூத்திரம்
જટિલ સંખ્યાઓનો ઉમેરો,சிக்கலான எண்களைச் சேர்த்தல்
કાર્યોનો ઉમેરો,செயல்பாடுகளைச் சேர்த்தல்
મેટ્રિસિસનો ઉમેરો,மெட்ரிக்குகள் சேர்த்தல்
બહુપદીનો ઉમેરો,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
સંભાવનાઓનો ઉમેરો,நிகழ்தகவுகளைச் சேர்த்தல்
વેક્ટરનો ઉમેરો,திசையன்கள் சேர்த்தல்
વધારાનું પ્રમેય,கூட்டல் தேற்றம்
ઉમેરણ જૂથ,சேர்க்கை குழு
ઉમેરણ વ્યસ્ત,தலைகீழ் சேர்க்கை
ઉમેરણ મિલકત,சேர்க்கை சொத்து
ઉમેરણ,சேர்க்கை
સંલગ્નતા મેટ્રિક્સ,அருகாமை அணி
અડીને,அருகில்
અડીને આવેલા ખૂણા,அருகில் உள்ள கோணங்கள்
અડીને શિરોબિંદુ,அருகில் உள்ள உச்சி
સંલગ્ન,இணை
સંલગ્ન,அருகில்
સંલગ્ન નિર્ણાયક,இணைந்த தீர்மானிப்பான்
સંલગ્ન વિભેદક સમીકરણ,இணை வேறுபாடு சமன்பாடு
સંલગ્ન સમીકરણ,இணைந்த சமன்பாடு
સંલગ્ન મેટ્રિક્સ,இணை அணி
મેટ્રિક્સનો સંલગ્ન ભાગ,மேட்ரிக்ஸின் இணைப்பு
એડજ્યુગેટ મેટ્રિક્સ,adjugate matrix
સ્વીકાર્ય નિર્ણય કાર્ય,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
સ્વીકાર્ય પૂર્વધારણા,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
એરોડાયનેમિક બળ,காற்றியக்க விசை
એરોડાયનેમિક્સ,காற்றியக்கவியல்
સંલગ્ન ભૂમિતિ,இணைப்பு வடிவியல்
affine મેપિંગ,இணைப்பு மேப்பிங்
સંલગ્ન રૂપાંતર,இணைப்பு மாற்றம்
એકંદર ચલો,ஒருங்கிணைக்கும் மாறிகள்
બીજગણિત,இயற்கணிதம்
બીજગણિતીય રીતે બંધ,இயற்கணிதப்படி மூடப்பட்டது
બીજગણિતીય સમીકરણ,இயற்கணித சமன்பாடு
બીજગણિતીય અભિવ્યક્તિ,இயற்கணித வெளிப்பாடு
બીજગણિત સ્વરૂપ,இயற்கணித வடிவம்
બીજગણિત કાર્ય,இயற்கணித செயல்பாடு
બીજગણિત ભૂમિતિ,இயற்கணித வடிவியல்
બીજગણિત ગુણાકાર,இயற்கணிதப் பெருக்கம்
બીજગણિત સિસ્ટમ,இயற்கணித அமைப்பு
તમામ પૂર્ણાંક સમસ્યા,அனைத்து முழு எண் பிரச்சனை
ફાળવણી સમસ્યા,ஒதுக்கீடு பிரச்சனை
આલ્ફાબેટીકલ નોટેશન,அகரவரிசைக் குறியீடு
આલ્ફાબેટીક અક્ષર,அகரவரிசை எழுத்து
વૈકલ્પિક કોણ,மாற்று கோணம்
વૈકલ્પિક સ્વરૂપ,மாற்று வடிவம்
વૈકલ્પિક જૂથ,மாற்று குழு
વૈકલ્પિક મેટ્રિક્સ,மாற்று அணி
વૈકલ્પિક શ્રેણી,மாற்று தொடர்
વૈકલ્પિક પૂર્વધારણા,மாற்று கருதுகோள்
વૈકલ્પિક ઓપ્ટિમા,மாற்று ஆப்டிமா
વૈકલ્પિક પરિણામ,மாற்று விளைவு
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,அனலாக்-டு-டிஜிட்டல் மாற்றி
એનાલોગ કમ્પ્યુટર,அனலாக் கணினி
વિશ્લેષણ,பகுப்பாய்வு
સહપ્રવૃત્તિનું વિશ્લેષણ,இணையான பகுப்பாய்வு
ગણતરી માહિતીનું વિશ્લેષણ,கணக்கியல் தரவு பகுப்பாய்வு
વિચલનનું વિશ્લેષણ,மாறுபாட்டின் பகுப்பாய்வு
વિશ્લેષણાત્મક ભૂમિતિ,பகுப்பாய்வு வடிவியல்
વિશ્લેષણાત્મક કાર્ય,பகுப்பாய்வு செயல்பாடு
કોણ,கோணம்
સંપર્ક કોણ,தொடர்பு கோணம்
વિચલન કોણ,விலகல் கோணம்
હતાશાનો કોણ,மனச்சோர்வின் கோணம்
વિચલન કોણ,விலகல் கோணம்
વિવર્તન કોણ,விலகல் கோணம்
એલિવેશન કોણ,உயரத்தின் கோணம்
ઘટના કોણ,நிகழ்வு கோணம்
પ્રક્ષેપણ કોણ,திட்ட கோணம்
પ્રતિબિંબ કોણ,பிரதிபலிப்பு கோணம்
રીફ્રેક્શન કોણ,ஒளிவிலகல் கோணம்
પરિભ્રમણ કોણ,சுழற்சி கோணம்
કુલ પ્રતિબિંબ કોણ,மொத்த பிரதிபலிப்பு கோணம்
