Malayalam,Punjabi
അബെലിയൻ ഗ്രൂപ്പ്,ਅਬੇਲੀਅਨ ਸਮੂਹ
അബെലിയൻ സെമിഗ്രൂപ്പ്,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
കേവല,ਅਸੀਮ
കേവലമായ ഒത്തുചേരൽ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
സമ്പൂർണ്ണ പിശക്,ਪੂਰਨ ਗਲਤੀ
കേവല പരമാവധി,ਪੂਰਨ ਅਧਿਕਤਮ
സമ്പൂർണ്ണ മിനിമം,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
യഥാർത്ഥ മൂല്യം,ਸਹੀ ਮੁੱਲ
കേവല വേഗത,ਪੂਰਨ ਗਤੀ
അമൂർത്ത ബീജഗണിതം,ਸਾਰ ਅਲਜਬਰਾ
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ത്വരണം,ਪ੍ਰਵੇਗ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
സ്വീകാര്യമായ നിലവാരം,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
സ്വീകാര്യമായ ശ്രേണി,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
സ്വീകാര്യമായ വിശ്വാസ്യത നില,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
സ്വീകാര്യമായ സാമ്പിൾ,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
സഞ്ചിത പിശക്,ਸੰਚਿਤ ਗਲਤੀ
കൃത്യത,ਸ਼ੁੱਧਤਾ
പ്രവർത്തന ശക്തി,ਐਕਟਿੰਗ ਫੋਰਸ
നടപടി,ਕਾਰਵਾਈ
പ്രവർത്തനവും പ്രതികരണവും,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
യഥാർത്ഥ ശാസ്ത്രം,ਅਸਲ ਵਿਗਿਆਨ
നിശിത കോണുള്ള ത്രികോണം,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
അസൈക്ലിക്,acyclic
ചേർക്കുക,ਸ਼ਾਮਲ ਕਰੋ
ചേർക്കുന്നയാൾ,ਜੋੜਨ ਵਾਲਾ
കൂട്ടിച്ചേർക്കൽ,ਇਸ ਤੋਂ ਇਲਾਵਾ
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,ਜੋੜ ਫਾਰਮੂਲਾ
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,ਬਹੁਪਦ ਦਾ ਜੋੜ
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,ਵੈਕਟਰ ਦਾ ਜੋੜ
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,ਵਾਧੂ ਪ੍ਰਮੇਯ
സങ്കലന ഗ്രൂപ്പ്,additive ਗਰੁੱਪ
വിപരീത വിപരീതം,additive ਉਲਟ
അഡിറ്റീവ് പ്രോപ്പർട്ടി,additive ਸੰਪਤੀ
അഡിറ്റിവിറ്റി,additivity
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
തൊട്ടടുത്തുള്ള,ਨੇੜੇ
അടുത്തുള്ള കോണുകൾ,ਨੇੜੇ ਦੇ ਕੋਣ
തൊട്ടടുത്തുള്ള ശീർഷകം,ਨੇੜੇ ਦਾ ਸਿਰਾ
ചേരുക,ਨਾਲ ਜੁੜੋ
തൊട്ടടുത്തുള്ള,ਨਾਲ ਲੱਗਦੇ
അനുബന്ധ ഡിറ്റർമിനന്റ്,ਸੰਜੋਗ ਨਿਰਧਾਰਕ
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
അനുബന്ധ സമവാക്യം,ਸੰਜੋਗ ਸਮੀਕਰਨ
അനുബന്ധ മാട്രിക്സ്,ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ
മാട്രിക്സിന്റെ അനുബന്ധം,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
അഡ്ജുഗേറ്റ് മാട്രിക്സ്,ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
അനുവദനീയമായ അനുമാനം,ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ
എയറോഡൈനാമിക് ശക്തി,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
എയറോഡൈനാമിക്സ്,ਐਰੋਡਾਇਨਾਮਿਕਸ
അഫൈൻ ജ്യാമിതി,affine ਜਿਓਮੈਟਰੀ
അഫൈൻ മാപ്പിംഗ്,affine ਮੈਪਿੰਗ
അഫൈൻ പരിവർത്തനം,affine ਪਰਿਵਰਤਨ
അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ,ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ
ബീജഗണിതം,ਅਲਜਬਰਾ
ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു,ਬੀਜਗਣਿਤ ਬੰਦ
ബീജഗണിത സമവാക്യം,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
ബീജഗണിത പദപ്രയോഗം,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
ബീജഗണിത രൂപം,ਬੀਜਗਣਿਤ ਰੂਪ
ബീജഗണിത പ്രവർത്തനം,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
ബീജഗണിത ജ്യാമിതി,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
ബീജഗണിത ഗുണിതം,ਬੀਜਗਣਿਤ ਗੁਣਾ
ബീജഗണിത വ്യവസ്ഥ,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
വിഹിതം പ്രശ്നം,ਵੰਡ ਸਮੱਸਿਆ
അക്ഷരമാലാ ക്രമം,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
അക്ഷരമാലാക്രമം,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
ഇതര കോൺ,ਵਿਕਲਪਕ ਕੋਣ
ഒന്നിടവിട്ട രൂപം,ਬਦਲਵੇਂ ਰੂਪ
ഇതര ഗ്രൂപ്പ്,ਬਦਲਵੇਂ ਸਮੂਹ
ഒന്നിടവിട്ട മാട്രിക്സ്,ਬਦਲਵੀਂ ਮੈਟਰਿਕਸ
ഒന്നിടവിട്ട പരമ്പര,ਬਦਲਵੀਂ ਲੜੀ
ഇതര സിദ്ധാന്തം,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
ഇതര ഒപ്റ്റിമ,ਵਿਕਲਪਕ ਅਨੁਕੂਲਤਾ
ഇതര ഫലം,ਵਿਕਲਪਕ ਨਤੀਜਾ
