Kannada,Hindi
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,रुद्ध-वृद्धि अंग
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,रुद्ध वृद्धि बीज
ಗರ್ಭಪಾತ,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
ಸಂಪೂರ್ಣ ಕಳೆ,"अवांछित अपतृण, पूर्ण खरपतवार"
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,अवशोषित धनायन
ಹೀರುವಿಕೆ,अवशोषण
ಪ್ರಪಾತದ ಸಾಸಿವೆ,ऐबिसिनी सरसों
ಉಜ್ಜೆ,"एकेरेसनाशी, चिचड़ीनाशी"
ಉಪನಾಮದ,अकेंद्री
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),प्रवर्धन (कोशिका)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,स्वीकृत सहायता
ಪರಿಕರ,"अतिरिक्त, सहायक, गौण"
ಒಗ್ಗೂಡಿಸುವಿಕೆ,पर्यनुकूलन
ಸಂಗ್ರಹಣೆ,संचय
ನಿಖರತೆ,"यथार्थता, परिशुद्धता"
ಕಸಚೂಕು,"एसर्वुलस, बीजाणुपात्र"
ಸಮಗ್ರೀಕರಣ,"ऐसीटीकरण, सिरका बनाना"
ಆಮ್ಲೀಕರಣ,"अम्लीकरण, अम्लन"
ಆಚಿಮೀಟರ್ ಚೀಟಿ,"अम्लतामापी, एसिडीमीटर"
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,अम्लता
ಸಿಹಿನೀರಿನ,अम्लरागी
ಆಮ್ಲೀಯ,अम्लीकृत रॉक फॉस्फेट
ಸಂಚೇಮದ,अम्लसह
ಜಲಚರಗಳು,जलभृत
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,अधिग्रहण
ಎಕರೆ,एकड़
ಎಕರೆ,"क्षेत्रफल, रकबा"
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,उपांत बिंदु क्रोमोसोम
ಖುಷಿಯ,अग्राभिसारी
ಸುಣ್ಣ,ऐक्रोसोम
ಅಂಧ,एक्टिनोमाइसिटीज
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,सक्रिय मूलक्षेत्र
ತೀವ್ರ,"उग्र, तीव्र"
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलनशीलता
ರೂಪಾಂತರ,अनुकूलन
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,"आसंजन, अभिलाग, बन्ध"
ಅಡಿ,वसामय
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,समायोजन समीकरण
ಮಣ್ಣು,ऐडोब मृदा
ವ್ಯಭಿಚಾರಮಾಡುವ,अपमिश्रक
ಸಾಹಸದ,अपस्थानिक
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,"एसीडियोस्पोर, एसीडियम बीजाणु"
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,वातोढ़ प्रक्रिया
ಅಯೋಲಿಯನ್,वातोढ़
ಗಾಳಿಗೊಡ್ಡು,वातन करना
ವೈಮಾನಿಕ,"वायव, आकाशी"
ವಾಯುಮಾಪಕ,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
ವಾಯುಪಾವತಿ,ऐरोसॉल
ಅಸ್ವಸ್ಥತೆ,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
ಸಂಯಮ,वनरोपण
ಆಂದೋಲನ,"विलोडन, प्रक्षोभन"
ಅಣಕೇಡು,"ऐगमार्क, कृष्यंक"
ಕೃಷಿ,"भूमी संबंधी, कृषि संबंधी"
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,कृषि निदानालय
ಕೃಷಿ ದುಡಿಮೆ,"कृषि श्रम, खेतिहर मजदूर"
ಕೃಷಿ ಮಾರಾಟ,कृषि विपणन
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,कृषि प्रद्योगिकी
ಕೃಷಿ,"कृषि, खेतीबारी, कृषि विज्ञान"
ಕೃಪಣಸಾಮರಿ,कृषि वनवर्धन
