Punjabi,Bengali
abacus,অ্যাবাকাস
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,অস্বাভাবিক সমাপ্তি
ਅਧੂਰਾ ਛੱਡੋ,গর্ভপাত
ਅਸੀਮ,পরম
ਪੂਰਾ ਪਤਾ,পরম ঠিকানা
ਪੂਰਨ ਸੰਬੋਧਨ,পরম ঠিকানা
ਪੂਰਨ ਅਸੈਂਬਲਰ,পরম সংযোজনকারী
ਪੂਰਨ ਕੋਡ,পরম কোড
ਪੂਰਨ ਹੁਕਮ,পরম আদেশ
ਪੂਰਨ ਡਾਟਾ,পরম তথ্য
ਪੂਰਨ ਹਿਦਾਇਤ,পরম নির্দেশ
ਪੂਰਨ ਮੋਡ,পরম মোড
ਪੂਰਨ ਮਾਰਗ,পরম পথ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,পরম প্রোগ্রামিং
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,বিমূর্ত ক্লাস
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,বিমূর্ত তথ্য প্রকার
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,বিমূর্ত মেশিন
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,বিমূর্ত প্রতীক
ਸੰਖੇਪ ਸੰਟੈਕਸ,বিমূর্ত বাক্য গঠন
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,স্বীকৃতি যাচাইকরণ
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,অ্যাক্সেস প্রমাণীকরণ
ਐਕਸੈਸ ਕੋਡ,প্রবেশাধিকার কোড
ਪਹੁੰਚ ਕੰਟਰੋਲ,প্রবেশাধিকার নিয়ন্ত্রণ
ਐਕਸੈਸ ਸਕੈਨ,অ্যাক্সেস স্ক্যান
ਸਹਾਇਕ,আনুষঙ্গিক
ਖਾਤਾ,অ্যাকাউন্ট
ਖਾਤਾ ID,অ্যাকাউন্ট আইডি
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,সঞ্চয়কারী
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਪਹੁੰਚ,অ্যাক্সেস
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ਐਕਸੈਸ ਇੰਡੈਕਸ,অ্যাক্সেস সূচক
ਪਹੁੰਚ ਕੁੰਜੀ,অ্যাক্সেস কী
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,অ্যাক্সেস ম্যাট্রিক্স
ਪਹੁੰਚ ਮੋਡ,অ্যাক্সেস মোড
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,প্রবেশাধিকার
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,অ্যাক্সেস নিরাপত্তা
ਪਹੁੰਚ ਸਰਵਰ,অ্যাক্সেস সার্ভার
