Tamil,Punjabi
அபாக்ஸியல் மேற்பரப்பு,ਐਬੈਕਸਿਅਲ ਸਤਹ
அடிவயிறு,ਪੇਟ
வயிற்று பெருநாடி,ਪੇਟ AORTA
வயிற்று கேங்க்லியா,ਪੇਟ ਗੰਗਾਲੀਆ
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
மாறுபாடு,ਅਸਧਾਰਨ
அபிஸ்,ਅੱਛਾ
அபிங்டன் ஆமை,ਅਬਿੰਗਡਨ ਕਛੂਆ
அபியோஜெனெஸிஸ்,ਅਬੀਓਜੀਨੇਸਿਸ
அஜியோடிக்,ਅਬੀਓਟਿਕ
அஜியோடிக் காரணி,ਅਬੀਓਟਿਕ ਕਾਰਕ
அசாதாரண சிறுநீர்,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
ABO இரத்தக் குழு,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
அப்சிசிக் அமிலம்,Abscisic ਐਸਿਡ
கஷ்டம்,ਵਿਵੇਕ
உறிஞ்சும்,ਸੋਖਣਾ
உறிஞ்சுதல் உச்சம்,ਸਮਾਈ ਪੀਕ
உறிஞ்சுதல்,ਸਮਾਈ
அகாசியா கேடெச்சு,ਅੱਕੀਆ ਕੈਟੂਯੂ
அகாரியா அரபிகா,ਅਕਾਰੀਆ ਅਰਬੀ
அகப்ரின்,ਐਕਾਪ੍ਰਿਨ
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
துணை சுரப்பி,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
துணை சுரப்பி,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
துணை உறுப்பு,ਸਹਾਇਕ ਅੰਗ
பழக்கவழக்கமயமாக்கல்,ਅਨੁਕੂਲਤਾ
பழக்கப்படுத்துங்கள்,ਅਹਿਮ
தங்குமிடம் (கவனம் செலுத்துதல்),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
கண் தங்குமிடம்,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
திரட்டல் வளர்ச்சி,ਅਦਭੁਤ ਵਾਧਾ
குவிப்பு,ਇਕੱਠਾ
கரிமப் பொருட்களின் குவிப்பு,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
மண்ணின் குவிப்பு,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
அசெல்லுலர்,ਐਸੀਲੂਲਰ
அசெல்லுலர் உயிரினம்,ਐਸੀਲੂਲਰ ਜੀਵ
அசிடபூலம்,ਐਸੀਟੌਮੂਲਮ
அசிடால்டிஹைட்,ਐਸੀਟਲਾਈਡਾਈਡ
அசிடைல் கோஎன்சைம்,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
அச்சாடினா,ਅਮੀਥਿਨਾ
அச்சீன் வகை,ਅੱਕੇ
அச்சீன்,ਅਕੇਸ਼ੀ
அச்ச்சைடோஸ்போரே,AchlamyDosporeae
அமில மழை,ਐਸਿਡ ਬਾਰਸ਼
அமிலத்தன்மை,ਤੇਜਾਬ
அமில வாயு,ਤੇਜ਼ਾਬ ਗੈਸ
அமிலத்தன்மை,ਐਸਿਡਿਟੀ
அசிநார் செல்,ਐਕਸੀਨਰ ਸੈੱਲ
அகோலோமேட்,ਆਕੋਲੀਓਮੈਟ
அகோனிட்டம்,ਐਕੋਨਿਟਮ
ஏகோர்ன் புழு,ਐਕੋਰਨ ਕੀੜਾ
ஒலி மண்டலம்,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
வாங்கிய எழுத்து,ਪਾਤਰ ਪਾਤਰ
நோய் எதிர்ப்பு சக்தி,ਸੀਮਤ ਸੀਮਤ
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
அக்னியா,ਅਰੇਂੀਆ
அக்ரிடைன் சாயம்,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
அக்ரோஷென்ட்ரிக்,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
