Odiya,Tamil
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,அபெலியன் குழு
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,அபிலியன் அரைகுழு
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,அறுதி
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,முழுமையான ஒருங்கிணைப்பு
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,முழுமையான பிழை
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,முழுமையான அதிகபட்சம்
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,முழுமையான குறைந்தபட்சம்
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,துல்லியமான மதிப்பு
ସଂପୂର୍ଣ୍ଣ ବେଗ,முழுமையான வேகம்
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,சுருக்க இயற்கணிதம்
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,சுருக்க குழு கோட்பாடு
ତ୍ୱରଣ,முடுக்கம்
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,புவியீர்ப்பு காரணமாக முடுக்கம்
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
ଗ୍ରହଣୀୟ ପରିସର |,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
ଗ୍ରହଣୀୟ ନମୁନା,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
ସଂଗୃହିତ ତ୍ରୁଟି |,திரட்டப்பட்ட பிழை
ସଠିକତା,துல்லியம்
ଅଭିନୟ ଶକ୍ତି,செயல்படும் சக்தி
କାର୍ଯ୍ୟ,நடவடிக்கை
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,செயல் மற்றும் எதிர்வினை
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,உண்மையான அறிவியல்
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,கடுமையான கோண முக்கோணம்
acyclic,அசைக்ளிக்
ଯୋଡନ୍ତୁ |,கூட்டு
ଆଡର୍,சேர்ப்பான்
ଯୋଗ,கூடுதலாக
ଯୋଗ ସୂତ୍ର,கூட்டல் சூத்திரம்
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,சிக்கலான எண்களைச் சேர்த்தல்
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,செயல்பாடுகளைச் சேர்த்தல்
ମାଟ୍ରିକ୍ସର ଯୋଗ,மெட்ரிக்குகள் சேர்த்தல்
ବହୁଭାଷୀ ଯୋଗ |,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,நிகழ்தகவுகளைச் சேர்த்தல்
ଭେକ୍ଟର ଯୋଗ,திசையன்கள் சேர்த்தல்
ଯୋଗ ତତ୍ତ୍ୱ,கூட்டல் தேற்றம்
ଯୋଗୀ ଗୋଷ୍ଠୀ |,சேர்க்கை குழு
ଯୋଗୀ ଓଲଟା |,தலைகீழ் சேர்க்கை
ଯୋଗୀ ସମ୍ପତ୍ତି |,சேர்க்கை சொத்து
ଯୋଗୀତା |,சேர்க்கை
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,அருகாமை அணி
ସଂଲଗ୍ନ,அருகில்
ସଂଲଗ୍ନ କୋଣ,அருகில் உள்ள கோணங்கள்
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,அருகில் உள்ள உச்சி
ସଂଲଗ୍ନ,இணை
ସଂଲଗ୍ନ,அருகில்
ନିର୍ଣ୍ଣୟକାରୀ,இணைந்த தீர்மானிப்பான்
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,இணை வேறுபாடு சமன்பாடு
ସମୀକରଣ,இணைந்த சமன்பாடு
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,இணை அணி
ମାଟ୍ରିକ୍ସର ଯୋଗ,மேட்ரிக்ஸின் இணைப்பு
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,adjugate matrix
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
ଗ୍ରହଣୀୟ ଅନୁମାନ,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,காற்றியக்க விசை
ଏରୋଡାଇନାମିକ୍ସ |,காற்றியக்கவியல்
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,இணைப்பு வடிவியல்
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,இணைப்பு மேப்பிங்
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,இணைப்பு மாற்றம்
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,ஒருங்கிணைக்கும் மாறிகள்
ବୀଜ ବିବେଚନା,இயற்கணிதம்
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,இயற்கணிதப்படி மூடப்பட்டது
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,இயற்கணித சமன்பாடு
ବୀଜ ବର୍ଣ୍ଣନା,இயற்கணித வெளிப்பாடு
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,இயற்கணித வடிவம்
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,இயற்கணித செயல்பாடு
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,இயற்கணித வடிவியல்
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,இயற்கணிதப் பெருக்கம்
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,இயற்கணித அமைப்பு
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,அனைத்து முழு எண் பிரச்சனை
