Bengali,Gujarati
ওয়েস্টমিনস্টারের অ্যাবে,વેસ્ટમિન્સ્ટરના એબી
বর্জনীয়,ત્યાગી
দাসত্বের সমাপ্তি,ગુલામી નાબૂદી
আদিবাসী,એબોરિજિનલ
আব্রাহাম যুগ,અબ્રાહમ યુગ
অনুপস্থিত জমির মালিক,ગેરહાજર મકાનમાલિકો
একাডেমী,એકેડમી
আকরা সম্মেলন,અકરા કોન્ફરન્સ
সঞ্চয়,સંસાધનો
সংগ্রহ,સંવર્ધન
অ্যাসেলডামা,એસેલડામા
আচিয়ান (=আচিয়ান),અચેઅન (=અચિયન)
আচিয়ান লীগ (=আচিয়ান লীগ),આચિયન લીગ (=એચિયન લીગ)
অ্যাক্রোপলিস,એક્રોપોલિસ
Acta Diurna,એક્ટા દીર્ના
Acta Senatus,એક્ટા સેનાટસ
অ্যাক্ট অ্যাডিশনেল,એક્ટ એડિશનલ
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
প্রাপ্তির কাজ,પ્રાપ્ત કરનારનું કાર્ય
ক্ষতিপূরণ এবং বিস্মৃতির আইন,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
নিষ্পত্তির আইন,સમાધાનનો અધિનિયમ
বিজ্ঞাপন চুক্তি সীল,જાહેરાત કરાર સીલ
আদুল্লামাইটস,અદુલ્લામાઈટસ
প্রতিপক্ষ,વિરોધી
প্রতিপক্ষ,વિરોધી
Aeon,એઓન
এরারিয়াম,એરેરિયમ
বায়বীয় যুদ্ধ,હવાઈ યુદ્ધ
এটোলিয়ান লীগ,એટોલિયન લીગ
বয়স,ઉંમર
বার্ধক্য (=বার্ধক্য),વૃદ્ધત્વ (=વૃદ્ધત્વ)
বার্ধক্য প্রক্রিয়া,વૃદ્ધત્વ પ્રક્રિયા
এগেলাই,અગેલાઈ
বীরত্বের বয়স,શૌર્યની ઉંમર
এনলাইটমেন্টের বয়স,જ્ઞાનની ઉંમર
পেরিক্লেসের বয়স,પેરિકલ્સની ઉંમર
কারণ বয়স,કારણની ઉંમર
কৃষিবাদ,કૃષિવાદ
কৃষি আন্দোলন,કૃષિ આંદોલન
অ্যালবিয়ন,એલ્બિયન
অ্যালবাম,આલ્બમ
অল্ডারম্যান,એલ્ડરમેન
লোভনীয় অস্ত্র,મોહક શસ્ત્રો
বন্ধুত্ব,સૌમ્યતા
অ্যাম্ফিক্টোনিক কাউন্সিল,એમ્ફિક્ટિઓનિક કાઉન્સિલ
Amphictyonic লীগ,એમ્ફિક્ટિઓનિક લીગ
অ্যাম্ফিথিয়েটার,એમ્ફીથિયેટર
আমরি নল দল (মৃৎপাত্রের),અમરી નલ જૂથ (માટીના વાસણો)
অ্যানাক্রোনিজম,અનાક્રોનિઝમ
অ্যানাক্রোনিস্টিক,એનાક્રોનિસ્ટિક
পূর্বপুরুষ,પૂર્વજ
পূর্ব পুরুষের পুজা,પૂર્વજની પૂજા
বংশ,વંશ
বংশ,વંશ
বংশ,વંશ
বংশ,વંશ
