Gujarati,Hindi
એબેલિયન જૂથ,आबेली समूह
અબેલીયન સેમીગ્રુપ,आबेली सामिसमूह
એબ્સીસા,भुज
સંપૂર્ણ,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
સંપૂર્ણ સંકલન,निरपेक्ष अभिसरण
સંપૂર્ણ ભૂલ,निरपेक्ष त्रुटि
સંપૂર્ણ મહત્તમ,परम उच्चिष्ठ
સંપૂર્ણ લઘુત્તમ,परम निम्निष्ठ
સંપૂર્ણ મૂલ્ય,निरपेक्ष मान
સંપૂર્ણ વેગ,निरपेक्ष वेग
અમૂર્ત બીજગણિત,अमूर्त बीजगणित
અમૂર્ત જૂથ સિદ્ધાંત,अमूर्त समूह सिद्‌धांत
પ્રવેગ,त्वरण
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,गुरुत्वीय त्वरण
સ્વીકાર્ય પસંદગી સમૂહ,स्वीकार्य वरण-समुच्चय
સ્વીકાર્ય ગુણવત્તા સ્તર,स्वीकार्य गुणता स्तर
સ્વીકાર્ય શ્રેણી,स्वीकार्य परिसर
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,मान्य विश्वसनीयता स्तर
સ્વીકાર્ય નમૂના,स्वीकरण-प्रतिचयन
સંચિત ભૂલ,संचित त्रुटि
ચોકસાઈ,यथार्थता
અભિનય બળ,लगा हुआ बल
ક્રિયા," क्रिया , कर्म"
ક્રિયા અને પ્રતિક્રિયા,क्रिया और प्रतिक्रिया
વાસ્તવિક વિજ્ઞાન,बीमा विज्ञान
તીવ્ર કોણીય ત્રિકોણ,न्यूनकोण त्रिभुज
એસાયક્લિક,अचक्रीय
ઉમેરો,"योग करना, जोड़ना"
ઉમેરનાર,योजक
વધુમાં,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
વધારાનું સૂત્ર,योग का सूत्र
જટિલ સંખ્યાઓનો ઉમેરો,सम्मिश्र संख्याओं का योग
કાર્યોનો ઉમેરો,फलनों का योग
મેટ્રિસિસનો ઉમેરો,आव्यूहों का योग
બહુપદીનો ઉમેરો,बहुपदों का योग
સંભાવનાઓનો ઉમેરો,प्रायिकताओं का योग
વેક્ટરનો ઉમેરો,सदिशों का योग
વધારાનું પ્રમેય,"योग प्रमेय बेरीज सिद्‌धांत,"
ઉમેરણ જૂથ,योज्य समूह
ઉમેરણ વ્યસ્ત,योज्य व्युत्क्रम
ઉમેરણ મિલકત,"योज्यता, योगशीलता"
ઉમેરણ,योज्यता
સંલગ્નતા મેટ્રિક્સ,आसन्नता आव्यूह
અડીને," संलग्न, निकटवर्ती , आसन्न"
અડીને આવેલા ખૂણા,आसन्न कोण
અડીને શિરોબિંદુ,आसन्न शीर्ष
સંલગ્ન,सहबद्‌ध करना
સંલગ્ન,"संलग्न संलग्नीत,"
સંલગ્ન નિર્ણાયક,सहखंडज सारणिक
સંલગ્ન વિભેદક સમીકરણ,संलग्न अवकल समीकरण
સંલગ્ન સમીકરણ,संलग्न समीकरण
સંલગ્ન મેટ્રિક્સ,सहखंडज आव्यूह
મેટ્રિક્સનો સંલગ્ન ભાગ,आव्यूह सहखंडज
એડજ્યુગેટ મેટ્રિક્સ,सहखंडज आव्यूह
સ્વીકાર્ય નિર્ણય કાર્ય,ग्राह्य निर्णय फलन
સ્વીકાર્ય પૂર્વધારણા,ग्राह्य परिकल्पना
એરોડાયનેમિક બળ,वायुगतिक बल
એરોડાયનેમિક્સ,वायु गतिकी
સંલગ્ન ભૂમિતિ,सजातीय ज्यामिति
affine મેપિંગ,सजातीय प्रतिचित्रण
સંલગ્ન રૂપાંતર,सजातीय रूपांतरण
એકંદર ચલો,समुच्चयी चर
બીજગણિત," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
બીજગણિતીય રીતે બંધ,"बीजतः संवृत, बीजतः"
બીજગણિતીય સમીકરણ,बीजीय समीकरण
બીજગણિતીય અભિવ્યક્તિ,बीजीय व्यंजक
બીજગણિત સ્વરૂપ,बीजीय समघात
બીજગણિત કાર્ય,बीजीय फलन
બીજગણિત ભૂમિતિ,बीजीय ज्यामिति
બીજગણિત ગુણાકાર,बीजीय बहुकता
બીજગણિત સિસ્ટમ,बीजीय निकाय
તમામ પૂર્ણાંક સમસ્યા,सर्व-पूर्णांक समस्या
ફાળવણી સમસ્યા,"नियतन समस्या वाटपप्रश्न,"
આલ્ફાબેટીકલ નોટેશન,अक्षरात्मक संकेत पद्‌धति
આલ્ફાબેટીક અક્ષર,अक्षरात्मक संप्रतीक
વૈકલ્પિક કોણ,एकांतर कोण
વૈકલ્પિક સ્વરૂપ,"एकांतर समघात प्रत्यावर्ती रूप,"
વૈકલ્પિક જૂથ,एकांतर समूह
વૈકલ્પિક મેટ્રિક્સ,एकांतर आव्यूह
વૈકલ્પિક શ્રેણી,एकांतर श्रेणी
વૈકલ્પિક પૂર્વધારણા,वैकल्पिक परिकल्पना
વૈકલ્પિક ઓપ્ટિમા,वैकल्पिक इष्टमत
વૈકલ્પિક પરિણામ,वैकल्पिक परिणाम
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,अनुरूप-अंकीय परिवर्तक
એનાલોગ કમ્પ્યુટર,"अनुरूप कम्प्यूटर,"
વિશ્લેષણ,विश्लेषण
સહપ્રવૃત્તિનું વિશ્લેષણ,सहप्रसरण-विश्लेषण
ગણતરી માહિતીનું વિશ્લેષણ,गणन-आंकड़ों का विश्लेषण
વિચલનનું વિશ્લેષણ,प्रसरण-विश्लेषण
વિશ્લેષણાત્મક ભૂમિતિ,विश्लेषिक ज्यामिति
વિશ્લેષણાત્મક કાર્ય,विश्लेषिक फलन
કોણ,कोण
સંપર્ક કોણ,स्पर्श-कोण
વિચલન કોણ,विक्षेप-कोण
હતાશાનો કોણ,अवनमन-कोण
વિચલન કોણ,विचलन-कोण
વિવર્તન કોણ,विवर्तन-कोण
એલિવેશન કોણ,उन्नयन-कोण
ઘટના કોણ,आपतन-कोण
પ્રક્ષેપણ કોણ,प्रक्षेप-कोण
