Punjabi,Kannada
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
ਅਲੌਕਿਕ,ಅಧಿಸಾಮಾನ್ಯ
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
ਲੀਨ cation,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. ਐਕਰੀਸਾਈਡ,1. ಅಕಾರಿಸೈಡ್
centripetal,ಕೇಂದ್ರಾಭಿಮುಖ
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),ವರ್ಧನೆ (ಕೋಶ)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
ਅਨੁਕੂਲਨ,ರೂಪಾಂತರ
ਇਕੱਠਾ ਕਰਨਾ,ಶೇಖರಣೆ
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
