Malayalam,Marathi
അബാക്കസ്,अॅबॅकस
അസാധാരണമായ അവസാനിപ്പിക്കൽ,असामान्य समाप्ती
ഉപേക്ഷിക്കുക,गर्भपात
കേവല,निरपेक्ष
സമ്പൂർണ്ണ വിലാസം,परिपूर्ण पत्ता
സമ്പൂർണ്ണ അഭിസംബോധന,निरपेक्ष संबोधन
കേവല അസംബ്ലർ,परिपूर्ण असेंबलर
കേവല കോഡ്,परिपूर्ण कोड
സമ്പൂർണ്ണ കമാൻഡ്,निरपेक्ष आज्ञा
സമ്പൂർണ്ണ ഡാറ്റ,परिपूर्ण डेटा
സമ്പൂർണ്ണ നിർദ്ദേശം,परिपूर्ण सूचना
കേവല മോഡ്,परिपूर्ण मोड
കേവല പാത,परिपूर्ण मार्ग
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,परिपूर्ण प्रोग्रामिंग
അമൂർത്ത ക്ലാസ്,अमूर्त वर्ग
അമൂർത്ത ഡാറ്റ തരം,अमूर्त डेटा प्रकार
അമൂർത്ത യന്ത്രം,अमूर्त मशीन
അമൂർത്ത ചിഹ്നം,अमूर्त चिन्ह
അമൂർത്തമായ വാക്യഘടന,अमूर्त वाक्यरचना
സ്വീകാര്യത പരിശോധന,स्वीकृती चाचणी
ആക്സസ് പ്രാമാണീകരണം,प्रवेश प्रमाणीकरण
പ്രവേശന കോഡ്,प्रवेश कोड
പ്രവേശന നിയന്ത്രണം,प्रवेश नियंत्रण
ആക്സസ് സ്കാൻ,प्रवेश स्कॅन
ഉപസാധനം,ऍक्सेसरी
അക്കൗണ്ട്,खाते
അക്കൗണ്ട് ID,खाते आयडी
ശേഖരണം,संचयक
കൃത്യത,अचूकता
പ്രവേശനം,प्रवेश
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,ऍक्सेस कंट्रोल बाइट
പ്രവേശന സൂചിക,प्रवेश निर्देशांक
ആക്സസ് കീ,प्रवेश की
ആക്സസ് മാട്രിക്സ്,ऍक्सेस मॅट्रिक्स
ആക്സസ് മോഡ്,प्रवेश मोड
ആക്സസ് പ്രിവിലേജ്,प्रवेश विशेषाधिकार
ആക്സസ് സുരക്ഷ,प्रवेश सुरक्षा
ആക്സസ് സെർവർ,ऍक्सेस सर्व्हर
പ്രവേശന സമയം,प्रवेश वेळ
അംഗീകാരം,पोचपावती
