Bengali,Marathi
অ্যাবাকাস,अॅबॅकस
অস্বাভাবিক সমাপ্তি,असामान्य समाप्ती
গর্ভপাত,गर्भपात
পরম,निरपेक्ष
পরম ঠিকানা,परिपूर्ण पत्ता
পরম ঠিকানা,निरपेक्ष संबोधन
পরম সংযোজনকারী,परिपूर्ण असेंबलर
পরম কোড,परिपूर्ण कोड
পরম আদেশ,निरपेक्ष आज्ञा
পরম তথ্য,परिपूर्ण डेटा
পরম নির্দেশ,परिपूर्ण सूचना
পরম মোড,परिपूर्ण मोड
পরম পথ,परिपूर्ण मार्ग
পরম প্রোগ্রামিং,परिपूर्ण प्रोग्रामिंग
বিমূর্ত ক্লাস,अमूर्त वर्ग
বিমূর্ত তথ্য প্রকার,अमूर्त डेटा प्रकार
বিমূর্ত মেশিন,अमूर्त मशीन
বিমূর্ত প্রতীক,अमूर्त चिन्ह
বিমূর্ত বাক্য গঠন,अमूर्त वाक्यरचना
স্বীকৃতি যাচাইকরণ,स्वीकृती चाचणी
অ্যাক্সেস প্রমাণীকরণ,प्रवेश प्रमाणीकरण
প্রবেশাধিকার কোড,प्रवेश कोड
প্রবেশাধিকার নিয়ন্ত্রণ,प्रवेश नियंत्रण
অ্যাক্সেস স্ক্যান,प्रवेश स्कॅन
আনুষঙ্গিক,ऍक्सेसरी
অ্যাকাউন্ট,खाते
অ্যাকাউন্ট আইডি,खाते आयडी
সঞ্চয়কারী,संचयक
সঠিকতা,अचूकता
অ্যাক্সেস,प्रवेश
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ऍक्सेस कंट्रोल बाइट
অ্যাক্সেস সূচক,प्रवेश निर्देशांक
অ্যাক্সেস কী,प्रवेश की
অ্যাক্সেস ম্যাট্রিক্স,ऍक्सेस मॅट्रिक्स
অ্যাক্সেস মোড,प्रवेश मोड
প্রবেশাধিকার,प्रवेश विशेषाधिकार
অ্যাক্সেস নিরাপত্তা,प्रवेश सुरक्षा
অ্যাক্সেস সার্ভার,ऍक्सेस सर्व्हर
অ্যাক্সেস সময়,प्रवेश वेळ
স্বীকৃতি,पोचपावती
ধ্বনিবিদ্যা,ध्वनीशास्त्र
সংক্ষিপ্ত রূপ,परिवर्णी शब्द
কর্ম বার্তা,क्रिया संदेश
সক্রিয়করণ,सक्रियकरण
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),सक्रिय सर्व्हर पृष्ठ (एएसपी)
সক্রিয় সংস্করণ,सक्रिय आवृत्ती
অ্যাসাইক্লিক,अॅसायक्लिक
অ্যাসাইক্লিক গ্রাফ,अॅसायक्लिक आलेख
অ্যাডা ভাষা,अडा भाषा
অ্যাডাপ্টার,अडॅप्टर
যোগ করুন,जोडा
ফাইল যুক্ত কর,फाइल जोडा
অপারেশন যোগ করুন,ऑपरेशन जोडा
যোগকারী,जोडणारा
ঠিকানা,पत्ता
ঠিকানা বাস,पत्ता बस
ঠিকানা ফাইল,पत्ता फाइल
ঠিকানা বিন্যাস,पत्त्याचे स्वरूप
ঠিকানা জেনারেটর,पत्ता जनरेटर
ঠিকানা লাইন,पत्ता ओळ
ঠিকানা ম্যাপিং,पत्ता मॅपिंग
ঠিকানা নির্দেশক,पत्ता सूचक
ঠিকানা রেজিস্টার,पत्ता नोंदवही
ঠিকানা রেজোলিউশন,पत्ता ठराव
ঠিকানা অনুবাদ,पत्ता अनुवाद
ঠিকানাযুক্ত স্মৃতি,संबोधित मेमरी
সম্বোধন,संबोधित करणे
পর্যাপ্ততার মানদণ্ড,पर्याप्तता निकष
সংলগ্ন,संलग्न
প্রশাসন,प्रशासन
প্রশাসক,प्रशासक
অ্যাডোবি অ্যাক্রোব্যাট,adobe acrobat
অ্যাডোবি ফটোশপ,अडोब फोटोशाॅप
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
উন্নত তথ্য,प्रगत डेटा
উন্নত তথ্য সিস্টেম,प्रगत माहिती प्रणाली
উন্নত প্রযুক্তি (AT),प्रगत तंत्रज्ञान (AT)
প্রতিনিধি,एजंट
সমষ্টি,एकत्रीकरण
বায়ুবাহিত কম্পিউটার সিস্টেম,एअरबोर्न संगणक प्रणाली
aldus পেজ মেকার,aldus पृष्ठ निर्माता
সতর্কতা বাক্স,इशारा बॉक्स
algol,अल्गोल
অ্যালগরিদম,अल्गोरिदम
অ্যালগরিদম বিশ্লেষণ,अल्गोरिदम विश्लेषण
অ্যালগরিদম দক্ষতা,अल्गोरिदम कार्यक्षमता
উপনাম,उर्फ
প্রান্তিককরণ,संरेखन
বরাদ্দ,वाटप
বর্ণানুক্রমিক,वर्णमाला
আলফানিউমেরিক,अल्फान्यूमेरिक
আলফানিউমেরিক কী বোর্ড,अल्फान्यूमेरिक की बोर्ड
আলফা-পরীক্ষা,अल्फा-चाचणी
আলফা-সংস্করণ,अल्फा आवृत्ती
alt কী,alt की
আলতাভিস্তা,altavista
অস্পষ্টতা,अस्पष्टता
অস্পষ্ট ব্যাকরণ,अस्पष्ट व्याकरण
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
এনালগ,अॅनालॉग
এনালগ কম্পিউটার,अॅनालॉग संगणक
এনালগ ডিভাইস,अॅनालॉग डिव्हाइस
এনালগ মডেম,अॅनालॉग मॉडेम
এনালগ থেকে ডিজিটাল কনভার্টার (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
এবং,आणि
এবং সার্কিট,आणि सर्किट
এবং গেট,आणि गेट
এবং অপারেশন নয় (বর্জন),आणि ऑपरेशन नाही (अपवर्जन)
অ্যানিমেশন,अॅनिमेशन
টীকা,भाष्य
ব্যতিক্রম,विसंगती
পূর্ববর্তী,पूर्ववर्ती
প্রত্যাশিত পেজিং,आगाऊ पेजिंग
বিরোধী প্রতিসম,विरोधी सममित
অ্যান্টিভাইরাস প্রোগ্রাম,अँटीव्हायरस प्रोग्राम
অ্যাপলেট,ऍपलेट
অ্যাপ্লিকেশন ডেভেলপার,अनुप्रयोग विकासक
অ্যাপ্লিকেশন প্রোগ্রামিং,अनुप्रयोग प्रोग्रामिंग
অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API),ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)
অ্যাপ্লিকেশন সফ্টওয়্যার,अनुप्रयोग सॉफ्टवेअर
প্রয়োগমূলক ভাষা,उपयोजक भाषा
আনুমানিক তত্ত্ব,अंदाजे सिद्धांत
স্থাপত্য,आर्किटेक्चर
এলাকা স্থানান্তর,क्षेत्र हस्तांतरण
যুক্তি,युक्तिवाद
গাণিতিক এবং যুক্তিবিদ্যা ইউনিট,अंकगणित आणि तर्कशास्त्र एकक
গাণিতিক চেক,अंकगणित तपासणी
গাণিতিক ধ্রুবক,अंकगणित स्थिरांक
গাণিতিক তথ্য,अंकगणित डेटा
গাণিতিক নির্দেশনা,अंकगणित सूचना
পাটিগণিত এবং যুক্তি ইউনিট (ALU),अंकगणित आणि तर्कशास्त्र एकक (ALU)
আরপানেট,अर्पानेट
