Tamil,Marathi
அபெலியன் குழு,अबेलियन गट
அபிலியன் அரைகுழு,अबेलियन अर्धसमूह
abscissa,abscissa
அறுதி,निरपेक्ष
முழுமையான ஒருங்கிணைப்பு,परिपूर्ण अभिसरण
முழுமையான பிழை,पूर्ण त्रुटी
முழுமையான அதிகபட்சம்,परिपूर्ण कमाल
முழுமையான குறைந்தபட்சம்,परिपूर्ण किमान
துல்லியமான மதிப்பு,परिपूर्ण मूल्य
முழுமையான வேகம்,परिपूर्ण वेग
சுருக்க இயற்கணிதம்,अमूर्त बीजगणित
சுருக்க குழு கோட்பாடு,अमूर्त गट सिद्धांत
முடுக்கம்,प्रवेग
புவியீர்ப்பு காரணமாக முடுக்கம்,गुरुत्वाकर्षणामुळे प्रवेग
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,स्वीकार्य निवड संच
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,स्वीकार्य गुणवत्ता पातळी
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,स्वीकार्य श्रेणी
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,स्वीकार्य विश्वसनीयता पातळी
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,स्वीकार्य नमुना
திரட்டப்பட்ட பிழை,संचित त्रुटी
துல்லியம்,अचूकता
செயல்படும் சக்தி,अभिनय शक्ती
நடவடிக்கை,क्रिया
செயல் மற்றும் எதிர்வினை,क्रिया आणि प्रतिक्रिया
உண்மையான அறிவியல்,वास्तविक विज्ञान
கடுமையான கோண முக்கோணம்,तीव्र कोन त्रिकोण
அசைக்ளிக்,अॅसायक्लिक
கூட்டு,जोडा
சேர்ப்பான்,जोडणारा
கூடுதலாக,या व्यतिरिक्त
கூட்டல் சூத்திரம்,जोड सूत्र
சிக்கலான எண்களைச் சேர்த்தல்,जटिल संख्यांची बेरीज
செயல்பாடுகளைச் சேர்த்தல்,कार्ये जोडणे
மெட்ரிக்குகள் சேர்த்தல்,मॅट्रिक्स जोडणे
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,बहुपदी जोडणे
நிகழ்தகவுகளைச் சேர்த்தல்,संभाव्यता जोडणे
திசையன்கள் சேர்த்தல்,वेक्टर जोडणे
கூட்டல் தேற்றம்,अतिरिक्त प्रमेय
சேர்க்கை குழு,मिश्रित गट
தலைகீழ் சேர்க்கை,additive inverse
சேர்க்கை சொத்து,अतिरिक्त गुणधर्म
சேர்க்கை,जोड
