Hindi,Telugu
"उपशमन, कमी",తగ్గింపు
संक्षिप्‍ति,సంక్షిప్తీకరణ
अपहरण,అపహరణ
प्रास्थगन,Abeyance
योग्यता,సామర్థ్యం
"आदित:, आरंभ से",అబ్ ఇనిషియో
योग्य,సామర్థ్యం
अपसामान्य,అసాధారణ
"उन्मूलन, समाप्‍ति",రద్దు
पद समाप्‍ति,నిర్మూలన పోస్ట్
"ऊपर उल्लिखित, उपर्युक्‍त",పైన పేర్కొన్నారు
ऊपर उद्‍धृत,పైన కోట్ చేయబడింది
उपर्युक्‍त,పైన చెప్పారు
"अनुपस्थिति, गैरहाजि़री, अभाव",లేకపోవడం
"अनुपस्थित, ग़ैरहाजि़र",హాజరుకాని
"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता",హాజరుకానితనం
अनुपस्थिति-विवरण,హాజరుకాని ప్రకటన
"पूर्ण, निरपेक्ष",సంపూర్ణ
पूर्ण एकाधिकार,సంపూర్ణ గుత్తాధిపత్యం
पूर्ण स्वामित्व,సంపూర్ణ యాజమాన్యం
"आमेलन, अवशोषण",శోషణ
सार,నైరూప్య
सार-विवरण,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
"अर्थहीन, बेतुका",అసంబద్ధం
प्रचुरता,సమృద్ధి
शक्‍ति का दुरुपयोग,అధికార దుర్వినియోగం
गाली-गलौज,దుర్వినియోగ భాష
"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय",విద్యావేత్త
शास्त्रीय चर्चा,విద్యా చర్చ
अकादमिक छुट्टी,విద్యా సెలవు
शैक्षिणिक अर्हता,విద్యా అర్హత
"शैक्षिक रिकार्ड, शैक्षिक अभिलेख",విద్యా రికార్డు
"मान लेना, अधिमिलन होना",ACCEDE
"स्वीकार करना, मानना",అంగీకరించండి
"स्वीकृति, प्रतिग्रहण",అంగీకారం
पद-स्वीकृति,కార్యాలయం అంగీకారం
निविदा की स्वीकृति,టెండర్ అంగీకారం
पहुंच,యాక్సెస్
"राज्यारोहण, पदारोहण, परिग्रहण",ప్రవేశం
"अनुषंगी, उपसाधन",అనుబంధ
"दुर्घटना, संयोग",ప్రమాదం
पर्यनुकूलन,అలవాటు
"आवास, निर्वाह, समंजन",వసతి
संगकार,తోడు
"समझौता, प्रदान करना, देना",ఒప్పందం
"अनुरूपता, संगति",అనుగుణంగా
तदनुसार,దీని ప్రకారం
"लेखा, खाता, हिसाब",ఖాతా
जवाबदेही,జవాబుదారీతనం
"जवाबदेह, देनदार",జవాబుదారీతనం
"लेखा विधि, लेखा कार्य",అకౌంటెన్సీ
लेखाकार,అకౌంటెంట్
"कारण बताना, लेखा-जोखा देना",ఖాతా
लेखा-शीर्ष,ఖాతా హెడ్
प्रोद्‌भूत हितलाभ,సేకరించిన ప్రయోజనం
प्रोद्‌भूत पेन्शन,పెన్షన్ పెన్షన్
"संचय, संचयन",చేరడం
"यथार्थता, परिशुद्‌धता",ఖచ్చితత్వం
"यथार्थ, सही, परिशुद्‌ध",ఖచ్చితమైనది
अभियोग लगाना,నిందించండి
अभियुक्‍त,ఆరోపణలు
उपलब्‍धि,సాధన
"पावती, प्राप्‍ति सूचना, अभिस्वीकृति",గుర్తింపు
"पावती पत्र, रसीदी",రసీదు గడువు
"(व्यक्‍ति) परिचित, परिचय",పరిచయము
"अधिग्रहण, अर्जन",సముపార్జన
"भुगतान, भरपाई, निस्तारण",సముపార్జన
"कार्य, कृत्य, अधिनियम",చట్టం
कार्यकारी भत्‍ता,నటన భత్యం
"कार्रवाई, क्रिया, कार्य, संघर्ष",చర్య
कार्य योजना,కార్య ప్రణాళిక
सक्रिय,క్రియాశీల
"सक्रियता से, सक्रियतापूर्वक",చురుకుగా
"कर्मठ कार्यकता, सक्रियतावादी",కార్యకర్త
दैव कृत्य,దైవఘటన
कदाचार,దుష్ప్రవర్తన చర్య
भूल-चूक,కమీషన్ మరియు కమీషన్
वास्तविक,అసలు
वास्तविक आंकडे,వాస్తవాలు
"अनुकूलन, रूपांतर",అనుసరణ
"योग, जोड़, परिवर्धन",అదనంగా
अतिरिक्‍त प्रभार,అదనపు ఛార్జ్
अतिरिक्‍त निधि,అదనపు ఫండ్
अतिरिक्‍त अनुदान,అదనపు గ్రాంట్
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",అదనపు సమాచారం
अतिरिक्‍त वेतन,అదనపు వేతనం
परिवर्तन-परिवर्धन,అదనంగా మరియు మార్పు
"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना",చిరునామా
"पाने वाला, प्रेषिती",చిరునామా
अभिनंदन पत्र,స్వాగత చిరునామా
पर्याप्‍त,తగినంత
"पर दृढ़ रहना, पर जमे रहना",కట్టుబడి
तदर्थ,తాత్కాలిక హాక్
तदर्थ दावा,తాత్కాలిక దావా
तदर्थ समिति,తాత్కాలిక కమిటీ
तदर्थ वृद्‌धि,తాత్కాలిక పెరుగుదల
तदर्थ भुगतान,తాత్కాలిక చెల్లింపు
‍पार्श्‍वस्थ,ప్రక్కనే
"लगा होना, सटा होना",ప్రక్కనే (= పరస్పర)
स्थगन,వాయిదా
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",వాయిదా చలన
